Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2018;519936787;2412971;5688409;14409978;23983716;10765443;4344951;72;61605540;620054;705628;1836163;1358938;158000;2541;9365;4690690;244496;800916;1697208;1269911;33724;50;976;4047280;1476117;12735647;34175135;78103919;62606184;169493958;64494152;423085113;1502582;5624356;1736444;120840;10289;8912;0;9003422;205629;958146;1486573;729252;249368;127733;0;3756701;1856001;3760342;3126431;2547711;1263142;1134849;59564;13748040;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2018;327447111;280350;4461294;12396613;25733472;16475028;9370615;416939;69134311;566465;2673972;6943331;8156773;3585492;1769045;1067596;24762674;40021;498976;1244037;1634451;286744;63;99207;3803497;62861;597441;1298541;3441166;3413332;16879288;20712329;46404959;855769;19607489;3871739;272396;21;0;453024;25060438;1992786;20515305;38297569;38351301;24418400;20208089;139460;143922910;573148;1171200;3074131;3113548;1944981;1303789;298029;11478826;2879497
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2018;253201006;443954;3987260;9894460;18691818;9848884;2537895;130;45404401;492873;1572483;3669225;4738646;1545688;48645;0;12067560;177663;1670579;4142423;7229586;1446393;2584;0;14669226;113403;734440;1551201;3983999;3759868;15312596;12974548;38430055;4579841;44485137;16445600;588105;55;1;0;66098739;1172;229782;349022;133084;46826;23873;0;783760;1714664;5918292;2980967;4552530;1435731;211170;0;16813355;58933910
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2018;180271104;234766;4844629;11962870;19409409;7895118;2233570;538;46580900;833526;4783156;5998381;3514526;509833;93111;174;15732708;272552;3233450;7724724;9680464;1253973;2882;0;22168044;81487;669909;1470236;3767840;3532812;13988247;10927758;34438289;4273556;21333258;7224367;312005;5353;146;0;33148685;198287;3129380;5019061;3857533;1508788;710571;0;14423620;1441784;5129000;2697235;2848767;808875;264583;16844;13207088;571770
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2018;169306101;449100;2793251;7120323;11498308;5188457;2483257;708;29533405;749348;1245632;2800181;3892482;1217782;176974;16766;10099165;572635;5199990;12784970;17948320;2769140;12108;3218;39290380;42302;1235791;2939803;6196264;4511234;10900908;4504233;30330534;1670203;18665090;5660828;568701;122180;45589;26;26732618;42317;657010;2007596;1232169;624594;441086;0;5004771;1822963;5164076;3952928;4108585;1913761;1034156;25514;18021983;10293245
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2018;36073117;70816;336017;772348;980561;244921;38926;0;2443589;18628;108676;49021;20697;320;6;0;197348;634389;4459884;10477708;14041340;1598684;520;0;31212524;0;0;0;0;0;0;0;0;323282;1199008;454870;14478;0;0;0;1991639;582;4090;26937;27303;3985;1361;0;64258;2667;11159;35350;88456;17656;8343;129;163760;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2018;21391722;68096;914748;2460998;4555310;2658977;1294106;72;11952307;30100;553380;720900;164839;88655;13528;0;1571403;310;4432;10784;11063;1529;5;0;28121;3203;61215;142212;370270;347223;1344873;994065;3263061;44986;847959;214122;4817;0;0;0;1111884;27276;366412;385899;354966;271015;214369;14952;1634890;121315;1086503;225632;216280;106176;74075;74;1830056;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2018;17305539;16488;652770;1794166;3417875;1917056;485729;0;8284084;5489;150360;365381;259812;39954;6346;0;827341;50492;984422;2485827;3568315;444459;274;0;7533788;7;123;383;738;863;234;0;2348;3874;165445;50638;56;0;0;0;220013;94;17732;63449;38167;19029;9084;0;147557;2672;170212;83859;8361;3347;0;0;268451;21957
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2018;16985181;95987;665604;1768183;3133614;1615027;602370;0;7880786;9151;33120;66824;51448;535;0;0;161079;176320;839090;1981545;2707971;292779;29;0;5997733;786;5096;12743;28274;21081;45249;7886;121115;357442;1658084;203507;16279;2186;173;0;2237671;0;0;0;0;0;0;0;0;65931;42548;90550;166099;89308;127391;4969;586797;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2018;11695638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78754;1099346;1541230;1514480;664551;354503;0;5252863;148130;831747;1848753;2286749;1015048;312347;0;6442775;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2018;9879791;67122;593472;1666918;2861009;1193948;190288;0;6572757;10391;46129;81091;18032;0;0;0;155643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;189718;1985280;630938;123259;157;0;0;2929352;0;7763;3126;2095;1048;0;0;14033;31508;42134;66899;64572;2893;0;0;208006;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2018;7852595;39604;370329;894207;1840943;949003;465344;0;4559431;16763;318569;458935;725284;302301;118080;0;1939933;2474;13299;29172;31424;3675;0;0;80044;729;14322;31519;80860;76326;319402;234679;757837;2;566;30;0;0;0;0;598;4860;49340;44482;54359;32674;20993;0;206707;7381;50323;92096;19623;11142;7994;119486;308045;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2018;7623883;0;18957;47764;68059;21984;2793;0;159557;0;18;38;46;46;35;0;183;0;4560;11259;21498;16812;3985;0;58115;0;3090;4685;11902;11613;50712;41376;123377;0;0;0;0;0;0;0;0;0;328657;1066256;2349330;1925057;1599106;425;7268831;183;1468;4078;4948;1677;1467;0;13821;0
