Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
BB;49906;b1;S1;C;1;BRASILIA;DF;01/06/2018;44106347;106834;21884314;892282;1431146;1382352;69803274;-30311698;-17558094;-68457;0;-10769301;-58707550;11095724;6507819;5069829;-10138399;-6961177;-1929616;4148104;5569775;-6240339;-3974006;7121718;164310;7286028;-578523;-745984;5961520;-1781380
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;01/06/2018;39966924;694912;16791526;-4136304;3163837;2530865;59011762;-33908852;-8232553;-449955;0;-7374678;-49966038;9045724;9954641;6004573;-9048293;-10246061;-1999269;8426275;18275249;-18144117;3222998;12268722;100900;12369622;2279730;-4521146;10128205;-7434559
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;01/06/2018;39460539;0;11884213;172677;847942;3491770;55857141;-22168581;-8813398;0;0;-7077431;-38059410;17797731;9652304;3371631;-10395685;-5063309;-1900565;933867;2869143;-9076591;-9609206;8188524;-747034;7441491;-605186;-1003647;5832657;-1307053
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;01/06/2018;34325743;779275;16701036;-6987228;2345206;1831401;48995434;-22286712;-9526682;-669305;0;-8976179;-41458877;7536557;6343109;5104020;-8064537;-10644569;-1574722;4774578;13415790;-10292484;-938814;6597743;-323227;6274516;2760913;0;9035428;-3565137
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;01/06/2018;28024689;0;7137592;2583453;182511;0;37928245;-1158611;-31591222;0;0;-2087375;-34837207;3091038;99491;0;-609806;-156229;-271018;3910495;701845;-429318;3245460;6336498;157390;6493888;-1733395;0;4760493;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;01/06/2018;24524605;882854;11169220;-3875096;1000058;1818120;35519761;-18340627;-4365188;-718974;0;-5941258;-29366047;6153714;4962787;2363568;-3606840;-4458054;-1317584;539129;13143495;-12907223;-1280721;4872993;-266904;4606089;2216276;-870987;5951379;-600029
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;01/06/2018;3927361;417549;2921518;-373257;325198;130381;7348750;-4383720;-651621;-361155;0;-399270;-5795766;1552983;497976;195691;-1137797;-1021931;-154064;827811;795927;-571068;-567456;985527;-8654;976873;81019;0;1057892;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;01/06/2018;5394615;98036;1628840;-115659;163522;12194;7181548;-3683166;-452522;-80555;0;-1043500;-5259743;1921805;253557;420777;-521968;-621804;-183483;162670;370719;-1003002;-1122534;799271;-4988;794284;-208853;-74392;511039;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;01/06/2018;3263817;12609;722992;121409;140505;378071;4639402;-1868600;-260038;-10721;0;246991;-1892367;2747036;79309;500750;-951432;-723944;-183067;160033;279107;-1112107;-1951352;795684;-5883;789801;-223985;-59895;505921;-172800
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;01/06/2018;680875;1978;1503921;1325249;0;44519;3556542;-574604;-1221549;-1531;-289760;-39934;-2127377;1429165;711078;36415;-408467;-543768;-108932;2206;206752;-214695;-319412;1109753;7099;1116852;-476076;-50750;590026;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;01/06/2018;2171716;0;197541;198323;533656;0;3101236;-84889;-2623107;0;0;-303855;-3011851;89385;49719;4813;-93553;-48171;-21391;0;1378;-14274;-121479;-32094;18;-32075;1903;-1291;-31464;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;01/06/2018;2728257;451;79018;141399;11325;0;2960449;-1504985;-7;-443;0;-583193;-2088628;871821;57738;106710;-202296;-865870;-77816;18630;547542;-242655;-658019;213802;-5090;208712;-109948;0;98764;-38634
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;01/06/2018;1663235;0;387966;777837;75767;0;2904806;-486474;-1026360;0;0;-300124;-1812958;1091848;169871;56805;-288285;-572312;-71436;14044;286604;-464845;-869554;222294;-2135;220159;-103805;-22175;94179;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;01/06/2018;931527;0;1348547;156219;220038;12508;2668839;-564181;-1172069;0;0;-224145;-1960395;708444;1180580;36379;-942991;-633036;-150019;0;944688;-707380;-271778;436666;2223;438889;-193011;-14060;231818;-53537
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;01/06/2018;53938;0;1671982;708723;215286;8014;2657943;-470029;-1767422;0;0;-3591;-2241042;416901;322742;313;-372587;-100433;-37140;0;95699;-23583;-114988;301913;7;301920;-100488;-10520;190913;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;01/06/2018;564476;0;2289210;-692575;262785;37898;2461793;-2130535;-3261037;0;0;-74600;-5466173;-3004379;874421;4707;-304362;-516148;-71441;959287;2647730;-796561;2797633;-206746;135686;-71060;793091;-497227;224804;-28
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;01/06/2018;1509324;174597;233687;415345;106106;0;2439059;-822164;-335703;-116069;0;-415061;-1688997;750062;23673;47813;-158569;-242034;-64532;27267;182380;-87522;-271523;478539;4628;483166;-158217;-33216;291733;-98882
BMG;30290;b1;S3;C;2;SAO PAULO;SP;01/06/2018;1744070;544;99347;172468;13168;0;2029597;-886857;-24514;-577;0;-278247;-1190195;839402;11447;13421;-92190;-488027;-44068;2614;163789;-274347;-707361;132041;-7352;124689;-45099;-3550;76040;0
