Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2018;683711368;118210882;484905527;29696067;0;0;26;36448310;0;0;461641;3555055;0;0;10368044;65816;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2018;624290395;367029243;60423967;16063284;1711451;94606;9275;94376561;0;40272260;2126303;269083;0;0;4336059;91188;37487115
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2018;536766101;225233701;46142896;8457247;780951;950764;9937811;24438538;53236;416261;470401;86708;0;0;48688;400060;219348841
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2018;439634074;210789614;55697492;18308653;806153;16966;15525515;39359404;17366;361381;3355271;0;0;24061;0;446065;94926133
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2018;298905127;56773489;31195;201968863;2958896;7031575;9401527;1990793;9960340;0;43821;8744629;0;0;0;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2018;289347125;191663829;41724294;7268083;205686;619;175487;19150420;1249422;0;419184;415902;0;2470;74035;127027;26870665
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2018;64282665;35050732;311661;1822891;240696;0;2051073;15534229;298263;0;46572;146;0;4536;0;1169;8920696
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2018;49132475;40711761;701868;635531;11254;100321;767358;4301150;91916;0;480;13795;0;0;231693;7235;1558114
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2018;31076524;21970374;5372571;208810;4932;0;9949;3256812;17016;0;45958;0;0;0;50074;17373;122656
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2018;19109065;17342116;366802;0;0;0;0;924777;0;0;314445;82683;0;0;63134;15106;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2018;18738882;15610549;94017;263080;19900;0;0;2748521;0;0;0;0;0;0;2815;0;0
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2018;17606836;1477013;61735;2575623;0;169163;0;4796740;0;0;53850;34565;0;12726;67769;0;8357650
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2018;16138073;10849039;0;6142;0;0;3857581;1402543;0;0;0;0;0;0;1884;20884;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2018;15049699;11111702;3239;128876;56293;0;202140;1888894;553297;231656;148;7663;0;2465;747867;1866;113595
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/06/2018;13895131;9029434;62293;3436257;0;0;0;0;507203;0;540034;0;0;363;319542;4;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/06/2018;13150861;8953820;0;1431857;351862;0;0;2277691;0;0;0;0;0;0;135562;70;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2018;12458064;2649143;0;387076;54250;0;1180;6421698;58194;0;38820;17592;0;0;633510;1;2196601
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2018;10446094;5821966;30055;1004817;0;0;1532774;677366;0;21;1358147;0;0;20474;0;474;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/06/2018;10249829;7013721;0;46611;0;0;0;3180297;9200;0;0;0;0;0;0;1;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/06/2018;9402078;8163227;123377;348363;78372;0;342374;346226;0;0;0;0;0;0;0;139;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/06/2018;8623970;7535193;954411;51759;0;0;70695;0;0;0;11655;0;0;0;0;258;0
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/06/2018;8530506;8530505;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2018;8386157;7702218;0;1174;0;0;22216;430980;0;0;0;0;0;0;8680;4541;216349
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/06/2018;8335089;2427800;15116;0;0;0;0;937250;0;1112316;12840;0;0;0;0;360;3829407
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/06/2018;8222355;5482518;149347;1794554;350072;0;0;0;445864;0;0;0;0;0;0;0;0
