Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2018;298903564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;730482;13285340;29841655;64541030;51172204;111885778;26961257;298417747;0;25503;57286;139753;129054;134222;0;485818;0;0;0;0;0;0;0;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2018;296843284;3768716;4714613;10991566;17290694;5966704;1951856;797715;45481864;343763;1916984;5762563;11602427;11410101;27073664;1458159;59567661;170489;1395151;919666;90253;0;0;49264;2624823;149164;4555767;1547350;394325;59667;0;0;6706273;683786;9886254;13477382;3868386;9833568;8927287;0;46676664;1790625;2878985;3434851;3962382;2438571;2946020;851496;18302929;564194;3725581;12254437;12975406;7933216;14156074;8017519;59626428;83225;3357481;8954529;4666118;1138699;1420274;34;19620359;423392;365488;1623921;1184631;31233;0;0;3628665;34607618
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2018;283565095;403920;6534705;11726842;13334406;2790593;414742;0;35205209;16023;429102;1180358;1553509;350884;25819;0;3555695;564738;7861017;65758;116056;0;0;0;8607569;67956;8939281;2401625;89303;43861;9357;0;11551384;59414;4245454;6894301;3087807;943296;4967307;0;20197579;764353;2096820;3444690;3687988;1410732;873690;0;12278273;174830;2097428;5171446;8116594;3787245;2802113;198439;22348096;1878;1113458;3248617;663484;221461;204542;0;5453439;48613;462635;1580677;1646325;151130;63318;222;3952920;160414930
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2018;259362970;868005;6745806;13722428;15052275;3047129;353019;0;39788663;150190;1639361;3278961;3366902;610447;103005;0;9148866;351679;6823238;1015580;285;0;0;0;8190782;102166;11947258;2257459;223360;8069;2722;0;14541034;223589;10203635;13003686;5041703;2058792;4914607;0;35446012;1724833;3537012;3710593;3916868;1082426;1413335;297506;15682573;48881;2458545;4831809;8442805;4488794;7578614;359187;28208635;3530;1348970;2732674;1665217;189495;134783;0;6074670;217688;376946;1433380;4497059;1321032;74631;6636;7927373;94354363
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2018;163774582;2235387;4147263;10095856;18536305;4700977;1734355;387485;41837627;55418;80578;245617;371393;257135;240252;173;1250566;457525;482526;1222287;13154;0;0;0;2175492;45325;402725;22568;0;0;0;0;470618;40053;1426902;1711039;3695862;9652;0;0;6883508;2040341;892151;1176207;1674200;786913;561415;1302;7132530;413886;4707429;10321897;18801019;12512182;34552856;8967839;90277109;19538;712092;2142069;82113;11238;5274;0;2972324;453664;2221450;3791014;3886249;228916;193395;121;10774809;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2018;120041024;745441;3942596;7431752;8192331;2041145;1030438;353672;23737374;56209;859256;1955676;2320610;494034;368034;451;6054271;301008;3490099;1460138;240508;103232;73791;10131;5678907;71993;14588643;5455073;380467;41049;4158;6050;20547434;136972;5409767;7156071;1422625;389782;3219332;0;17734550;637928;1406518;1763337;2401690;965518;285146;169172;7629309;153671;1506365;2285034;2915385;1631590;2613345;2020085;13125475;9543;1691876;3545362;703546;168569;81160;1119;6201174;290587;558432;1328395;559450;11389;6209;648;2755110;16577420
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2018;46977126;43634;2804338;5224855;3928581;1106936;112122;0;13220467;4435;562839;885826;721660;95004;27012;0;2296777;25743;949928;88457;11340;0;0;0;1075467;4486;4949873;1943551;43443;0;0;0;6941353;3561;1920935;3433926;2068647;552524;291961;0;8271554;6799;201552;469669;117264;14724;0;0;810009;4652;370536;924275;1228904;639617;218837;0;3386821;200;392481;1032329;190079;112705;38859;0;1766653;0;25618;72185;171686;39798;0;0;309287;8898739
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2018;17085060;284342;248399;982128;703424;268961;1206631;0;3693886;0;0;0;0;0;0;0;0;0;0;10030;0;0;0;0;10030;10328;84307;83207;98147;10071;1004;0;287063;40974;178226;469076;472239;159662;27290;0;1347468;439916;4069;202921;58075;4835;3077;0;712892;477;16564;43951;134265;151522;913460;1603554;2863793;0;0;1059;0;0;0;0;1059;0;0;0;0;0;0;0;0;8168868
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2018;13059358;19913;363404;606355;1081086;295196;43101;0;2409055;14755;185896;466618;484655;37354;33;0;1189311;0;0;0;0;0;0;0;0;0;1260233;184484;69401;74308;35517;0;1623943;15309;415857;1170712;1300796;269985;7611;0;3180271;17;22544;28166;28133;22381;66104;674314;841660;3016;150158;514004;678629;393963;219545;0;1959315;1973;14704;146763;95937;34454;3859;0;297689;0;0;0;0;0;0;0;0;1558114
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/06/2018;12171461;24506;673081;1401591;1483127;186051;11148;0;3779504;1562;228533;347105;345121;81443;23333;0;1027098;1592;86987;55063;0;0;0;0;143643;0;313159;137040;11174;3269;0;0;464643;16535;588534;1222417;715210;34265;0;0;2576960;44610;104350;54263;44305;30906;0;0;278434;577;73030;176777;229277;117682;27080;0;624423;300;220523;371031;344042;90056;96586;0;1122539;0;0;0;0;0;0;0;0;2154217
