Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2013;524852527;159944187;114443085;158601687;23834496;8770947;3789982;1800193;2765665;10495442;40406844
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2013;424172084;46096862;215005115;56022789;75270776;10538786;4492407;2176088;1580542;12988718;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2013;392277274;142476569;87615527;23335098;18032561;8265777;4146873;3080438;2808158;12958087;89558187
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2013;337095487;34678050;115289272;52248933;46036868;7883041;2576063;2302742;1847599;10474232;63758687
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2013;264989435;96337892;112210589;46652841;8542639;417174;592870;21900;19379;194150;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2013;217334006;35761352;103025422;20122052;13896712;5804578;2120852;3526488;1338119;8765187;22973244
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2013;60970797;6119267;29294353;10095363;7142560;1569166;1183320;610738;517520;2068705;2369805
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2013;60651580;24594705;18031898;4436680;1904806;679352;363666;579881;583536;2147443;7329613
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2013;50074775;29225184;8861482;1940011;937541;326037;250495;162252;82004;799447;7490322
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2013;23667324;3208028;8852030;3529897;4560031;1890388;480181;381869;88243;587438;89219
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2013;22588745;4684591;9449064;3350558;1642103;1260356;399162;350138;257126;1195646;0
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2013;22183787;0;20098893;736369;333897;159377;141979;113760;97431;502081;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2013;22024100;426042;15320416;2944058;1877283;388598;253967;118954;100135;594647;0
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2013;13886207;587237;8763621;1917722;900657;353983;202753;180389;164661;815184;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2013;13378847;1198931;3838694;2884351;882679;86585;102108;89852;18342;22855;4254449
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2013;11495931;3611204;3806107;2588508;158477;131394;170608;220698;81351;727582;0
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/06/2013;11434708;4971851;3374023;1097024;601971;330695;118815;147709;63460;189940;539221
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/06/2013;9550099;13381;3337985;5572153;270055;128263;63098;34909;26365;103890;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2013;9257513;2201665;5027038;781671;233607;396068;159421;119942;63972;274128;0
