Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações;
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2013;16510997;94500317;
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2013;13143418;90678269;
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2013;10463115;43381098;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2013;10238102;43414928;
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2013;8261142;31237479;
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2013;4254448;7176701;
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2013;3338916;9323130;
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2013;2216714;20553775;
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2013;2104477;11860209;
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2013;1104227;4592600;
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2013;1039578;3702216;
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2013;952956;2021951;
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/06/2013;899408;4039309;
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/06/2013;820649;4859136;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2013;554642;699583;
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/06/2013;543249;1137293;
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2013;520488;970867;
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;01/06/2013;514454;5366532;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2013;429817;627569;
FIBRA;49951;b1;C;2;;199;SAO PAULO;SP;01/06/2013;421015;1949028;
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/06/2013;397785;464617;
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/06/2013;387771;744655;
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/06/2013;340408;548948;
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2013;322414;477573;
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;01/06/2013;320589;666351;
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/06/2013;311781;330696;
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/06/2013;256206;824997;
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/06/2013;235894;544658;
