Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2013;313514622;35390547;51714601;83287663;102679959;35009;40406844;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2013;264988808;26251585;219916;2464914;236052393;0;0;;
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2013;230302055;8832030;17840665;60887675;64930137;59374;77752175;;
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2013;218303975;20048117;26251768;63388298;44951770;81508;63582513;;
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2013;122123077;15148823;24664422;17292297;64987439;30096;0;;
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2013;101030793;9566239;15844477;46892342;18592348;27223;10108164;;
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2013;42622002;720989;1399407;17473703;15561531;1123;7465248;;
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2013;41118746;1825816;3200832;13357178;15470284;11496;7253140;;
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2013;19562018;2442051;1498907;5574053;7676986;215;2369805;;
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2013;13648053;1510196;4249196;3274514;4613555;592;0;;
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2013;11847900;886582;1188664;5547190;4129360;6884;89219;;
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2013;11653206;701082;69638;1867112;5773652;0;3241722;;
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/06/2013;10432892;451348;461275;5789241;3191784;23;539221;;
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2013;10248795;130899;408151;1693506;8015885;355;0;;
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/06/2013;8920115;646679;1381658;5774366;1117403;8;0;;
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/06/2013;8919201;547846;843999;4901985;835588;14;1789769;;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2013;8195354;503010;466598;4096845;3128698;202;0;;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/06/2013;6309648;399918;868020;1459233;3582468;9;0;;
FIBRA;49951;b1;C;2;;199;SAO PAULO;SP;01/06/2013;5936891;950215;1905147;1132134;36405;445;1912546;;
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/06/2013;5588580;5216197;143360;94487;133707;828;0;;
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/06/2013;5329604;906568;2032895;2120390;269751;1;0;;
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/06/2013;5124661;461362;1098802;1053143;2082142;0;429212;;
