cat;Categoria;Data;Qt_Operações
C;C - Conglomerado;jun/20;291.855.440
C%;C - Conglomerado;jun/20;70,92%
I;I - Instituição independente;jun/20;119.643.615
I%;I - Instituição independente;jun/20;29,08%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/20;323.968.300
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/20;78,73%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/20;11.667.443
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/20;2,84%
b3S;b3S - Cooperativa de Crédito Singulares;jun/20;10.569.432
b3S%;b3S - Cooperativa de Crédito Singulares;jun/20;2,57%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;jun/20;384
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/20;0,00%
b4;b4 - Banco de Desenvolvimento;jun/20;109.511
b4%;b4 - Banco de Desenvolvimento;jun/20;0,03%
n1;n1 - Não Bancário de Crédito;jun/20;42.633.621
n1%;n1 - Não Bancário de Crédito;jun/20;10,36%
n2;n2 - Não Bancário de Mercado de Capitais;jun/20;237
n2%;n2 - Não Bancário de Mercado de Capitais;jun/20;0,00%
n4;n4 - Instituições de Pagamento;jun/20;22.550.127
n4%;n4 - Instituições de Pagamento;jun/20;5,48%
1;1 - Público;jun/20;77.601.447
1%;1 - Público;jun/20;18,86%
2;2 - Privado Nacional;jun/20;262.907.994
2%;2 - Privado Nacional;jun/20;63,89%
3;3 - Privado com Controle Estrangeiro;jun/20;70.989.614
3%;3 - Privado com Controle Estrangeiro;jun/20;17,25%
