cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;jun/20;997.046.743;2.944.149;11.759.925;32.586.237;64.354.342;39.149.414;29.393.507;189.034;180.376.607;1.583.977;5.347.721;11.950.467;14.359.503;6.443.099;3.305.895;443.894;43.434.556;77.138;541.006;1.296.075;1.865.493;411.885;238;109.953;4.301.789;758.339;11.502.940;38.230.141;89.034.299;73.190.623;213.220.365;101.129.878;527.066.586;3.045.799;26.098.500;6.809.278;508.009;20.714;19.227;198.728;36.700.254;2.335.567;22.144.608;47.970.344;50.869.021;27.515.111;23.677.933;247.021;174.759.604;2.532.346;7.327.197;7.691.353;4.281.805;2.359.290;2.515.229;229.503;26.936.723;3.470.625
1%;1 - Público;jun/20;47,06%;58,63%;38,54%;39,37%;42,83%;47,87%;59,14%;98,68%;45,07%;24,45%;24,35%;27,38%;32,03%;46,52%;58,00%;92,93%;31,72%;2,52%;2,12%;1,94%;1,95%;2,84%;0,38%;96,48%;2,09%;80,01%;72,06%;74,67%;75,28%;76,43%;79,47%;86,48%;78,98%;12,91%;17,90%;11,91%;7,30%;2,03%;9,12%;95,72%;15,62%;77,47%;63,27%;61,38%;66,19%;70,08%;77,83%;98,84%;66,46%;25,67%;23,21%;20,57%;13,22%;18,57%;32,31%;50,19%;20,38%;4,42%
2;2 - Privado Nacional;jun/20;825.022.403;1.219.580;14.606.134;38.986.560;66.539.141;32.700.288;14.272.252;774;168.324.730;4.238.599;15.008.216;27.994.959;24.390.464;5.484.039;1.946.791;16.820;79.079.889;1.972.636;15.123.858;39.777.365;56.658.313;7.957.212;26.112;6;121.515.501;164.262;3.322.325;9.380.362;21.168.239;16.353.166;40.115.368;11.434.738;101.938.459;15.940.907;91.226.206;39.101.173;4.717.712;709.729;57.686;8.855;151.762.267;331.057;10.158.657;22.762.591;16.459.071;6.682.738;4.746.156;242;61.140.512;5.464.609;17.441.044;19.283.242;18.319.819;5.496.375;2.682.546;135.362;68.822.997;72.438.047
2%;2 - Privado Nacional;jun/20;38,94%;24,28%;47,87%;47,10%;44,29%;39,98%;28,72%;0,40%;42,06%;65,42%;68,33%;64,15%;54,41%;39,59%;34,16%;3,52%;57,75%;64,54%;59,13%;59,54%;59,26%;54,85%;41,94%;0,01%;59,06%;17,33%;20,81%;18,32%;17,90%;17,08%;14,95%;9,78%;15,27%;67,56%;62,57%;68,38%;67,81%;69,71%;27,37%;4,26%;64,59%;10,98%;29,03%;29,12%;21,42%;17,02%;15,60%;0,10%;23,25%;55,39%;55,25%;51,57%;56,56%;43,27%;34,46%;29,60%;52,08%;92,26%
3;3 - Privado com Controle Estrangeiro;jun/20;296.801.324;858.221;4.146.000;11.193.156;19.351.242;9.939.991;6.034.638;1.761;51.525.008;656.146;1.607.091;3.696.298;6.080.863;1.923.563;446.783;16.930;14.427.674;1.006.695;9.912.951;25.729.638;37.092.916;6.139.161;35.915;4.006;79.921.281;25.200;1.138.284;3.586.535;8.067.785;6.218.583;14.958.755;4.379.242;38.374.384;4.606.816;28.462.770;11.267.672;1.731.609;287.683;133.824;36;46.490.410;348.035;2.694.441;7.424.942;9.527.885;5.063.062;1.996.879;2.657;27.057.901;1.869.006;6.801.271;10.416.141;9.787.158;4.846.703;2.586.013;92.446;36.398.738;2.605.928
3%;3 - Privado com Controle Estrangeiro;jun/20;14,01%;17,09%;13,59%;13,52%;12,88%;12,15%;12,14%;0,92%;12,87%;10,13%;7,32%;8,47%;13,56%;13,89%;7,84%;3,54%;10,54%;32,94%;38,76%;38,52%;38,79%;42,31%;57,68%;3,51%;38,85%;2,66%;7,13%;7,01%;6,82%;6,49%;5,58%;3,74%;5,75%;19,53%;19,52%;19,71%;24,89%;28,26%;63,50%;0,02%;19,79%;11,54%;7,70%;9,50%;12,40%;12,90%;6,56%;1,06%;10,29%;18,94%;21,54%;27,86%;30,22%;38,16%;33,22%;20,22%;27,54%;3,32%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/20;1.933.954.775;4.933.436;29.534.400;80.169.050;145.675.496;79.245.117;47.534.090;191.247;387.282.835;5.156.163;16.619.951;32.911.109;33.957.288;10.723.450;4.434.368;461.257;104.263.586;2.660.592;21.348.609;55.709.850;79.851.995;12.348.568;51.861;113.965;172.085.441;881.383;15.873.893;50.946.850;117.776.755;95.396.057;267.329.702;116.593.164;664.797.804;18.538.605;122.690.287;48.051.273;6.117.947;997.785;210.733;207.620;196.814.249;2.584.708;27.528.285;59.395.040;63.871.165;33.488.708;27.510.031;249.245;214.627.182;8.293.333;27.363.546;32.679.890;28.964.580;11.253.803;6.580.977;432.950;115.569.078;78.514.599
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/20;91,27%;98,24%;96,80%;96,86%;96,96%;96,89%;95,64%;99,83%;96,77%;79,59%;75,67%;75,41%;75,75%;77,42%;77,80%;96,57%;76,14%;87,05%;83,47%;83,39%;83,51%;85,11%;83,29%;100,00%;83,64%;92,99%;99,44%;99,51%;99,58%;99,62%;99,64%;99,70%;99,61%;78,57%;84,16%;84,04%;87,94%;98,00%;100,00%;100,00%;83,77%;85,74%;78,66%;75,99%;83,11%;85,30%;90,43%;99,73%;81,62%;84,06%;86,68%;87,40%;89,43%;88,60%;84,55%;94,67%;87,45%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/20;47.370.428;3.852;41.299;113.560;188.462;74.317;29.678;0;451.168;57.386;100.955;179.295;166.856;51.508;4.762;0;560.761;323.167;3.325.198;8.603.440;11.724.643;1.435.141;4.509;0;25.416.099;1.321;8.678;24.390;44.180;28.187;39.320;2.157;148.234;1.808.294;5.789.974;2.743.130;531.207;7;0;0;10.872.611;152.683;605.740;2.008.122;3.830.193;2.121.145;606.208;0;9.324.090;7.827;168.925;81.797;153.456;89.527;95.641;294;597.465;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/20;2,24%;0,08%;0,14%;0,14%;0,13%;0,09%;0,06%;0,00%;0,11%;0,89%;0,46%;0,41%;0,37%;0,37%;0,08%;0,00%;0,41%;10,57%;13,00%;12,88%;12,26%;9,89%;7,24%;0,00%;12,35%;0,14%;0,05%;0,05%;0,04%;0,03%;0,01%;0,00%;0,02%;7,66%;3,97%;4,80%;7,64%;0,00%;0,00%;0,00%;4,63%;5,06%;1,73%;2,57%;4,98%;5,40%;1,99%;0,00%;3,55%;0,08%;0,54%;0,22%;0,47%;0,70%;1,23%;0,06%;0,45%;0,00%
