cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;jun/20;737.729.703;2.338.708;10.719.567;32.175.255;40.981.493;8.377.721;2.262.529;513.492;97.368.765;361.876;1.710.627;7.441.735;15.863.494;12.000.268;32.084.166;284.102;69.746.268;466.877;1.983.958;1.783.559;995.652;0;0;11.012;5.241.058;142.931;4.324.410;1.740.324;275.758;0;0;3;6.483.425;770.461;11.026.910;16.906.294;7.698.546;8.684.520;85.003;123.769;45.295.504;2.463.234;4.589.832;5.857.682;5.642.087;3.033.598;4.736.460;1.092.543;27.415.435;2.512.409;13.694.800;38.546.603;84.237.333;60.867.872;175.808.355;41.937.925;417.605.297;79.064;3.017.710;5.592.528;5.406.408;2.244.559;3.109.299;0;19.449.568;632.309;1.544.543;3.745.354;4.636.954;274.488;135.572;6.089;10.975.309
1%;1 - Público;jun/20;36,11%;52,02%;21,65%;22,25%;30,16%;29,15%;27,55%;54,17%;26,15%;44,95%;13,46%;22,29%;29,14%;51,84%;88,25%;22,37%;43,02%;20,66%;9,39%;22,99%;66,54%;0,00%;0,00%;4,30%;14,98%;16,21%;5,90%;5,23%;12,19%;0,00%;0,00%;0,00%;5,76%;52,39%;22,38%;17,18%;19,28%;28,65%;1,17%;87,98%;19,97%;43,51%;24,20%;20,67%;23,07%;23,21%;52,66%;35,07%;26,72%;90,44%;78,13%;74,28%;77,13%;87,26%;94,31%;95,52%;86,73%;57,55%;36,83%;31,74%;66,16%;67,03%;78,11%;0,00%;46,92%;62,03%;64,20%;68,50%;53,75%;27,60%;58,73%;71,57%;58,52%
2;2 - Privado Nacional;jun/20;955.862.186;1.585.763;28.493.608;85.996.347;77.111.061;16.681.792;4.814.252;155.327;214.838.150;259.469;6.219.085;13.909.115;20.145.181;5.456.486;976.578;26.273;46.992.189;1.500.367;15.665.359;4.460.704;281.911;1.230.443;706.165;194;23.845.144;578.225;41.190.992;15.053.005;985.317;421.940;18.636;2.046.344;60.294.460;252.085;19.321.691;41.208.209;19.220.255;15.625.671;7.009.162;16.916;102.653.988;2.222.594;10.601.148;15.962.145;13.729.126;6.077.185;3.774.482;1.541.373;53.908.053;194.228;2.727.919;8.977.434;17.407.371;6.354.097;9.776.175;1.870.812;47.308.036;13.287;3.230.758;6.683.790;1.555.193;614.572;619.238;0;12.716.838;269.614;695.575;1.191.838;3.615.373;711.995;67.093;2.419;6.553.907
2%;2 - Privado Nacional;jun/20;46,79%;35,27%;57,54%;59,47%;56,75%;58,04%;58,63%;16,39%;57,69%;32,23%;48,93%;41,66%;37,01%;23,57%;2,69%;2,07%;28,99%;66,40%;74,18%;57,49%;18,84%;94,12%;88,66%;0,08%;68,14%;65,57%;56,18%;45,24%;43,56%;72,41%;18,10%;99,66%;53,61%;17,14%;39,21%;41,87%;48,13%;51,54%;96,14%;12,02%;45,25%;39,26%;55,88%;56,32%;56,14%;46,50%;41,97%;49,47%;52,54%;6,99%;15,56%;17,30%;15,94%;9,11%;5,24%;4,26%;9,83%;9,67%;39,43%;37,93%;19,03%;18,35%;15,56%;0,00%;30,68%;26,45%;28,91%;21,80%;41,91%;71,60%;29,07%;28,43%;34,95%
3;3 - Privado com Controle Estrangeiro;jun/20;349.202.675;571.186;10.310.040;26.442.929;17.779.976;3.681.078;1.134.386;279.123;60.198.717;183.690;4.779.867;12.038.664;18.421.899;5.691.214;3.293.205;959.787;45.368.327;292.275;3.468.004;1.515.076;218.685;76.820;90.317;245.046;5.906.223;160.697;27.802.817;16.480.174;1.001.101;160.783;84.333;6.876;45.696.782;448.023;18.928.072;40.306.134;13.017.566;6.007.391;196.355;0;78.903.541;975.427;3.778.846;6.523.008;5.081.783;3.958.086;482.626;481.711;21.281.487;71.203;1.105.468;4.370.287;7.566.392;2.535.708;829.892;97.097;16.576.047;45.035;1.944.617;5.345.940;1.209.736;489.344;252.152;456;9.287.280;117.441;165.596;530.735;374.948;7.891;28.157;0;1.224.766
3%;3 - Privado com Controle Estrangeiro;jun/20;17,09%;12,71%;20,82%;18,29%;13,09%;12,81%;13,82%;29,45%;16,16%;22,82%;37,61%;36,06%;33,84%;24,59%;9,06%;75,56%;27,99%;12,94%;16,42%;19,53%;14,62%;5,88%;11,34%;95,63%;16,88%;18,22%;37,92%;49,53%;44,25%;27,59%;81,90%;0,33%;40,63%;30,47%;38,41%;40,95%;32,60%;19,81%;2,69%;0,00%;34,78%;17,23%;19,92%;23,01%;20,78%;30,29%;5,37%;15,46%;20,74%;2,56%;6,31%;8,42%;6,93%;3,64%;0,45%;0,22%;3,44%;32,78%;23,73%;30,34%;14,80%;14,61%;6,33%;100,00%;22,40%;11,52%;6,88%;9,71%;4,35%;0,79%;12,20%;0,00%;6,53%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/20;1.627.146.696;4.123.800;42.665.122;130.343.527;118.130.834;23.367.690;6.326.027;842.322;325.799.321;641.341;8.582.757;22.119.042;35.459.679;16.367.846;35.177.100;1.264.182;119.611.946;2.058.785;19.335.943;5.775.800;1.369.938;1.302.212;782.099;256.058;30.880.836;646.893;65.210.893;28.419.789;1.995.450;489.251;33.508;2.053.164;98.848.947;1.470.570;49.276.363;98.411.748;39.905.256;30.317.582;7.290.520;140.685;226.812.723;5.415.091;17.436.346;26.132.312;21.651.886;11.784.046;8.162.067;3.098.136;93.679.884;822.425;10.793.851;25.489.872;49.144.372;28.433.839;62.049.531;12.854.701;189.588.591;125.730;7.549.762;16.139.193;5.682.522;1.944.058;2.228.442;456;33.670.162;1.019.363;2.405.707;5.467.910;8.577.431;994.329;230.725;8.508;18.703.973
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/20;79,65%;91,73%;86,15%;90,13%;86,94%;81,31%;77,04%;88,86%;87,49%;79,67%;67,53%;66,25%;65,15%;70,71%;96,76%;99,53%;73,79%;91,12%;91,56%;74,44%;91,56%;99,61%;98,19%;99,92%;88,25%;73,36%;88,94%;85,41%;88,21%;83,96%;32,54%;100,00%;87,89%;100,00%;100,00%;99,99%;99,92%;100,00%;100,00%;100,00%;99,98%;95,65%;91,92%;92,20%;88,54%;90,17%;90,75%;99,44%;91,30%;29,61%;61,58%;49,12%;45,00%;40,76%;33,29%;29,28%;39,38%;91,52%;92,15%;91,58%;69,54%;58,06%;55,98%;100,00%;81,22%;100,00%;100,00%;100,00%;99,42%;100,00%;99,96%;100,00%;99,73%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/20;51.434.093;17.323;2.142.034;1.610.833;776.695;150.547;44.217;0;4.741.650;81.179;2.641.987;6.969.675;11.923.363;4.114.168;87.080;6;25.817.458;0;0;0;0;0;0;0;0;58.093;4.545.438;4.147.922;256.845;87.399;56.784;0;9.152.480;0;310;8.889;31.111;0;0;0;40.310;22.995;325.325;212.010;175.083;61.991;17.369;8.887;823.659;51.548;796.619;2.996.022;4.901.183;1.323.521;129.108;96.965;10.294.966;3.472;22.863;97.121;178.724;117.981;33.722;0;453.883;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/20;2,52%;0,39%;4,33%;1,11%;0,57%;0,52%;0,54%;0,00%;1,27%;10,08%;20,79%;20,87%;21,91%;17,77%;0,24%;0,00%;15,93%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;6,59%;6,20%;12,47%;11,35%;15,00%;55,15%;0,00%;8,14%;0,00%;0,00%;0,01%;0,08%;0,00%;0,00%;0,00%;0,02%;0,41%;1,71%;0,75%;0,72%;0,47%;0,19%;0,29%;0,80%;1,86%;4,54%;5,77%;4,49%;1,90%;0,07%;0,22%;2,14%;2,53%;0,28%;0,55%;2,19%;3,52%;0,85%;0,00%;1,09%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
