Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;41974;13436929;304094542;122671041;644623761;-26104655;618519106;329463;1252032;525501;-46734;2060262;173193538;68690084;25289072;1327954575;525501;1327429074
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;41974;17303359;224191936;185642204;387425794;-25156001;362269793;1351408;12502242;7677897;-314220;21217327;197681129;67092517;50223055;1125621320;7677897;1117943423
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;41974;13243732;120528483;167144104;597108812;-26520347;570588465;0;0;0;0;0;59870967;121145218;12228488;1064749458;0;1064749458
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;41974;337052;7541902;152004837;343069652;-2378766;340690886;0;0;0;0;0;48046003;312083838;16514834;877219351;0;877219351
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;41974;14503056;202406285;153901051;313752707;-21554313;292198394;74423;7841777;3734387;-251877;11398710;93602131;55039974;43440795;866490395;3734387;862756007
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;41974;5071521;39808570;129458868;207010151;-13912610;193097541;39139;6396883;3267681;-75373;9628331;165847213;32306240;19602736;594821021;3267681;591553339
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;41974;3421693;27541470;26855024;56324860;-3977030;52347831;15598;1101054;263271;-52340;1327583;40632208;11445089;3681386;167252282;263271;166989011
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;41974;1276337;37175520;56850485;16986101;-853795;16132306;0;0;0;0;0;28433504;1365301;9059080;150292533;0;150292533
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;41974;840623;41361180;35638457;46495453;-1915075;44580378;52487;1647425;877219;-15973;2561159;12361987;1619944;2519293;141483021;877219;140605802
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;41974;190247;7383393;31114081;51601845;-3527653;48074193;14734;802406;422908;-34107;1205941;10968764;900336;474320;100311273;422908;99888365
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;41974;811136;11686542;18462726;11466185;-879630;10586555;833;182640;18948;-3048;199374;15672301;2869609;903796;61192040;18948;61173091
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;41974;797517;9315;18888355;28678340;-1609549;27068791;227;135671;61883;-6877;190904;5575763;6863180;286077;59679901;61883;59618019
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;41974;400130;17897774;12123345;940201;-5575;934627;0;0;0;0;0;7484909;63422;126421;39030628;0;39030628
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;41974;197642;8244319;14306918;12601812;-865516;11736297;0;0;0;0;0;3059864;430194;229758;38204992;0;38204992
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;41974;2340320;12839799;8736928;6077155;-466532;5610623;0;0;0;0;0;3710750;14672;956199;34209292;0;34209292
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;41974;8572;4503113;4890639;5462009;-312499;5149510;0;141342;0;0;141342;16990976;569072;92911;32346134;0;32346134
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;41974;54312;10936306;3291783;13272866;-17494;13255372;0;0;0;0;0;725389;587197;94349;28944708;0;28944708
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;41974;278212;2881722;3335685;2063303;-6419;2056884;0;0;0;0;0;19237436;146279;34840;27971057;0;27971057
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;41974;22153;1464726;331538;22538415;-849307;21689108;1402;323398;146550;-8719;462631;1896377;194316;50024;26110873;146550;25964322
PAN;1000080257;b1;;C;2;SAO PAULO;SP;41974;47268;957537;2428901;16247896;-872466;15375431;1381;156940;116979;-6420;268880;5324036;756971;607913;25766936;116979;25649957
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;41974;6121;3704445;8493679;8131820;-35668;8096152;0;0;0;0;0;1132256;389809;65544;21888005;0;21888005
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;41974;51688;3599383;4295209;10391982;-202084;10189897;0;0;0;0;0;2502435;78837;30870;20748318;0;20748318
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;41974;135525;2514871;1775835;10098869;-443761;9655108;0;0;0;0;0;4035203;642643;224667;18983852;0;18983852
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;41974;2201;288701;3397707;1976039;-158241;1817798;6233;705240;79773;-1698;789548;12206493;56010;43683;18602143;79773;18522370
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;41974;59486;1300336;1793629;9475680;-698918;8776761;16;1360;1565;-5;2936;2783749;578064;1718545;17013507;1565;17011941
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;C;3;SAO PAULO;SP;41974;102344;3013319;2088110;9600702;-230012;9370689;0;0;0;0;0;2281110;8605;32252;16896428;0;16896428
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;41974;175098;180547;4282929;8069521;-971622;7097900;3990;362854;122193;-38604;450434;2965184;463368;191251;15806710;122193;15684517
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;41974;99642;424399;30792;12523169;-228854;12294315;6041;162489;141913;-1308;309136;1891289;220235;119102;15388911;141913;15246998
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;41974;168322;3801616;5256408;3868869;-258599;3610269;515;118228;64182;-10843;172082;941570;891350;214684;15056300;64182;14992118
