Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41244;12072460;210868146;104601524;463354163;-18555249;444798914;280980;1890521;1153579;-56498;3268582;137498316;85631400;32435052;1031174394;1153579;1030020815
ITAU;10069;b1;;C;2;SAO PAULO;SP;41244;13825782;175851767;192936112;310660798;-25597428;285063370;1725841;38072281;23014494;-1438822;61373794;125202339;67342795;52641069;974237027;23014494;951222533
BRADESCO;10045;b1;;C;2;OSASCO;SP;41244;11839530;151639123;165010715;259645128;-19648825;239996303;159277;16691547;8963751;-752179;25062396;74679838;52532298;43671022;764431225;8963751;755467474
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41244;8035967;75183272;138465317;353739502;-19717203;334022299;0;0;0;0;0;45651946;93326288;8254576;702939666;0;702939666
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41244;1391;10267857;86423828;251475981;-1679117;249796864;0;0;0;0;0;19150819;240191020;88008418;693840197;0;693840197
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41244;4656170;36770827;79691759;184448385;-13951371;170497014;131382;12070394;6642391;-224399;18619767;93591678;36145175;24999044;464971435;6642391;458329044
HSBC;51152;b1;;C;3;CURITIBA;PR;41244;2889137;14126386;22818481;47408162;-3511245;43896917;12424;2610780;1426996;-66284;3983916;25130968;11293533;4332073;128471411;1426996;127044415
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41244;155070;16761242;37163651;54096287;-3933140;50163148;31230;4163546;2371589;-142833;6423533;12198446;2489179;426139;125780408;2371589;123408819
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41244;410609;21917130;30035516;41932756;-1601718;40331039;49427;2546249;2075934;-52202;4619409;12897943;1503540;2113615;113828801;2075934;111752867
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41244;398985;25163491;39813198;6938682;-181460;6757222;0;0;0;0;0;9086431;509080;6150367;87878773;0;87878773
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41244;958291;7332285;15214950;13828807;-1772244;12056563;4905;165721;28548;-5866;193307;21285118;2979238;1194110;61213863;28548;61185316
