Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB;49906;b1;;C;1;BRASILIA;DF;41244;1030020815;497241596;963669888;801902117;66350927;6835222;109285842;0,1513;0,2585;5367;1581
ITAU;10069;b1;;C;2;SAO PAULO;SP;41244;951222533;369526181;868397312;671603706;82825221;6948886;119945380;0,1812;0,434;3959;901
BRADESCO;10045;b1;;C;2;OSASCO;SP;41244;755467474;290656961;685230950;569213089;70236524;5763247;97863323;0,1638;0,4407;4715;1401
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41244;702939666;361239369;677882722;585932935;25056944;3219706;56328756;0,1299;0,1258;2869;662
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41244;693840197;252470846;641670734;447045534;52169464;5439984;89619093;0,1617;0,4442;4;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41244;458329044;211952398;391858689;285279126;66470355;1347324;70283114;0,208;0,3253;2693;1384
HSBC;51152;b1;;C;3;CURITIBA;PR;41244;127044415;58343239;117071219;88411916;9973196;622052;12355109;0,1315;0,3294;872;401
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41244;123408819;56954641;115198382;90829754;8210437;-855612;12110639;0,1431;0,0313;121;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41244;111752867;48715731;104506106;86094645;7246760;684223;9628920;0,1366;0,2195;108;8
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41244;87878773;8718866;77810277;56401280;10068496;1100552;14305079;0,1785;0,3742;10;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41244;61185316;22933788;53534879;26926669;7650436;266663;7579896;0,156;0,1474;135;12
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41244;46834051;24327030;41939048;32253108;4895003;399006;6509321;0,202;0,0799;467;228
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41244;40307993;4688445;36888492;27569980;3419501;344865;4339125;0,1592;0,2908;10;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41244;36551169;1452001;33051595;22489010;3499574;81630;3493498;0,1666;0,0207;8;1
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41244;31888888;12022878;29205137;15291696;2683751;262357;5184271;0,1694;0,0387;193;5
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41244;31371729;2855374;29873101;9686298;1498628;67809;1498628;0,1313;0,0266;3;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41244;25895096;22361289;23849547;18401080;2045549;24512;3011794;0,1336;0,0582;1;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;41244;25876608;17985824;22929536;10514523;2947071;-300766;3692864;0,1185;0,0449;23;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41244;20715391;7170511;18156162;11500339;2559229;132395;2743287;0,158;0,0373;12;2
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41244;19350956;8833790;18873384;18579700;477572;12457;601991;0,124;0,152;5;0
BIC;32119;b1;;C;2;SAO PAULO;SP;41244;18333680;12718303;16375226;14011726;1958454;42870;2914948;0,1583;0,0555;39;0
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;41244;18331868;11159549;15527165;11700562;2804703;-266421;2353112;0,1413;0,5083;3;0
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41244;14854670;5101231;14390989;14072569;463682;31064;500953;0,1331;0,1399;5;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;41244;14813281;8428472;12890985;11660630;1922296;97999;1879179;0,1574;0,1175;53;1
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41244;13489543;8480883;11810070;9554101;1679473;114695;2507282;0,1582;0,0333;7;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41244;13407289;8267200;12534480;9762855;872809;30789;1258101;0,1238;0,1412;182;4
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41244;13052486;6404377;11992755;9249293;1059731;95451;1585462;0,1535;0,0094;15;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41244;13017369;7451304;10813862;9476922;2203507;180906;2203507;0,174;0,0839;35;0
BANESTES;30159;b1;;C;1;VITORIA;ES;41244;12392430;3795455;11519857;10937533;872573;61841;869381;0,1475;0,2264;135;28
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41244;11733844;3289812;11043020;4702196;690824;-417688;688991;0,1213;0,1055;5;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;41244;10763499;9636262;9511165;8304061;1252334;1395;1395058;0,1277;0,0028;2;0
FIBRA;49951;b1;;C;2;SAO PAULO;SP;41244;10559343;7798296;9521952;8513048;1037390;-144151;1245740;0,1324;0,1277;19;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;41244;10517798;2431925;8487635;3162078;2030163;57021;2011014;0,1531;0,0577;123;4
PINE;50304;b1;;C;2;SAO PAULO;SP;41244;10408176;4885999;9188229;8421421;1219946;95383;1477645;0,1619;0,1021;13;0
