Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41244;NA;NA;77099943;36024829;109285842;688456770;0;36868;1842860;5515;1885244;31798663;722140678;NA;NA%;NA%;0,1513;NA%;0,2585
ITAU;10069;b1;;C;2;SAO PAULO;SP;41244;NA;NA;79710633;40654275;119945380;599670172;0;820627;25097364;1597736;27515727;34610632;661796532;NA;NA%;NA%;0,1812;NA%;0,434
BRADESCO;10045;b1;;C;2;OSASCO;SP;41244;NA;NA;65887034;32104442;97863323;508590459;7338222;115553;57918044;435646;65807465;23120659;597518584;NA;NA%;NA%;0,1638;NA%;0,4407
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41244;NA;NA;48650994;41179016;89619093;521133401;7338627;0;16836441;0;24175069;8982085;554290554;NA;NA%;NA%;0,1617;NA%;0,4442
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41244;NA;NA;28689489;28689489;56328756;410363711;0;0;5126370;0;5126370;18201163;433691245;NA;NA%;NA%;0,1299;NA%;0,1258
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41244;NA;NA;65313894;5069813;70283114;294994264;0;8655;26352512;468273;26829440;16092998;337916701;NA;NA%;NA%;0,208;NA%;0,3253
HSBC;51152;b1;;C;3;CURITIBA;PR;41244;NA;NA;9716687;2638422;12355109;78628907;0;0;6142422;33341;6175763;9173642;93978312;NA;NA%;NA%;0,1315;NA%;0,3294
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41244;NA;NA;7874507;4236132;12110639;79279476;0;76636;2425200;172518;2674355;2686768;84640599;NA;NA%;NA%;0,1431;NA%;0,0313
