Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41061;17062349;183560913;99010329;401316324;-17476470;383839855;235659;2425646;1429471;-69913;4020864;128381641;98789749;32359009;947024709;1429471;945595238
ITAU;10069;b1;;C;2;SAO PAULO;SP;41061;13562795;113845445;140928771;303074556;-24957717;278116839;1806218;47518633;27994047;-1721984;75596915;121652520;80825038;41720468;866248791;27994047;838254744
BRADESCO;10045;b1;;C;2;OSASCO;SP;41061;13335276;92733095;185340114;248458758;-19032068;229426691;173231;19969058;10703427;-883616;29962101;76315850;66662482;40406288;734181896;10703427;723478469
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41061;1283;7142746;81967998;223945365;-1737075;222208290;0;0;0;0;0;11540839;221126593;86109883;630097633;0;630097633
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41061;4371999;52407223;127715267;297600834;-17570043;280030792;0;0;0;0;0;34329871;89493703;8021784;596370638;0;596370638
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41061;4763133;29150487;73570726;180987322;-12870257;168117064;161842;14157324;7876632;-322613;21873186;90303877;42489004;26037464;456304941;7876632;448428308
HSBC;51152;b1;;C;3;CURITIBA;PR;41061;1931002;16312350;25988091;47190546;-3373668;43816878;18633;3390704;1822134;-74895;5156576;35717619;16933118;4375905;150231539;1822134;148409405
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41061;162873;14684711;31004444;55267477;-4205071;51062406;40616;5100674;2701426;-187282;7655434;9505557;4541652;396243;119013319;2701426;116311893
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41061;503111;11341176;20928767;41964373;-1290735;40673638;65919;4046410;3174710;-86761;7200277;7426614;3516435;2091309;93681328;3174710;90506617
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41061;280267;28235833;34351775;4591951;-108260;4483691;0;0;0;0;0;8810831;939233;5207223;82308853;0;82308853
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41061;143694;11845972;12318640;13423543;-1759588;11663955;3465;178091;34746;-3198;213104;20692953;4173468;1037044;62088831;34746;62054085
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41061;505714;4394997;10269548;21833600;-1398719;20434881;427;136463;60086;-8824;188152;2609782;4055764;576540;43035378;60086;42975291
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41061;225120;10439175;14032879;847457;-16645;830812;0;0;0;0;0;13093604;2536;84996;38709122;0;38709122
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41061;1306413;18876701;5289005;4401105;-294347;4106759;0;0;0;0;0;3652116;62708;1515974;34809676;0;34809676
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41061;634719;4631968;4091465;2086405;-9161;2077244;0;0;0;0;0;21100299;263004;32831;32831529;0;32831529
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41061;111359;5674805;10746344;10966390;-614330;10352060;0;0;0;0;0;2183999;387054;197077;29652698;0;29652698
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41061;2132;839589;145043;20314036;-895934;19418102;13762;1945939;1257858;-122933;3094625;1401896;344964;88726;25335077;1257858;24077219
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;41061;65111;1572849;1382486;14300378;-747299;13553079;1459;97849;58343;-11428;146223;2691981;918333;1585613;21915675;58343;21857333
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41061;57719;8514615;2965256;7012727;-4598;7008129;0;0;0;0;0;170490;500946;86781;19303936;0;19303936
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41061;138886;805595;4446407;5723742;-180763;5542979;8310;417378;0;0;425688;6156022;296218;118333;17930129;0;17930129
BIC;32119;b1;;C;2;SAO PAULO;SP;41061;58783;2781414;1369260;10220130;-441341;9778789;6005;517291;131653;-16600;638349;2641903;487615;240102;17996216;131653;17864563
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;41061;12827;1462689;1985678;6248862;-787749;5461114;13162;1054407;570549;-86960;1551158;3806902;372676;181717;14834761;570549;14264212
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41061;5065;3682854;4060748;4955363;-31040;4924324;0;0;0;0;0;248866;591952;69883;13583691;0;13583691
ALFA;51293;b1;;C;2;SAO PAULO;SP;41061;6554;578299;3801146;7276072;-94152;7181921;7631;443594;158344;-5613;603955;867537;130288;263911;13433610;158344;13275267
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41061;23515;1296436;1498649;3147800;-230946;2916854;4713;457964;65763;-12241;516200;6523573;116074;376811;13268111;65763;13202348
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41061;11725;3542017;2759587;4483749;-104931;4378818;0;0;0;0;0;2313566;4715;29156;13039585;0;13039585
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41061;40319;3037076;804428;6938414;-287920;6650494;0;0;0;0;0;2007665;300784;194109;13034875;0;13034875
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41061;13153;1582779;1860462;7748070;-142667;7605403;0;0;0;0;0;1511982;258145;86143;12918067;0;12918067
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41061;131544;3041666;476116;7497043;-313356;7183688;56;12858;4939;-537;17315;849540;520707;215094;12435670;4939;12430731
FIBRA;49951;b1;;C;2;SAO PAULO;SP;41061;67315;718545;1074640;7670722;-346224;7324498;0;0;0;0;0;1685445;293517;403851;11567810;0;11567810
BANESTES;30159;b1;;C;1;VITORIA;ES;41061;195296;3818525;2154700;3338066;-201158;3136908;959;198072;92012;-15902;275141;738065;755306;196152;11270093;92012;11178081
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;41061;46013;1654448;5390368;2120765;-74593;2046173;0;0;0;0;0;1067267;353155;222474;10779897;0;10779897
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;41061;15480;105811;0;8421635;-186004;8235632;2738;650789;420085;-13370;1060241;1270210;13685;7745;10708805;420085;10288721
PINE;50304;b1;;C;2;SAO PAULO;SP;41061;12118;570594;3646548;4208492;-203345;4005148;0;0;0;0;0;1542056;70623;112198;9959285;0;9959285
BRB;31976;b1;;C;1;BRASILIA;DF;41061;99757;1049924;1347966;5667092;-292824;5374269;0;0;0;0;0;795656;517383;144753;9329708;0;9329708
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;41061;3;0;1166623;7267193;-288451;6978742;0;0;0;0;0;444857;54;23338;8613618;0;8613618
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;41061;5741;321698;16787;5210388;-97875;5112514;187;829048;555060;-9845;1374450;1568416;169960;232385;8801951;555060;8246892
BANCO BVA S.A.;32254138;b1;;I;2;RIO DE JANEIRO;RJ;41061;27844;44708;1754508;4800622;-180254;4620368;0;0;0;0;0;865695;337560;335095;7985778;0;7985778
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;41061;503;3590403;2493517;0;0;0;0;0;0;0;0;1727748;755;18046;7830971;0;7830971
BES;51482;b2;;C;3;SAO PAULO;SP;41061;127494;261363;4683476;1505684;-2217;1503468;0;0;0;0;0;285439;5131;138612;7004984;0;7004984
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;41061;111342;704652;2341181;251369;-7541;243828;0;0;0;0;0;3148360;702;61954;6612019;0;6612019
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;41061;2193;102892;4536401;530;0;530;0;0;0;0;0;1726759;4652;48053;6421479;0;6421479
RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62287735;n2;;I;2;SAO PAULO;SP;41061;376;6068362;28560;0;0;0;0;0;0;0;0;7274;72;1709;6106353;0;6106353
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41061;43;1056572;4558719;180687;-60;180627;0;0;0;0;0;107660;181;56768;5960569;0;5960569
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;41061;3569;1387757;676322;492724;-8272;484452;0;0;0;0;0;3282315;61318;30764;5926496;0;5926496
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;41061;317;144129;5240026;137;-12;124;0;0;0;0;0;240995;161;96;5625849;0;5625849
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;41061;117775;358073;424670;2648501;-167086;2481416;20;413;107;-45;495;1839131;142980;126434;5490974;107;5490866
SOFISA;31873;b1;;C;2;SAO PAULO;SP;41061;43854;680827;1205728;1762151;-107156;1654995;32245;427963;384108;-7527;836789;452590;586532;302944;5764259;384108;5380151
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;41061;49138;330324;131145;4673986;-115944;4558042;434;26881;2931;-5002;25244;258242;11342;8682;5372158;2931;5369227
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;41061;819;286507;13636;4310891;-210480;4100412;1648;593109;216581;-15025;796313;240704;12457;4751;5455599;216581;5239018
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;41061;25752;606824;1531719;1957120;-97111;1860009;0;0;0;0;0;836829;46241;70986;4978360;0;4978360
ORIGINAL;51781;b1;;C;2;PORTO ALEGRE;RS;41061;530;281575;2512195;986141;-41988;944153;0;0;0;0;0;221752;34413;130556;4125173;0;4125173
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;41061;230;1343714;372237;1186627;-73576;1113050;0;0;0;0;0;42115;1216425;19124;4106895;0;4106895
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;41061;255399;29998;2399636;21870;0;21870;0;0;0;0;0;1240332;286;28796;3976318;0;3976318
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;41061;8501;864049;228580;1998835;-39533;1959302;2270;617988;382572;-5266;997564;195489;10605;25657;4289745;382572;3907173
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;41061;23240;366392;68318;2866237;-200311;2665926;730;137693;62844;-6310;194957;346025;22779;5872;3693510;62844;3630666
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;41061;104;166331;473327;2237195;-70375;2166820;0;0;0;0;0;52342;91306;554274;3504503;0;3504503
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;41061;1098;0;507036;2700206;-109407;2590799;421;126808;94661;-2588;219302;109035;19610;2385;3449267;94661;3354606
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;41061;420;1087994;1;399030;-11414;387616;75082;1395495;20169;-21028;1469719;97948;205356;63020;3312074;20169;3291905
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;41061;96324;415558;449552;1936635;-47550;1889084;0;0;0;0;0;114892;231666;47405;3244481;0;3244481
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;41061;540;394903;134865;2392997;-144740;2248257;74;842;531;-115;1332;264908;22947;24737;3092488;531;3091957
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;41061;2139;0;1043673;1776801;-27293;1749508;0;0;0;0;0;33554;11292;108643;2948810;0;2948810
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;41061;73158;286895;588632;1514164;-39542;1474622;0;0;0;0;0;141380;298625;81954;2945266;0;2945266
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;41061;643;55667;579782;1892896;-72190;1820706;0;0;0;0;0;190044;71296;139325;2857463;0;2857463
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;3;RIBEIRAO PRETO;SP;41061;59;2486788;303266;116;-9;107;0;0;0;0;0;1366;627;47960;2840174;0;2840174
WESTLB;51554;b1;;I;3;SAO PAULO;SP;41061;14269;51037;618393;557859;-2513;555346;0;0;0;0;0;1590676;636;3040;2833396;0;2833396
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;41061;7883;67443;801635;1239224;-13957;1225267;0;6056;3887;0;9943;639298;32422;35443;2819333;3887;2815446
BANCO STANDARD DE INVESTIMENTOS S.A.;4866275;b2;;I;3;SAO PAULO;SP;41061;33652;320585;2156556;84280;-332;83948;0;0;0;0;0;173418;300;15717;2784177;0;2784177
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;41061;1940;34219;0;2681351;-65631;2615720;0;0;0;0;0;71141;20537;4286;2747842;0;2747842
ING;51073;b1;;C;3;SAO PAULO;SP;41061;1827;420912;507547;373245;-71;373173;0;0;0;0;0;1423308;745;4361;2731873;0;2731873
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;41061;7404;62006;222335;1928190;-39249;1888942;-1866;279539;180579;-4871;453381;239686;0;1704;2875459;180579;2694880
BBM;30207;b1;;C;2;SALVADOR;BA;41061;44538;469246;656401;908491;-16929;891562;0;3879;0;0;3879;564816;5989;48878;2685308;0;2685308
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;41061;1869;0;131637;940302;-344980;595322;0;0;0;0;0;1898766;5819;29304;2662717;0;2662717
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;41061;30092;475598;601052;408154;-727;407426;0;0;0;0;0;1005863;126931;3333;2650296;0;2650296
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;41061;4522;0;0;2262817;-84094;2178722;4479;234841;96982;-13163;323139;81800;819;32231;2621234;96982;2524252
COOPERATIVA CENTRAL DE CRÉDITO DOS ESTADOS DO PARANÁ E DE SÃO PAULO - CENTRAL SICREDI PR/SP;80230774;b3C;;I;2;CURITIBA;PR;41061;3;426129;1966348;46332;0;46332;0;0;0;0;0;57112;37;21652;2517613;0;2517613
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;41061;10122;0;540130;1844542;-73904;1770638;0;0;0;0;0;41507;114;4245;2366756;0;2366756
BANIF;20255;b1;;C;3;SAO PAULO;SP;41061;9304;46513;418727;1189271;-71171;1118100;0;0;0;0;0;524777;202343;25947;2345712;0;2345712
HONDA;51396;b2;;C;3;SAO PAULO;SP;41061;290;129413;138;1956211;-112657;1843554;115;13790;10967;-247;24625;134887;16283;3367;2152557;10967;2141590
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;41061;53584;657399;242702;58926;-424;58502;0;0;0;0;0;1037778;3411;20433;2073809;0;2073809
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;;I;2;FLORIANOPOLIS;SC;41061;12;1559395;249913;90049;-515;89535;0;0;0;0;0;3718;673;56539;1959784;0;1959784
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;41061;23802;0;87290;716416;-66322;650093;0;0;0;0;0;1133586;3601;5115;1903488;0;1903488
STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO;11932017;b2;;I;3;SAO PAULO;SP;41061;19595;489820;440421;0;0;0;0;0;0;0;0;893899;83;470;1844288;0;1844288
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;41061;268;696641;739984;91248;-510;90739;0;0;0;0;0;16256;197404;93123;1834414;0;1834414
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;41061;1827;372523;106418;1061176;-99558;961618;0;0;0;0;0;236116;57246;48002;1783751;0;1783751
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;41061;240355;305177;52575;489755;-16216;473539;0;0;0;0;0;659281;14091;30408;1775427;0;1775427
