Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41061;NA;NA;68124622;28750520;92602660;602975182;0;18161;1123924;9508;1151594;32934418;637061194;NA;NA%;NA%;0,1454;NA%;0,2959
ITAU;10069;b1;;C;2;SAO PAULO;SP;41061;NA;NA;74701841;27560899;101953520;556359447;0;924709;18450191;719864;20094764;36027622;612481833;NA;NA%;NA%;0,1665;NA%;0,4019
BRADESCO;10045;b1;;C;2;OSASCO;SP;41061;NA;NA;62102009;27890763;89885720;482326214;0;93408;27292234;1186468;28572110;23122342;534020665;NA;NA%;NA%;0,1683;NA%;0,4349
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41061;NA;NA;50955714;43635635;94041305;455375219;8969946;0;10573236;0;19543182;8088257;483006658;NA;NA%;NA%;0,1947;NA%;0,3602
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41061;NA;NA;23673106;21874251;44343094;323852175;0;0;2108947;0;2108947;17408915;343370036;NA;NA%;NA%;0,1291;NA%;0,1492
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41061;NA;NA;64940303;6507138;71383529;285031820;6637476;16127;17224834;915618;24794056;16800749;326626624;NA;NA%;NA%;0,2185;NA%;0,3364
HSBC;51152;b1;;C;3;CURITIBA;PR;41061;NA;NA;9153334;2948025;12101359;76675232;0;0;4314255;59006;4373261;8848586;89897079;NA;NA%;NA%;0,1346;NA%;0,338
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41061;NA;NA;8948314;4675983;13624297;82817071;0;64309;1997536;114700;2176545;2908597;87902213;NA;NA%;NA%;0,155;NA%;0,0259
