Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB;49906;b1;;C;1;BRASILIA;DF;41061;945595238;430274714;883066874;731864703;62528364;5630698;92602660;0,1454;0,2959;5244;1581
ITAU;10069;b1;;C;2;SAO PAULO;SP;41061;838254744;360480119;761368120;565759837;76886624;6713873;101953520;0,1665;0,4019;3941;965
BRADESCO;10045;b1;;C;2;OSASCO;SP;41061;723478469;278925679;659371169;546379518;64107300;5629363;89885720;0,1683;0,4349;4682;1403
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41061;630097633;224946004;574115700;387108594;55981933;2743512;94041305;0,1947;0,3602;4;0
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41061;596370638;302658352;574972693;507024937;21397946;2846348;44343094;0,1291;0,1492;2434;613
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41061;448428308;205625113;382042074;272990583;66386234;1451324;71383529;0,2185;0,3364;2633;1410
HSBC;51152;b1;;C;3;CURITIBA;PR;41061;148409405;57700456;138994038;98011629;9415367;602460;12101359;0,1346;0,338;868;404
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41061;116311893;58809110;107008081;87701397;9303812;-1132162;13624297;0,155;0,0259;125;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41061;90506617;48142181;84138717;67038736;6367901;596755;8529926;0,1306;0,241;105;7
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41061;82308853;5956919;73372985;53745166;8935868;923513;12156916;0,1872;0,3556;10;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41061;62054085;22786128;54474056;28504377;7580030;470502;7509489;0,1607;0,1277;136;11
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41061;42975291;22858869;38322290;28711139;4653001;419602;5811658;0,1929;0,0851;453;237
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41061;38709122;1887050;35291178;19828183;3417944;162639;3409236;0,1382;0,0224;8;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41061;34809676;4401105;31563007;24691904;3246670;213018;3962477;0,1741;0,3824;10;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41061;32831529;2691519;31400710;8537852;1430819;51027;1430819;0,1397;0,0229;3;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41061;29652698;11493201;27082273;14562021;2570425;246006;4936576;0,17;0,0398;187;5
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41061;24077219;21028444;22056182;17422699;2021038;33836;3031556;0,143;0,0273;1;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;41061;21857333;14352643;18681609;11013720;3175724;-279244;4183013;0,1319;0,0392;23;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41061;19303936;7113568;18828636;18555461;475300;22454;595357;0,1579;0,1458;5;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41061;17930129;7087430;15440019;8703015;2490111;89229;2669194;0,1441;0,0427;13;1
BIC;32119;b1;;C;2;SAO PAULO;SP;41061;17864563;12041652;15850778;13519938;2013785;67247;2947571;0,171;0,0497;39;0
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;41061;14264212;7416639;11428375;7667873;2835836;-322585;2413767;0,2013;0,0733;3;0
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41061;13583691;4955363;13147839;12522293;435852;21953;471825;0,1371;0,1478;5;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;41061;13275267;7790609;11314721;10160739;1960545;88227;1916076;0,1758;0,1152;53;1
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41061;13202348;3592409;12411929;5187749;790419;-133820;788176;0,1488;0,4752;5;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41061;13039585;5634889;12069509;10593031;970076;96973;1234949;0,1265;0,0108;15;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41061;13034875;7388457;11021514;9848027;2013361;176558;2013361;0,1806;0,0896;32;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41061;12918067;8519829;11352296;9746439;1565771;111924;2180777;0,1415;0,0372;7;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41061;12430731;7639905;11572813;9417098;857919;29511;1235871;0,1243;0,1471;171;4
FIBRA;49951;b1;;C;2;SAO PAULO;SP;41061;11567810;8227189;10559086;9274356;1008724;6223;1259709;0,1274;0,1265;38;0
BANESTES;30159;b1;;C;1;VITORIA;ES;41061;11178081;3736844;10347126;9710791;830955;19554;827163;0,1425;0,2315;135;27
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;41061;10779897;2272190;8747144;3535885;2032754;108927;2013067;0,1624;0,055;121;4
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;41061;10288721;9363154;9037782;7795179;1250939;36319;1415215;0,1375;0,0029;2;0
PINE;50304;b1;;C;2;SAO PAULO;SP;41061;9959285;5001096;8906475;7983257;1052810;92070;1331425;0,1593;0,0843;11;0
BRB;31976;b1;;C;1;BRASILIA;DF;41061;9329708;5667092;8459924;7459997;869785;115070;973990;0,1291;0,1484;67;43
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;41061;8613618;7271638;7329351;7048358;1284267;31607;1284267;0,1649;0,0182;3;0
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;41061;8246892;5490710;6893476;3582766;1353415;26284;1186117;0,1308;0,1907;1;0
BANCO BVA S.A.;32254138;b1;;I;2;RIO DE JANEIRO;RJ;41061;7985778;5344015;7418036;6428409;567742;-97345;686435;0,0921;0,4882;7;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;41061;7830971;0;6204830;3774932;1626142;103610;1619950;0,2055;0,0073;2;0
BES;51482;b2;;C;3;SAO PAULO;SP;41061;7004984;1628216;6469683;5735168;535301;22070;558751;0,1275;0,2479;6;0
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;41061;6612019;251540;5842761;2244417;769259;53935;719293;0,2255;0,0859;1;0
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;41061;6421479;669900;5095667;2238669;1325812;58538;1391409;0,2667;0,0336;2;0
RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62287735;n2;;I;2;SAO PAULO;SP;41061;6106353;0;6071080;6059365;35274;3551;35274;1,0283;0,0484;1;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41061;5960569;180687;5721552;0;239017;56;114004;0,1426;0,0515;0;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;41061;5926496;1118492;4835259;2139500;1091237;22307;1090938;0,6364;0,018;2;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;41061;5625849;137;1352978;4;4272871;52889;4272871;0,6402;0;1;0
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;41061;5490866;2744777;5147744;3312500;343123;-32889;361758;0,1162;0,3319;1;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;41061;5380151;1894392;4611391;3238344;768760;15664;768744;0,1853;0,3941;22;0
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;41061;5369227;4698381;4900259;4719220;468968;24212;453456;0,1339;0,0088;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;41061;5239018;4694983;4716638;4391235;522379;28841;533853;0,1196;0,0072;2;0
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;41061;4978360;2394665;4395920;3987056;582440;7462;580048;0,1704;0,1183;13;0
ORIGINAL;51781;b1;;C;2;PORTO ALEGRE;RS;41061;4125173;986756;2080216;1812829;2044957;168077;2044172;0,694;0,0633;2;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;41061;4106895;1187263;625470;499346;3481425;18758;3481425;2,5715;0,0055;53;0
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;41061;3976318;21870;3566083;1477194;410235;-99084;400070;0,1902;0,0466;2;0
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;41061;3907173;2241980;3587002;2814516;320172;18597;378505;0,1545;0,0137;2;0
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;41061;3630666;2975976;2521741;2191780;1108925;74541;1106054;0,3108;0,0027;1;0
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;41061;3504503;2237195;2370882;2297956;1133621;65778;1133278;0,2628;0,4772;2;0
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;41061;3354606;2725361;2862795;2662304;491811;7424;491811;0,1433;0,0049;1;0
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;41061;3291905;1910765;3019073;2755661;272832;24181;209812;0,1354;0;2;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;41061;3244481;1936635;2881781;2728639;362701;45106;362697;0,1939;0,1307;43;40
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;41061;3091957;2393945;1848917;1417933;1243041;32862;892889;0,3357;0,0275;1;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;41061;2948810;1776801;2186177;2135210;762632;58512;739611;0,2975;0,0735;0;49
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;41061;2945266;1514164;2707680;2446500;237586;39933;313015;0,1546;0,2618;61;10
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;41061;2857463;1922066;2465825;1645565;391638;10072;584981;0,1528;0,2382;5;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;3;RIBEIRAO PRETO;SP;41061;2840174;116;2724334;2526452;115840;6579;69335;0,285;0,0701;0;0
WESTLB;51554;b1;;I;3;SAO PAULO;SP;41061;2833396;1020899;2320493;1152848;512903;11178;512903;0,3459;0,0059;1;0
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;41061;2815446;1417077;2390537;2279872;424909;15807;449967;0,1707;0,0741;8;0
BANCO STANDARD DE INVESTIMENTOS S.A.;4866275;b2;;I;3;SAO PAULO;SP;41061;2784177;84280;2469232;873862;314945;-18823;314945;0,1981;0,0499;1;0
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;41061;2747842;2681511;2363057;2227769;384786;38077;498141;0,1698;0,0084;2;0
