Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41061;59349250;105585551;13250086;269684170;8310433;456179489;180114213;0;15146424;3657477;16818979;0;35622880;59948121;731864703;2502249;148385206;882752158;314717;62528364;945595238
ITAU;10069;b1;;C;2;SAO PAULO;SP;41061;33717937;73055957;9685424;122572241;515213;239546773;201950255;16965528;3889567;35021051;12973255;240593;69089994;55172816;565759837;9954718;184908960;760623515;744605;76886624;838254744
BRADESCO;10045;b1;;C;2;OSASCO;SP;41061;32813520;62308096;471662;121831453;23239;217447969;227680615;3195845;3278002;33306351;12407949;1175739;53363887;47887048;546379518;3568937;108861817;658810273;560896;64107300;723478469
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41061;0;0;0;0;21079266;21079266;0;0;60443;0;0;0;60443;365968885;387108594;705120;186301986;574115700;0;55981933;630097633
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41061;23968802;161923833;7299052;80708476;11366552;285266715;87370633;20172529;0;9623172;0;549533;30345234;104042355;507024937;560;67947195;574972693;0;21397946;596370638
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41061;11895876;24762831;3056220;82019034;96727;121830688;77160932;9811659;1884501;27229507;9431609;1284066;49641341;24357621;272990583;5464428;103368582;381823593;218481;66386234;448428308
HSBC;51152;b1;;C;3;CURITIBA;PR;41061;9373970;5046548;115866;48406482;174912;63117778;4404525;3260238;703874;12060902;1700375;0;17725389;12763937;98011629;3672757;37309652;138994038;0;9415367;148409405
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41061;479795;0;3504861;18983891;0;22968547;32289400;88494;2020568;10116686;6367516;2833642;21426905;11016544;87701397;2846779;16434146;106982322;25759;9303812;116311893
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41061;696052;1165759;3761695;7829483;1081;13454071;25741355;169162;2168580;7991526;3253715;789538;14372521;13470790;67038736;4908219;12154449;84101405;37312;6367901;90506617
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41061;1826112;0;823796;14523549;0;17173457;30098139;642563;1246984;1694760;1481953;0;5066261;1407309;53745166;6623647;12949152;73317965;55021;8935868;82308853
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41061;4233469;808687;234604;10185685;139103;15601548;4491074;100837;283064;180466;0;0;564367;7847389;28504377;2992236;22961748;54458361;15694;7580030;62054085
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41061;2677208;5447820;109708;15768745;2590;24006071;2071268;261103;0;33688;0;0;294791;2339010;28711139;0;9603634;38314773;7517;4653001;42975291
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41061;650806;0;0;1269418;0;1920224;1775782;0;0;0;0;0;0;16132178;19828183;1800145;13661399;35289727;1450;3417944;38709122
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41061;35780;0;67740;2900598;0;3004119;12989460;20355;23066;168938;0;0;212359;8485967;24691904;435471;6416150;31543525;19481;3246670;34809676
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41061;291012;0;241406;1795563;0;2327981;2713915;0;0;0;0;0;0;3495955;8537852;2318464;20541723;31398038;2672;1430819;32831529
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41061;109310;1470180;787554;5430789;1346894;9144728;836839;0;203099;0;1288305;0;1491404;3089050;14562021;26780;12493456;27082257;16;2570425;29652698
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41061;0;0;4777627;1886895;0;6664522;0;0;0;422124;0;0;422124;10336053;17422699;982;4468961;21892642;163540;2021038;24077219
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;41061;44430;0;223667;8253954;0;8522050;45004;0;0;79237;2265139;0;2344377;102289;11013720;248506;7389895;18652121;29489;3175724;21857333
