Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2014;19385741;115263873
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2014;14227433;90438384
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2014;12515434;51719170
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2014;10643154;44715774
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2014;8592684;31795234
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2014;3793678;6578324
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/06/2014;2116219;5980086
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2014;2087255;11338595
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2014;1197933;4114514
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/06/2014;1133372;4174075
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2014;1129429;3660426
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/06/2014;1042701;5554962
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2014;911143;2095309
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/06/2014;678984;1412992
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;01/06/2014;648772;5905629
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2014;588329;4497222
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2014;544419;681535
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/06/2014;530275;598821
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/06/2014;528853;985054
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2014;504452;725924
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;01/06/2014;430912;797020
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2014;404053;863586
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/06/2014;383818;404108
