Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49.906;b1;C;1;;199;BRASILIA;DF;01/06/2014;611908236;331706772;83722350;101703169;19049090;3358464;8095892;3218540;2435374;12675652;45942934
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;01/06/2014;547316314;193604599;193878199;59466705;56182839;18131532;5564029;2606361;2062745;15819304;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;01/06/2014;465165956;150045738;110524669;26296642;14279656;6316519;3425416;2927360;2993473;11368812;136987672
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;01/06/2014;310086854;37258941;125398961;59799680;44351609;5836320;3152102;2731945;1893383;10017319;19646595
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2014;293238497;110965903;100574144;71221403;9249429;123749;636624;70231;10517;386498;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;01/06/2014;225948622;43008348;105943778;18262865;11836687;8387115;3175617;3019557;1770126;7319039;23225490
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;01/06/2014;64227712;27281763;18016031;5589128;1236861;688957;717212;450801;419294;2226742;7600924
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;01/06/2014;55108454;3231253;28651596;8080632;6699819;1455253;698361;698968;763219;2479541;2349810
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;01/06/2014;54211624;33637444;8166770;1749999;1079783;347491;180244;112708;50037;725050;8162096
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2014;27366045;4909351;11668075;5838029;2249551;1061476;277268;301797;113627;790982;155891
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;01/06/2014;21353148;403418;15310800;2683962;1492562;536427;254928;157146;91673;422232;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;01/06/2014;16423478;6181186;5645522;1726311;847285;1059550;153847;111334;115278;583165;0
