Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;;C;2;SAO PAULO;SP;01/06/2014;34768672;4400112;16310558;1196568;334750;3192212;60202873;-26282196;-1678804;-4246706;0;-8659524;-40867230;19335643;6339547;4112361;-5450265;-8277736;-2044530;1388953;12214428;-13079653;-4796896;14538747;230274;14769021;-3745446;-2705896;8317679;-2597056
BB;49906;b1;;C;1;BRASILIA;DF;01/06/2014;36456964;276505;17698968;-552916;867418;2886872;57633811;-34792993;-1862714;-210458;0;-8381047;-45247213;12386599;6265405;3034725;-8498918;-8091090;-1597796;1142302;8509393;-5316561;-4552540;7834059;58554;7892613;-1466677;-719896;5706040;-1782048
BRADESCO;10045;b1;;C;2;OSASCO;SP;01/06/2014;28044932;2852550;14770744;1138725;0;2221748;49028699;-22428893;-799553;-2510322;-222072;-6852419;-32813258;16215441;4273206;3182403;-5624775;-7214481;-1604388;1843051;4760640;-5297609;-5681954;10533487;-235222;10298265;-3063966;0;7234300;-1566898
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;01/06/2014;30753134;0;13292402;-892471;299977;4242683;47695725;-24366512;-5450286;0;0;-6429669;-36246467;11449258;7223300;1544999;-8529511;-4816790;-1387431;305222;4368408;-6419747;-7711550;3737708;-285891;3451818;289447;-351797;3389467;-752710
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;01/06/2014;19562844;1538982;7476347;570520;1226063;1697665;32072421;-14039139;-414811;-1618937;0;-5515529;-21588417;10484004;3593569;1414753;-2992980;-6136319;-1671033;170480;4611114;-7032291;-8042708;2441297;341580;2782877;-1144507;-545427;1092942;-5
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;01/06/2014;16485394;0;4461938;7313;66955;0;21021600;-883138;-13256017;0;0;-127191;-14266346;6755255;80717;0;-437197;-186043;-275834;2476693;1988811;-3377519;269629;7024884;-3978;7020906;-1539153;-10268;5471485;0
HSBC;51152;b1;;C;3;CURITIBA;PR;01/06/2014;4758409;547742;2269547;98294;386583;432268;8492843;-4237232;-349432;-479770;0;-1131146;-6197580;2295264;507267;734503;-1563817;-2205157;-319802;295824;920545;-548898;-2179534;115730;-34975;80755;73991;-171042;-16296;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;01/06/2014;5922370;806376;1986533;-343360;0;278;8372197;-4235591;-113088;-791167;-8294;-1531539;-6679679;1692518;214485;265561;-636270;-534811;-189677;75201;623639;-1184041;-1365914;326604;141755;468360;-67242;-108681;292437;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;01/06/2014;3004552;288561;3325841;-4643;32103;70001;6716416;-4466529;-208935;-277593;0;-501992;-5455049;1261366;205419;114427;-519153;-400926;-130976;31139;747567;-446737;-399240;862127;-44364;817762;-100811;0;716952;0
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;01/06/2014;580863;0;3961437;475471;1029987;15227;6062984;-3934863;-744683;0;0;-134546;-4814092;1248892;1100514;31601;-241060;-352281;-92775;-44969;1244411;-235771;1409670;2658562;-67120;2591442;-431108;-353560;1806774;-301800
BMG;30290;b1;;C;2;SAO PAULO;SP;01/06/2014;3417890;7393;241899;-246156;366523;0;3787549;-1549617;-646;-6943;0;-407172;-1964378;1823170;16548;19033;-83260;-1119614;-25505;36622;43045;-543802;-1656933;166238;21197;187435;-8870;-31290;147276;-85000
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;01/06/2014;2435724;22182;862722;-51165;0;304386;3573849;-1659773;-126925;-16430;-22845;-98790;-1924762;1649086;67462;307800;-771753;-491732;-120811;55826;334089;-796321;-1415441;233646;10551;244197;22420;-38733;227884;-132790
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;01/06/2014;996623;51820;824904;183378;0;27279;2084005;-809317;-72307;-41616;-19583;-349538;-1292361;791644;424886;127813;-609596;-555155;-105926;19003;428542;-318172;-588605;203039;-6983;196056;-58995;-29649;107412;0
PAN;31323;b1;;C;2;SAO PAULO;SP;01/06/2014;1911188;98802;80999;-92023;1506;0;2000473;-1451067;-21972;-88488;0;-487552;-2049079;-48607;27531;139452;-110645;-681394;-61990;17600;698727;-251114;-221832;-270439;-27383;-297822;125408;-31;-172444;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;01/06/2014;790009;0;1023057;-111960;30929;23736;1755771;-525378;-455839;0;0;-204055;-1185272;570499;924060;14406;-761467;-423286;-119810;0;818218;-518655;-66534;503964;841;504806;-129963;-48830;326012;-74957
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;01/06/2014;1433050;193278;99938;-235855;0;0;1490410;-550946;-320215;-173985;0;-223162;-1268308;222102;0;47378;-2997;-150366;-71795;2396;404629;-219424;9822;231924;-9438;222486;-88022;0;134464;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;01/06/2014;1234847;778;151127;-33626;0;7290;1360417;-596397;-770;-692;-1190;-408434;-1007483;352935;26377;37457;-184539;-258914;-7262;2179;54423;-148519;-478798;-125863;-31167;-157030;65719;-1310;-92622;-852
BRB;31976;b1;;C;1;BRASILIA;DF;01/06/2014;963488;0;95651;0;3293;12009;1074441;-378848;-1983;0;0;-147294;-528125;546316;18540;68721;-311719;-170191;-41816;28350;34905;-58179;-431388;114927;608;115535;-19016;-13875;82644;-20000
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;01/06/2014;1042286;0;175719;-252220;30515;0;996300;-486876;-27286;0;0;-251929;-766091;230209;13275;27147;-87875;-225879;-59144;2791;383616;-65971;-12040;218169;-5513;212656;-61715;-18313;132629;-60525
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;01/06/2014;786469;72766;172751;-42404;4144;0;993726;-447290;-14207;-58094;0;-144193;-663783;329943;118336;33346;-146385;-356345;-43245;4509;306202;-151677;-235259;94684;-633;94051;-23386;-12183;58482;0
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;01/06/2014;885026;78627;28612;0;0;0;992265;-594777;0;-72964;0;-110278;-778019;214246;15851;53961;-1013;-205317;-59294;363;30347;-49153;-214256;-10;1452;1442;2253;0;3695;0
