Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/06/2014;2302560;0;68077;633774;1114449;1;486259;;
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/06/2014;2219566;0;0;0;2219566;0;0;;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/06/2014;2166040;0;16726;353517;783921;0;1011876;;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/06/2014;1992990;23941;97576;282885;1588445;143;0;;
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/06/2014;1991700;129398;365809;1313955;182166;372;0;;
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/06/2014;1984298;321606;417229;1040870;204593;0;0;;
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/06/2014;1829481;288426;463655;1029086;48057;258;0;;
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/06/2014;1813125;1143702;62671;153583;453123;46;0;;
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/06/2014;1769820;74284;1008676;534813;152041;6;0;;
BES;51482;b2;C;3;;198;SAO PAULO;SP;01/06/2014;1704132;77460;977883;423223;20788;0;204777;;
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/06/2014;1468059;63725;63870;972062;368402;0;0;;
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/06/2014;1418481;158850;126183;1021389;111988;70;0;;
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/06/2014;1352978;40860;35571;468906;807641;0;0;;
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;01/06/2014;1316455;6997;10738;1049931;248790;0;0;;
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/06/2014;1303596;3638;26130;696657;577168;4;0;;
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;01/06/2014;1273586;20090;2311;177344;1073841;0;0;;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/06/2014;1250254;10936;44627;698188;496502;0;0;;
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/06/2014;1240197;242;97943;478981;647084;0;15947;;
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/06/2014;1213634;7160;10714;238540;957220;0;0;;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/06/2014;1191563;2731;19258;247307;922264;2;0;;
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/06/2014;1182369;17376;35754;356835;772403;0;0;;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/06/2014;1149311;52395;235080;605985;255851;0;0;;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/06/2014;1081162;28704;187207;631029;234210;12;0;;
RODOBENS;51736;b1;C;2;;199;SAO PAULO;SP;01/06/2014;1044248;130739;279070;608272;26163;4;0;;
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/06/2014;1044237;7278;181019;719630;132611;3698;0;;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;01/06/2014;869973;127805;71898;543614;126657;0;0;;
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;01/06/2014;855313;39458;131699;673397;10758;0;0;;
