Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2014;359075352;1210524;10734523;26052068;26582067;10607824;1739408;0;76926414;166250;1635046;5416044;7384759;11849516;19321297;4001547;49774459;186247;3219922;1100828;614683;0;0;0;5121680;587895;12120568;3463181;981232;9491;736;454033;17617136;105442;4732421;8847578;278569;35146;1420;0;14000576;432763;3451471;2987702;4085363;1085483;5010480;50090;17103353;449656;6578776;16135821;29338253;11787380;15188820;7043851;86522557;48705;5135082;16391786;12319833;6619424;3075062;98609;43688501;4215;147725;995921;2506643;429649;11666;0;4095818;44224857
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2014;293236798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49313;10484404;24921544;66093135;56714247;114988622;19985533;293236798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2014;282935459;755975;9910551;16073206;13393257;2351380;651619;7547;43143534;84856;1258779;4367813;4536055;1247026;203307;0;11697837;825877;9510279;709005;0;0;0;0;11045161;133398;11608149;1909797;56184;2238;0;0;13709766;34580;3605683;3468153;3613300;809610;433758;0;11965084;539362;2512024;2397375;2574487;466544;127368;0;8617160;82414;3468819;8832137;17734110;6980743;5118177;313945;42530345;4119;1940678;3177477;1052348;275268;201263;0;6651153;19086;816465;2847652;4661255;608003;982788;847;9936095;123639325
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2014;177852251;746685;8243987;14398110;15712404;3129800;667262;0;42898248;182591;1998809;4273148;4569788;636060;110855;585;11771836;503007;9488131;2675034;1111;0;0;0;12667282;268086;7913238;907655;38698;8841;0;0;9136517;46524;3454167;5662521;5906471;1068818;455143;0;16593644;873657;2410876;1683669;2227349;801604;175638;310;8173104;65745;2647742;7180645;13929400;5316175;3412877;447515;33000100;7861;1404097;2827108;901174;1342251;1116027;0;7598518;13187;133750;1306236;7673939;4541787;2879326;111882;16660108;19352894
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2014;157039549;2715430;8427009;20174563;28300592;3862675;463070;0;63943339;586983;412214;1025105;4036734;3758496;3204298;6;13023836;816113;1305330;4062582;39077;17200;0;0;6240302;90185;1422828;103907;0;0;0;0;1616919;1730;239902;900312;1251487;1243485;403681;0;4040597;268199;1423369;606039;40839;9514;6233;0;2354194;246775;2803385;5504094;11290696;7257452;21844281;8246026;57192708;0;0;0;0;0;0;0;0;34245;2760821;2618720;2445460;377610;379687;11111;8627653;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2014;108860299;990369;6593913;9028222;9443858;2339733;814349;340100;29550545;104376;879043;1909384;2092893;378931;884109;554186;6802922;472745;4603264;1255895;500175;232675;91458;457;7156669;54897;8931925;3274389;89240;20026;10317;777;12381570;153100;3762177;3529873;4315842;721779;244036;0;12726807;479375;1045082;1277226;2024935;658591;305732;53313;5844254;44877;917775;1954116;3114875;1958292;850668;1680;8842284;95;672517;1022968;227323;67961;25743;0;2016606;63547;746918;3096889;3424252;256907;2009374;0;9597887;13940756
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2014;46767532;163784;4942248;4939025;4337643;797525;62508;0;15242733;42368;1363857;1908714;1319241;922528;753685;0;6310393;64352;1808286;117169;8125;0;0;0;1997933;1784;2379859;441690;22863;72;93214;0;2939481;1459;1018713;666857;77074;7;0;0;1764110;15282;34595;65857;26;0;0;0;115760;37178;890900;2294536;3387771;931231;433404;0;7975020;8005;360000;1498750;117562;10992;3297;0;1998606;0;25976;110058;174473;0;0;0;310506;8112989
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2014;44763969;181349;3850335;5098136;3470879;667409;58280;0;13326388;9406;197238;455143;583441;82253;100;0;1327581;79488;1605744;792455;44155;99;0;3728;2525669;101901;2784618;611666;34921;1232;1284;4310;3539932;117238;2241311;3584715;1998583;778196;84979;7012;8812033;129130;122552;48557;90135;69946;54659;1821;516799;16307;735395;775483;1485057;364019;167770;0;3544031;3410;748057;1032810;347190;9989;5724;0;2147178;42215;387029;715294;275654;3241;0;0;1423433;7600924
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2014;17576935;177332;968538;1869943;1185065;395463;173703;0;4770044;42274;243795;632879;533403;56208;3;0;1508562;1366;16190;153180;0;0;0;0;170735;113;30536;117032;0;0;0;0;147680;29528;454028;1185083;907030;703615;447625;0;3726909;629207;196968;96015;1829;0;0;0;924019;5799;335104;769328;1281581;592489;578509;8127;3570938;1614;98458;156475;112566;29540;9585;0;408238;0;0;0;0;0;0;0;0;2349810
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2014;13539345;87419;1065735;2185533;2265253;454204;39653;0;6097797;1566;26523;58408;70100;9148;168;0;165912;48892;794701;581584;620;0;0;0;1425797;16044;425561;101051;552;4;0;0;543212;9172;342806;789368;3736;2206;0;0;1147288;32444;211675;398513;234408;104380;56559;0;1037979;8589;71942;223901;471973;340617;444648;0;1561670;4421;180283;429756;74467;43277;27614;0;759819;41;11213;60781;386339;176796;8812;0;643982;155891
