Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2020;417712792;4834574;20248403;53670742;72092073;1070539;1606;265794854
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2020;333412519;11838465;27676375;47707368;72198964;36517691;736;137472921
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2020;278434581;2527364;23221795;48521383;161669444;2394016;357;40100221
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2020;263666626;0;1145112;3295785;252234868;6990861;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2020;169156019;6420507;18796745;36404833;55219701;1451967;2196;50860071
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2020;138773752;9669823;13549647;23201840;92352264;0;178;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2020;50103193;397744;2059258;12448352;25413220;172850;547;9611223
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2020;28670231;1354268;801195;1023350;12675495;0;0;12815923
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2020;17567969;90175;41085;857729;15760841;818138;1;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2020;17431156;175446;1761187;5896555;6855087;76583;1;2666297
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;14654129;140515;512300;5039867;7250441;785854;41;925111
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2020;12866385;0;154950;851544;11859891;0;0;0
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2020;12188473;1195480;96465;394056;8499090;12275;0;1991107
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2020;11925654;474248;1524948;5566671;4359236;550;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2020;10421518;295606;156885;1354018;8615008;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2020;10259211;105048;788001;4012573;4812585;541002;2;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2020;9992153;673187;2173478;5835536;1309950;0;2;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2020;9373190;17200;142809;1592792;3176015;0;0;4444373
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2020;8968082;306802;1424703;3054066;3856374;192782;36;133319
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2020;5426588;469734;407758;1809656;2366665;372772;3;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/03/2020;5212249;465928;906280;3172148;646566;21326;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;5112657;1419925;177151;705071;890483;611779;526;1307722
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2020;4848958;383849;1113441;2656830;605864;88974;0;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;4579428;252024;498952;1291605;1953195;583652;0;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/03/2020;4325831;1167492;37893;2129388;991057;0;1;0
