Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2020;552666268;2216379;5174588;13407289;23236727;11460966;7155003;2;62650954;650224;820325;1541545;1397326;183965;5264;7756;4606406;49552;164902;240899;140245;20549;58;165;616370;1359473;13201606;35789105;82648363;67137062;186597187;73493831;460226628;2098682;6330241;1969763;137257;17730;16755;0;10570429;157183;1067995;1061278;562717;145933;55842;0;3050948;1715628;3339697;2468748;1827640;820984;736864;34972;10944533;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2020;372308789;244784;4887062;13983576;30023323;20351656;14924267;198011;84612679;779551;2925816;8748541;11226216;5299123;2728504;409361;32117112;37274;425569;1108209;1701726;381955;32;93164;3747929;77797;619834;1326664;3549391;3516223;17874206;21468206;48432322;1318867;22377854;4906817;320802;198;0;180450;29104988;2328493;19593769;49460624;42063644;26079944;21948828;170394;161645697;619757;990582;3142361;1947665;1320494;1410365;139228;9570453;3077609
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2020;306438166;481432;5008379;12919713;20748707;9132963;1956698;16;50247908;526231;2816054;5228879;4866975;983676;17953;0;14439768;262446;2513007;6330963;8986932;1322844;1559;0;19417751;55453;1529415;4322031;9806411;7634887;18291157;4780930;46420283;7131429;52081205;22932174;1671466;29312;12;0;83845598;2712;277217;593399;121366;45886;25230;0;1065811;2827797;9409628;6905469;5955360;1398405;206671;0;26703330;64297717
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2020;236295602;289408;5713810;15302214;26036128;12770204;5219546;355;65331664;1406513;6531961;9732977;8248738;1350735;468927;377;27740228;336497;3867949;9589453;13569131;2103283;5073;2;29471387;89517;1586738;4336157;9712944;7387570;17761411;4874676;45749013;4369451;24390696;8615024;712793;42453;6428;0;38136845;125680;2076239;5919953;4851581;1171607;467645;0;14612705;1573395;5636115;2646598;2993112;926059;428332;14024;14217636;1036124
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2020;209105301;726276;3586509;9456182;16308886;8259877;4893762;860;43232353;801711;1368847;2929656;3922286;1543901;347566;16844;10930811;730659;6574435;16580366;24456025;4495575;20434;3885;52861379;45725;1161839;3533198;7942097;6094002;14596334;4341248;37714443;2318589;21887919;7510047;849723;215247;97158;33;32878717;49563;1470079;2320684;1797030;923877;603601;0;7164835;2235302;5204938;4453419;5102921;2979643;1797494;44554;21818271;2504492
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2020;43380775;68566;149006;318165;256264;16104;507;0;808613;41571;105764;291512;150019;38507;1016;0;628389;800393;5298781;12780460;17925064;2267604;1227;0;39073528;0;0;0;0;0;0;0;0;501595;1571920;654608;17585;0;0;0;2745708;0;7102;1825;3622;2746;0;0;15295;994;9564;41184;35299;11334;10680;186;109242;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2020;26902781;59438;1085762;3017595;6072341;3803514;1890443;76;15929169;32379;702664;1036504;276911;58132;16044;0;2122635;154;1728;4503;7322;1715;3;0;15425;3380;66528;154893;403329;374038;1473576;1105461;3581205;75125;1073843;278162;3610;0;0;0;1430740;32032;574036;601815;435765;239642;157636;92333;2133259;120078;1018343;197322;184531;87217;82815;41;1690347;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2020;25057935;31052;699880;1907678;3663283;2004607;469375;0;8775874;1682;218422;390602;341552;55581;2264;0;1010103;132765;1786880;4587180;6968437;939960;635;0;14415857;5;50;425;773;214;279;0;1746;7697;193283;58311;36;0;0;0;259327;0;45774;109176;58127;39263;16050;0;268390;7684;156553;151909;0;0;0;0;316147;10491
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;23037288;100825;828920;2217623;4089866;2161497;810000;0;10208730;2301;6414;9173;1606;20;0;0;19513;292758;1266103;3049492;4223562;490494;68;0;9322476;1001;4104;10386;22508;16594;34477;5392;94462;447828;2343285;233389;9664;445;2;0;3034613;0;0;0;0;0;0;0;0;15319;25175;57338;107928;67470;82094;2168;357493;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2020;17341950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157178;724187;2225324;1317316;739301;441495;0;5604802;250278;2044711;3976831;3576178;1507578;381572;0;11737148;0
