Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2020;30584374;95386229
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2020;27541907;84813859
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2020;18399631;43517013
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2020;14501211;31177742
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2020;13899588;36576828
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;01/03/2020;8326670;20948345
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/03/2020;4990610;8589574
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/03/2020;4913195;23497325
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/03/2020;4039022;12046463
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;3849132;8310909
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;3473080;7674681
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2020;2907210;4021588
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2020;2658885;8456325
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/03/2020;2264837;6003841
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2020;2163446;10039305
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/03/2020;1720887;2425363
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2020;1617626;2223074
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2020;1609450;2583279
BANCO DIGIO S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/03/2020;1162803;1813199
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/03/2020;1142454;1978578
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;958613;1986155
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/03/2020;933649;2083832
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2020;853247;1922900
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/03/2020;797833;1048974
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2020;764942;958817
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7747410;n1;I;2;S4;14;BARUERI;SP;01/03/2020;690954;3973477
AGIBANK;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;01/03/2020;643989;1317566
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/03/2020;629219;806939
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;S4;14;SOROCABA;SP;01/03/2020;457951;1012080
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/03/2020;393093;396925
CREDI SHOP SA ADMINISTRADORA DE CARTOES DE CREDITO;62895230;n4;I;2;;41;TERESINA;PI;01/03/2020;357566;380123
AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762;n1;I;2;S4;14;VITORIA;ES;01/03/2020;349613;1046868
ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A;5351887;n1;I;2;S4;14;ARAXA;MG;01/03/2020;342990;479606
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2020;330966;400601
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/03/2020;315221;379362
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/03/2020;309637;948574
