Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2020;724150958;285943045;51917292;3135051;2497323;427186;16578018;32435753;689384;61855;83256;173192;0;0;4329;0;0;0;0;112702;330092571
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2020;691440020;108311210;512252005;24736177;0;0;38;25279395;0;0;324225;9818129;0;0;10702102;0;0;0;0;16739;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2020;650743370;403974330;60598483;10445091;6784607;51445;7439;73431332;0;47372927;1732393;141251;0;0;3004845;0;0;0;0;21396;43177831
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2020;569708121;289975096;58406907;4363948;6513041;15428;19697981;49442661;982734;0;1168122;92970;0;464517;0;0;0;0;0;75671;138509045
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2020;378261320;248503686;48117864;1960863;1393636;34830;62080;21541494;717494;0;711418;53210;0;780;1754402;0;0;0;0;45001;53364563
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2020;263667310;42225589;41739;164797905;35684375;2097845;5738551;0;6384549;0;14563;6682195;0;0;0;0;0;0;0;0;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2020;75161128;46170313;222850;555703;724470;0;1502;17688013;161815;0;12037;43;0;602;0;0;0;0;0;2067;9621714
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2020;55569249;47142464;857706;199360;227457;55629;1124611;3838778;20847;0;0;67368;0;0;42235;0;0;0;0;1686;1991107
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2020;35870863;26839480;5642618;140214;21271;0;7522;2977250;16453;0;45006;0;0;0;45723;0;0;0;0;2006;133319
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2020;30671389;5902970;66508;2563135;0;210173;0;8755633;0;0;22065;92485;0;0;54547;0;0;0;0;0;13003873
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2020;27763468;23638739;0;146828;71155;0;0;3905524;301;0;0;0;0;0;920;0;0;0;0;0;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;24704170;24017947;116201;0;0;0;0;234268;0;0;237085;45546;0;0;47426;0;0;0;0;5698;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;23371631;18870300;0;0;127141;0;51334;2120947;334566;316798;27;0;0;0;621430;0;0;0;0;3977;925111
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2020;22938343;12156507;0;408;0;0;9411429;1358879;0;0;0;0;0;0;0;0;0;0;0;11119;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2020;17856636;5222256;0;96243;215445;0;0;7881116;98730;0;0;448974;0;5650;1134105;0;0;0;0;2;2754113
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2020;17655802;13567868;0;1276;0;0;0;4086589;67;0;0;0;0;0;0;0;0;0;0;1;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2020;17567065;13464766;0;567895;1053125;0;0;2326646;13977;0;0;0;0;0;140630;0;0;0;0;25;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2020;13490765;8128796;57115;2698952;602445;0;0;0;910789;0;481326;23871;0;77299;507333;0;2825;0;0;13;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2020;12395602;10108405;261060;751789;1030077;0;0;34505;209765;0;0;0;0;0;0;0;0;0;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2020;12274653;10435385;926;190891;531483;0;378438;693396;0;0;0;0;0;0;0;0;44084;0;0;48;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2020;11981956;3062917;7744;0;0;0;0;2384446;0;2082096;0;0;0;0;0;0;0;0;0;378;4444373
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/03/2020;11470498;10211456;148;16931;0;0;1241884;0;0;0;0;0;0;0;0;0;0;0;0;80;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;10971449;9953304;0;0;0;0;15127;252707;0;0;0;0;0;0;57887;0;0;0;0;2642;689783
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2020;10716778;7511839;26216;271659;0;0;1399111;424480;0;24;1043195;0;0;39823;0;0;0;0;0;431;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;01/03/2020;10539921;10347447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192474;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2020;10490132;10305576;0;182562;0;0;0;0;1993;0;0;0;0;0;0;0;0;0;0;0;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/03/2020;10174501;10167280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7221;0
