Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/03/2020;724.150.958;159.091.798;148.605.468;24.457.248;26.039.824;8.076.145;4.910.564;4.329.635;5.582.100;12.965.605;330.092.571
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/03/2020;691.440.020;365.362.781;98.859.236;90.105.607;74.715.790;26.921.230;5.916.131;9.307.474;6.112.404;14.139.367;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/03/2020;650.743.370;287.635.287;66.269.819;141.977.168;57.281.477;11.423.503;7.103.851;2.416.856;7.774.777;25.682.800;43.177.831
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/03/2020;569.708.121;142.869.274;156.620.616;46.632.535;44.769.135;7.706.857;6.687.102;3.364.479;4.100.753;18.448.324;138.509.045
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/03/2020;378.261.320;123.505.841;112.531.808;34.213.928;24.056.196;9.449.098;4.733.719;3.542.288;3.315.619;9.548.261;53.364.563
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/03/2020;263.667.310;38.442.679;91.671.792;76.749.303;29.462.643;9.270.465;6.540.343;3.347.050;452.713;7.730.323;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/03/2020;75.161.128;31.915.588;3.177.953;24.806.675;2.626.440;704.466;210.977;1.006.545;177.986;912.784;9.621.714
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/03/2020;55.569.249;1.931.194;24.247.479;10.902.470;9.606.561;1.530.316;514.951;481.989;2.405.770;1.957.411;1.991.107
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/03/2020;35.870.863;3.783.362;17.454.203;8.571.138;1.869.922;999.727;410.951;258.499;547.831;1.841.912;133.319
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/03/2020;30.671.389;3.306.088;6.573.003;4.121.232;1.301.271;531.975;426.264;884.162;269.885;253.634;13.003.873
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/03/2020;27.763.468;4.416.653;3.952.660;14.853.561;1.272.113;1.820.160;461.359;518.871;0;468.091;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;24.704.170;0;20.956.362;826.615;652.530;332.272;216.921;179.373;143.928;1.396.169;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;23.371.631;2.467.831;7.418.359;8.949.374;2.232.320;572.367;101.005;107.154;41.860;556.248;925.111
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2020;22.938.343;9.462.686;10.545.356;1.929.994;282.004;97.898;63.724;78.614;170.695;307.372;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/03/2020;17.856.636;2.368.466;5.375.967;5.044.715;1.600.276;268.097;97.885;199.132;71.547;76.437;2.754.113
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/03/2020;17.655.802;8.449.638;6.104.743;2.112.623;575.929;185.072;4.057;816;351;222.573;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/03/2020;17.567.065;2.104.921;9.670.677;2.468.394;1.894.147;572.431;159.703;113.044;112.108;471.639;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2020;13.490.765;6.661.116;5.139.703;853.202;285.480;266.258;27.545;23.324;65.599;168.538;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/03/2020;12.395.602;604.722;7.596.176;2.774.630;652.163;230.568;268.625;20.277;224.827;23.613;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/03/2020;12.274.653;11.328.440;904.390;33.253;4.026;1.662;201;74;57;2.550;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2020;11.981.956;1.064.120;3.880.212;2.111.916;74.297;1.615;5.679;16.521;51.729;331.493;4.444.373
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/03/2020;11.470.498;6.133.495;3.345.011;709.813;694.158;184.536;91.444;35.742;51.080;225.219;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;10.971.449;0;9.298.884;179.755;91.746;95.803;98.187;95.737;36.775;384.778;689.783
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2020;10.716.778;2.995.114;5.516.493;658.651;650.076;195.592;117.457;96.901;34.108;452.387;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;01/03/2020;10.539.921;0;9.551.741;138.607;196.620;125.848;77.593;67.300;60.416;321.796;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2020;10.490.132;1.168.606;3.899.549;2.673.832;1.766.792;758.298;69.652;34.355;34.139;84.910;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/03/2020;10.174.501;0;7.939.986;252.679;239.727;260.037;246.260;175.009;154.630;906.173;0
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/03/2020;9.819.552;411.480;6.761.338;989.870;1.244.842;214.956;57.457;30.581;21.918;87.110;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2020;9.708.162;518.807;6.299.562;1.612.380;890.341;277.256;74.385;9.954;8.770;16.706;0
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;01/03/2020;8.995.759;972.501;2.901.900;2.598.890;2.078.178;149.532;47.453;46.902;28.605;171.798;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;8.759.007;1.288.052;4.977.673;401.772;297.401;52.002;221.298;782;56.319;155.987;1.307.722
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2020;8.499.914;1.494.221;5.654.056;989.442;307.710;12.616;6.233;7.941;5.197;22.497;0
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/03/2020;8.012.227;155.985;6.678.805;144.156;383.478;173.200;90.435;68.894;48.789;268.485;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/03/2020;7.205.291;222.314;4.677.382;1.057.649;1.071.892;116.577;18.436;10.528;7.253;23.260;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/03/2020;6.290.071;0;4.396.138;1.267.334;502.523;16.481;20.643;15.018;21.489;50.445;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;01/03/2020;5.798.088;0;5.568.905;15.153;30.825;46.633;12.082;15.067;16.910;92.513;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/03/2020;5.336.471;809.314;1.706.409;1.814.392;891.780;73.304;8.094;1.099;19.245;12.834;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/03/2020;5.238.393;978.096;3.573.807;28.649;0;0;58.506;0;0;130.012;469.323
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/03/2020;5.141.160;1.909.212;2.489.254;284.674;191.675;88.083;36.917;31.503;27.166;82.674;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2020;5.108.985;451.546;3.387.305;247.395;131.257;159.374;154.445;101.219;156.288;295.839;24.315
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/03/2020;4.500.738;1.943.054;1.154.014;637.163;300.608;128.582;43.355;67.238;56.506;170.219;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/03/2020;4.497.441;0;2.716.900;212.490;211.048;171.572;130.921;143.693;137.995;772.823;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/03/2020;4.469.159;1.797.151;662.243;723.444;557.363;264.181;76.418;38.565;69.468;280.326;0
