cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;mar/21;779.830.113;2.261.974;15.831.560;43.336.800;71.593.285;13.395.173;2.438.238;432.758;149.289.788;108.702;2.705.852;7.679.578;16.924.142;12.780.122;30.006.798;542.827;70.748.020;338.004;1.723.741;1.389.679;30.822;0;0;8.303;3.490.549;217.065;5.616.486;2.279.437;301.604;0;0;3;8.414.595;561.118;9.105.626;14.045.087;11.622.414;4.628.424;183.017;0;40.145.686;2.120.043;4.817.066;8.887.665;4.395.106;2.767.018;4.663.081;756.174;28.406.152;327.894;16.279.490;39.406.535;83.494.919;63.882.323;181.240.657;42.856.498;427.488.317;52.518;1.844.284;5.661.477;4.092.001;2.037.736;2.793.070;0;16.481.086;160.300;1.187.642;3.202.228;3.922.186;248.982;105.178;6.707;8.833.224;
1%;1 - Público;mar/21;34,68%;51,41%;20,43%;26,32%;29,34%;24,92%;20,90%;33,54%;26,79%;19,52%;17,84%;19,70%;25,62%;48,17%;87,08%;34,89%;38,60%;23,54%;8,70%;18,35%;6,72%;0,00%;0,00%;5,04%;10,91%;35,29%;5,18%;6,02%;11,01%;0,00%;0,00%;0,00%;5,52%;44,77%;17,34%;18,17%;27,68%;21,96%;2,02%;0,00%;19,76%;38,47%;21,62%;29,13%;21,34%;35,49%;45,48%;50,66%;28,86%;57,34%;74,80%;73,52%;76,92%;88,85%;95,18%;96,09%;86,99%;52,83%;28,09%;32,67%;58,49%;63,90%;74,75%;0,00%;43,47%;49,79%;60,12%;64,07%;55,80%;38,24%;56,71%;74,54%;58,23%;
2;2 - Privado Nacional;mar/21;1.092.561.101;1.591.926;46.638.012;95.308.439;138.576.210;31.846.704;7.906.164;833.030;322.700.486;259.772;7.245.121;17.684.834;25.486.531;7.104.828;1.280.107;41.708;59.102.901;885.443;14.851.776;4.305.856;253.147;1.766.338;640.764;182;22.703.506;298.397;62.411.322;19.251.901;1.558.908;165.207;14.040;2.523.289;86.223.064;192.928;25.762.109;30.444.802;19.272.772;11.310.147;8.711.199;5.950;95.699.907;2.088.773;12.875.856;16.352.235;11.341.617;3.631.171;2.366.159;702.413;49.358.224;103.966;3.709.380;9.891.592;18.133.434;6.133.123;8.758.215;1.648.748;48.378.458;6.800;2.726.895;7.164.031;1.718.663;671.948;630.741;0;12.919.078;95.945;722.487;1.550.218;2.689.439;398.066;53.964;2.291;5.512.410;
2%;2 - Privado Nacional;mar/21;48,59%;36,18%;60,19%;57,89%;56,79%;59,24%;67,77%;64,56%;57,91%;46,66%;47,78%;45,37%;38,58%;26,78%;3,71%;2,68%;32,24%;61,67%;74,95%;56,86%;55,21%;96,13%;89,33%;0,11%;70,94%;48,52%;57,62%;50,83%;56,93%;60,99%;17,18%;99,66%;56,56%;15,39%;49,07%;39,39%;45,89%;53,66%;96,25%;100,00%;47,10%;37,90%;57,79%;53,59%;55,07%;46,58%;23,08%;47,06%;50,14%;18,18%;17,04%;18,45%;16,71%;8,53%;4,60%;3,70%;9,84%;6,84%;41,54%;41,34%;24,57%;21,07%;16,88%;0,00%;34,07%;29,80%;36,57%;31,02%;38,26%;61,14%;29,10%;25,46%;36,34%;
3;3 - Privado com Controle Estrangeiro;mar/21;375.934.172;545.920;15.015.549;25.988.054;33.833.321;8.517.322;1.322.074;24.556;85.246.795;188.265;5.213.768;13.613.275;23.643.558;6.644.522;3.171.101;971.438;53.445.927;212.279;3.240.325;1.876.970;174.516;71.108;76.506;156.350;5.808.055;99.561;40.295.346;16.340.293;877.882;105.678;67.667;8.638;57.795.065;499.182;17.632.941;32.801.118;11.099.882;5.137.913;156.642;0;67.327.678;1.302.771;4.586.206;5.272.627;4.859.990;1.398.130;3.224.703;34.041;20.678.468;139.984;1.775.647;4.303.513;6.917.127;1.886.093;422.487;94.906;15.539.757;40.092;1.993.433;4.502.376;1.185.622;479.113;312.607;460;8.513.702;65.705;65.303;245.509;417.030;4.065;26.318;0;823.930;
3%;3 - Privado com Controle Estrangeiro;mar/21;16,72%;12,41%;19,38%;15,79%;13,87%;15,84%;11,33%;1,90%;15,30%;33,82%;34,38%;34,93%;35,79%;25,05%;9,20%;62,43%;29,16%;14,79%;16,35%;24,79%;38,06%;3,87%;10,67%;94,85%;18,15%;16,19%;37,20%;43,15%;32,06%;39,01%;82,82%;0,34%;37,92%;39,83%;33,59%;42,44%;26,43%;24,38%;1,73%;0,00%;33,14%;23,64%;20,59%;17,28%;23,60%;17,93%;31,45%;2,28%;21,01%;24,48%;8,16%;8,03%;6,37%;2,62%;0,22%;0,21%;3,16%;40,33%;30,37%;25,98%;16,95%;15,02%;8,37%;100,00%;22,46%;20,41%;3,31%;4,91%;5,93%;0,62%;14,19%;0,00%;5,43%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/21;1.793.992.808;4.047.920;70.280.758;145.813.305;216.185.520;46.047.349;8.939.735;1.152.530;492.467.117;435.912;9.953.374;25.138.206;41.199.995;18.136.807;32.752.203;1.542.070;129.158.566;1.279.446;18.000.226;5.367.641;308.180;1.833.576;707.974;164.653;27.661.695;477.970;96.642.760;33.611.665;2.589.755;214.487;31.908;2.531.800;136.100.345;1.253.229;52.496.002;77.277.674;41.912.290;21.051.484;9.050.858;5.950;203.047.487;5.312.636;20.559.722;27.566.516;17.299.019;6.138.350;9.124.958;1.487.863;87.489.065;350.938;12.933.937;28.200.216;51.593.889;27.039.588;63.076.970;12.662.490;195.858.027;95.430;5.960.998;15.355.142;4.566.677;1.904.501;2.097.769;460;29.980.976;321.950;1.975.426;4.934.612;7.017.629;651.066;185.421;8.998;15.095.102;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/21;79,79%;92,00%;90,70%;88,57%;88,60%;85,65%;76,63%;89,32%;88,38%;78,30%;65,63%;64,49%;62,37%;68,36%;95,05%;99,11%;70,46%;89,11%;90,84%;70,88%;67,22%;99,79%;98,70%;99,89%;86,44%;77,72%;89,22%;88,75%;94,57%;79,18%;39,05%;99,99%;89,29%;100,00%;99,99%;99,98%;99,80%;99,88%;100,00%;100,00%;99,94%;96,39%;92,28%;90,34%;83,99%;78,73%;88,99%;99,68%;88,87%;61,37%;59,43%;52,61%;47,53%;37,61%;33,12%;28,39%;39,86%;96,00%;90,81%;88,62%;65,27%;59,72%;56,14%;100,00%;79,08%;100,00%;100,00%;98,73%;99,84%;99,99%;99,98%;100,00%;99,51%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/21;57.312.078;12.319;607.804;1.044.010;875.165;158.845;38.128;0;2.736.271;66.973;3.153.619;8.354.030;15.172.173;4.652.844;62.296;143;31.462.079;0;0;5.514;0;0;0;0;5.514;32.673;7.424.932;3.585.907;119.560;53.767;49.083;0;11.265.921;0;4.673;13.333;82.778;25.000;0;0;125.784;6.833;212.467;623.105;261.024;104.756;22.645;6;1.230.836;64.708;1.030.186;2.775.827;4.423.287;1.371.376;123.151;94.551;9.883.085;300;59.217;63.781;186.380;122.147;54.634;0;486.459;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/21;2,55%;0,28%;0,78%;0,63%;0,36%;0,30%;0,33%;0,00%;0,49%;12,03%;20,80%;21,43%;22,97%;17,54%;0,18%;0,01%;17,16%;0,00%;0,00%;0,07%;0,00%;0,00%;0,00%;0,00%;0,02%;5,31%;6,85%;9,47%;4,37%;19,85%;60,07%;0,00%;7,39%;0,00%;0,01%;0,02%;0,20%;0,12%;0,00%;0,00%;0,06%;0,12%;0,95%;2,04%;1,27%;1,34%;0,22%;0,00%;1,25%;11,32%;4,73%;5,18%;4,08%;1,91%;0,06%;0,21%;2,01%;0,30%;0,90%;0,37%;2,66%;3,83%;1,46%;0,00%;1,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3S;b3S - Cooperativa de Crédito Singulares;mar/21;91.177.545;266.835;5.995.602;16.160.722;25.075.015;7.153.215;2.629.542;40.020;57.320.951;20.300;1.229.662;3.323.320;5.891.709;2.454.800;993.066;5.303;13.918.161;134.625;1.806.999;2.182.513;150.306;3.870;9.296;182;4.287.791;100.445;4.054.095;428.861;1.046;233;596;112;4.585.389;0;0;0;0;0;0;0;0;181.735;1.386.594;2.061.472;2.691.387;1.361.818;1.069.459;4.247;8.756.714;2.103;71.795;195.586;381.615;111.978;8.376;0;771.452;318;255.614;857.383;343.332;52.953;27.487;0;1.537.087;0;0;0;0;0;0;0;0;
b3S%;b3S - Cooperativa de Crédito Singulares;mar/21;4,06%;6,06%;7,74%;9,82%;10,28%;13,31%;22,54%;3,10%;10,29%;3,65%;8,11%;8,53%;8,92%;9,25%;2,88%;0,34%;7,59%;9,38%;9,12%;28,82%;32,78%;0,21%;1,30%;0,11%;13,40%;16,33%;3,74%;1,13%;0,04%;0,09%;0,73%;0,00%;3,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,30%;6,22%;6,76%;13,07%;17,47%;10,43%;0,28%;8,90%;0,37%;0,33%;0,36%;0,35%;0,16%;0,00%;0,00%;0,16%;0,32%;3,89%;4,95%;4,91%;1,66%;0,74%;0,00%;4,05%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3C;b3C - Central e Confederação de Cooperativas de Crédito;mar/21;2.127.026;9;324.890;831.809;352.559;51.960;6.061;0;1.567.288;0;615;2.582;5.538;657;0;0;9.392;0;0;10.000;0;0;0;0;10.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.762;48.264;209.398;148.557;3.154;164;416.300;0;7.516;78.337;38.193;0;0;0;124.046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;mar/21;0,09%;0,00%;0,42%;0,51%;0,14%;0,10%;0,05%;0,00%;0,28%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,13%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,16%;1,02%;1,91%;0,03%;0,01%;0,42%;0,00%;0,03%;0,15%;0,04%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b4;b4 - Banco de Desenvolvimento;mar/21;291.321.532;5.963;57.604;194.670;566.894;158.416;12.902;97.625;1.094.074;5.209;90.877;418.208;976.588;344.339;351.318;2.534;2.189.074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.177;43.297;138.323;111.904;36.486;27.348;0;358.535;141.498;7.579.768;21.869.138;50.861.600;42.733.056;126.922.035;31.841.424;281.948.520;3.324;283.748;1.036.584;1.793.686;1.087.541;1.526.446;0;5.731.330;0;0;0;0;0;0;0;0;
b4%;b4 - Banco de Desenvolvimento;mar/21;12,96%;0,14%;0,07%;0,12%;0,23%;0,29%;0,11%;7,57%;0,20%;0,94%;0,60%;1,07%;1,48%;1,30%;1,02%;0,16%;1,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,19%;0,45%;0,54%;0,47%;0,27%;0,00%;0,36%;24,74%;34,83%;40,80%;46,86%;59,43%;66,65%;71,39%;57,38%;3,34%;4,32%;5,98%;25,64%;34,11%;40,85%;0,00%;15,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n1;n1 - Não Bancário de Crédito;mar/21;12.388.941;66.773;218.461;588.777;947.664;189.415;40.108;168;2.051.367;28.344;736.595;1.741.341;2.808.227;940.025;299.122;5.923;6.559.577;21.655;8.617;6.838;0;0;0;0;37.110;3.934;201.368;245.197;28.033;2.398;121;17;481.070;0;0;0;0;0;0;0;0;9.205;65.484;74.542;23.979;6.351;6.378;0;185.938;12.598;141.316;482.537;1.246.896;645.540;290.827;1.687;2.821.402;38;5.035;14.994;106.211;21.655;30.082;0;178.015;0;6;63.342;11.026;47;40;0;74.463;
