cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;mar/21;1.088.952.836;2.044.586;12.141.430;33.941.243;68.945.417;44.637.039;36.862.719;2.681.970;201.254.405;1.490.260;5.487.719;14.628.500;17.955.929;6.942.653;3.678.302;415.204;50.598.567;36.779;505.446;1.334.993;2.073.820;492.967;310;100.427;4.544.743;949.049;14.604.090;40.127.576;93.845.649;77.640.606;228.634.377;105.927.809;561.729.156;2.679.977;31.987.508;8.185.352;515.452;26.209;25.098;200.202;43.619.799;1.489.739;21.159.008;61.093.190;55.393.922;29.597.147;26.212.252;317.978;195.263.237;1.886.160;7.885.112;8.028.161;4.256.783;2.378.340;2.834.242;243.562;27.512.359;4.430.569
1%;1 - Público;mar/21;45,28%;48,45%;37,72%;38,72%;41,74%;47,08%;55,64%;99,89%;44,43%;30,08%;21,69%;27,69%;30,50%;38,13%;47,99%;85,76%;30,06%;1,37%;1,80%;1,86%;1,96%;2,77%;0,53%;95,78%;2,01%;82,34%;73,49%;72,87%;73,32%;74,15%;76,46%;81,45%;76,13%;14,90%;17,89%;11,15%;6,41%;2,49%;9,24%;99,96%;15,59%;79,07%;52,00%;65,01%;63,17%;65,66%;73,83%;99,11%;63,99%;23,56%;21,88%;22,49%;12,54%;16,88%;30,60%;49,51%;20,01%;4,56%
2;2 - Privado Nacional;mar/21;983.043.191;1.303.842;15.808.744;42.333.192;75.816.152;39.165.472;21.825.937;1.294;196.254.633;2.883.626;17.847.984;33.328.031;32.454.241;9.157.842;3.412.834;52.478;99.137.036;1.766.819;17.265.986;43.609.919;63.699.266;10.251.957;30.580;120;136.624.647;163.970;3.892.488;10.922.470;24.979.619;19.813.791;51.971.316;17.929.254;129.672.908;11.809.991;113.738.189;50.270.387;5.828.887;754.302;114.411;45;182.516.212;229.263;13.889.321;26.827.697;21.437.610;9.148.070;6.615.574;0;78.147.534;4.356.686;19.090.716;17.415.973;19.790.779;6.836.619;3.478.403;116.391;71.085.567;89.604.653
2%;2 - Privado Nacional;mar/21;40,88%;30,89%;49,12%;48,29%;45,90%;41,31%;32,94%;0,05%;43,33%;58,20%;70,55%;63,09%;55,12%;50,30%;44,52%;10,84%;58,90%;65,84%;61,34%;60,83%;60,31%;57,55%;51,81%;0,11%;60,42%;14,23%;19,59%;19,83%;19,52%;18,92%;17,38%;13,79%;17,57%;65,66%;63,61%;68,49%;72,53%;71,57%;42,13%;0,02%;65,24%;12,17%;34,14%;28,55%;24,45%;20,29%;18,63%;0,00%;25,61%;54,42%;52,97%;48,80%;58,30%;48,52%;37,56%;23,66%;51,69%;92,23%
3;3 - Privado com Controle Estrangeiro;mar/21;332.851.545;871.993;4.237.010;11.383.208;20.397.569;11.009.256;7.565.257;1.694;55.465.986;580.783;1.963.418;4.866.524;8.467.932;2.107.256;573.863;16.441;18.576.217;879.705;10.375.451;26.743.374;39.852.429;7.069.903;28.138;4.307;84.953.308;39.548;1.375.485;4.017.344;9.175.123;7.246.170;18.422.380;6.198.473;46.474.523;3.495.852;33.073.726;14.940.193;1.692.244;273.370;132.073;42;53.607.500;165.173;5.638.827;6.055.486;10.856.246;6.334.225;2.674.378;2.847;31.727.180;1.762.977;9.062.063;10.245.701;9.897.465;4.874.966;2.948.949;132.003;38.924.123;3.122.707
3%;3 - Privado com Controle Estrangeiro;mar/21;13,84%;20,66%;13,16%;12,99%;12,35%;11,61%;11,42%;0,06%;12,24%;11,72%;7,76%;9,21%;14,38%;11,57%;7,49%;3,40%;11,04%;32,78%;36,86%;37,31%;37,73%;39,69%;47,67%;4,11%;37,57%;3,43%;6,92%;7,30%;7,17%;6,92%;6,16%;4,77%;6,30%;19,44%;18,50%;20,36%;21,06%;25,94%;48,63%;0,02%;19,16%;8,77%;13,86%;6,44%;12,38%;14,05%;7,53%;0,89%;10,40%;22,02%;25,15%;28,71%;29,16%;34,60%;31,84%;26,83%;28,30%;3,21%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/21;2.175.868.698;4.140.782;31.140.302;84.778.144;159.762.522;91.644.834;63.293.506;2.684.384;437.444.474;4.027.581;18.269.524;39.086.196;44.768.069;13.813.294;5.568.935;432.517;125.966.114;2.413.617;23.665.660;60.045.766;88.203.138;14.954.782;44.521;104.769;189.432.252;1.112.207;19.779.714;54.814.483;127.448.603;104.271.894;297.869.816;129.652.007;734.948.723;13.873.033;146.618.481;61.038.237;6.985.809;1.026.601;271.581;200.289;230.014.030;1.709.454;27.394.643;73.706.232;70.193.675;37.077.960;31.146.784;320.825;241.549.572;7.117.781;31.589.055;31.105.027;29.697.380;12.003.320;7.385.180;457.859;119.355.602;97.157.930
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/21;90,48%;98,11%;96,75%;96,72%;96,73%;96,66%;95,53%;99,98%;96,57%;81,29%;72,21%;73,99%;76,04%;75,86%;72,65%;89,34%;74,84%;89,95%;84,08%;83,76%;83,51%;83,95%;75,42%;99,92%;83,77%;96,50%;99,54%;99,54%;99,57%;99,59%;99,61%;99,69%;99,60%;77,13%;82,00%;83,16%;86,93%;97,41%;100,00%;100,00%;82,22%;90,73%;67,33%;78,43%;80,05%;82,25%;87,73%;100,00%;79,16%;88,91%;87,66%;87,15%;87,49%;85,19%;79,74%;93,07%;86,79%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/21;52.957.285;3.107;29.212;79.574;137.715;67.418;45.044;0;362.069;33.273;88.726;171.806;211.043;41.240;3.746;0;549.834;207.262;3.386.543;8.701.992;12.285.743;1.793.649;3.718;0;26.378.908;1.573;8.236;22.887;45.352;29.887;46.710;2.071;156.716;1.465.301;7.491.436;3.310.390;562.809;88;0;0;12.830.025;19.525;1.862.111;1.269.658;4.726.754;2.845.822;1.030.960;0;11.754.831;6.833;384.320;108.201;185.481;112.243;125.898;1.927;924.902;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/21;2,20%;0,07%;0,09%;0,09%;0,08%;0,07%;0,07%;0,00%;0,08%;0,67%;0,35%;0,33%;0,36%;0,23%;0,05%;0,00%;0,33%;7,72%;12,03%;12,14%;11,63%;10,07%;6,30%;0,00%;11,67%;0,14%;0,04%;0,04%;0,04%;0,03%;0,02%;0,00%;0,02%;8,15%;4,19%;4,51%;7,00%;0,01%;0,00%;0,00%;4,59%;1,04%;4,58%;1,35%;5,39%;6,31%;2,90%;0,00%;3,85%;0,09%;1,07%;0,30%;0,55%;0,80%;1,36%;0,39%;0,67%;0,00%
