Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42156;68935770;20917586;89853356;38137711;127991067;749291147;7498004;39488;4111397;0;11648889;30116897;791056934;NA;0,0871;0,1136;0,1618;NA%;0,1606
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42156;96959047;49374;97008420;29415859;126424280;681789037;7604982;572627;9956545;1127573;19261727;35508837;736559601;NA;0,1316;0,1317;0,1716;NA%;0,301
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42156;73931002;0;73931002;36965501;110896503;597646642;18245710;0;11925487;0;30171197;25075903;652893742;NA;0,1132;0,1132;0,1699;NA%;0,0974
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42156;77501951;0;77501951;19513015;97014965;552851291;3600273;410644;11115462;131107;15257485;39117367;607226143;NA;0,1276;0,1276;0,1598;NA%;0,3962
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42156;57802919;0;57802919;19740682;77543601;517248310;1811071;0;1756766;0;3567837;33593240;554409387;NA;0,1043;0,1043;0,1399;NA%;0,1425
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42156;57482919;3928066;61410985;5572692;66983676;323101055;7042356;0;22081836;231609;29355802;18627431;371084288;NA;0,1549;0,1655;0,1805;NA%;0,1803
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42156;14198513;4085681;18284194;4265039;22549234;77570473;2313004;26045173;20055209;3947709;52361095;1945665;131877233;NA;0,1077;0,1386;0,171;NA%;0,3732
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42156;9013070;0;9013070;5793604;14806674;92800820;166088;0;7514939;191386;7872412;11172782;111846015;NA;0,0806;0,0806;0,1324;NA%;0,1888
