Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42156;1372861145;686244262;1300326671;1090398385;72534473;8803411;127991067;0,1618;0,1606;5550;1491
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42156;1120897723;453278512;1015009643;736184777;105888081;10981144;126424280;0,1716;0,301;3865;911
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42156;1119160905;648093147;1092723984;965484356;26436921;2796606;77543601;0,1399;0,1425;3404;844
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42156;911452831;368812063;873424225;593159388;38028606;3514568;110896503;0,1699;0,0974;4;0
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42156;844769114;355018731;757783836;628495781;86985278;8718254;97014965;0,1598;0,3962;4673;1266
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42156;606370373;254239250;543258887;406803458;63111486;4746702;66983676;0,1805;0,1803;2750;1182
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42156;179348322;19758199;163051341;96527623;16296981;2231478;22549234;0,171;0,3732;13;0
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42156;176792355;68457180;167111628;112057663;9680727;4024;14806674;0,1324;0,1888;854;463
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42156;142603383;54670339;133276995;114824583;9326388;886970;12284948;0,1407;0,2176;108;6
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42156;103507357;51878720;95660290;63482060;7847067;267776;10967143;0,1486;0,033;112;0
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42156;70992997;17494452;63967683;32765597;7025314;363391;6762640;0,1262;0,13;134;18
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42156;63824901;31091241;57973800;48181356;5851102;339932;7033776;0,1771;0,038;532;206
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42156;40573015;13854279;37706307;19197422;2866708;158128;5294087;0,142;0,0426;299;3
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42156;40270171;6647067;36864501;21610213;3405669;9254;4509821;0,1719;0,1293;10;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42156;38016072;3784782;36887722;6700605;1128350;-165915;1106143;0,1644;0,0866;5;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42156;38003611;1965720;34094061;10191517;3909550;153216;3807605;0,1711;0,0113;8;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42156;32855751;10596349;29977751;13243606;2878000;177412;3355227;0,1577;0,0203;10;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42156;31982785;3840662;30240371;6973968;1742414;86497;1723175;0,1345;0,0185;3;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42156;28826796;12820941;27678412;26609398;1148384;65038;1274142;0,2082;0,0768;5;0
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42156;26172126;18148927;22611202;18391547;3560923;-69919;3290401;0,1648;0,171;4;0
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42156;25410021;9918824;24563495;22583782;846526;56634;839300;0,1588;0,0964;4;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42156;23607097;20715347;20823729;17026500;2783368;161998;3797866;0,1965;0,0096;1;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42156;23091987;11639134;20756785;16875211;2335202;170356;3045327;0,148;0,0134;6;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;42156;20489218;11763007;17842969;15491765;2646249;188412;2638754;0,1825;0,0874;37;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;C;3;SAO PAULO;SP;42156;18653818;13557562;17133563;14597299;1520255;77573;2082360;0,1312;0,0133;17;0
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42156;17265004;7871516;14097826;9208108;3167177;69419;2039954;0,1819;0,3383;23;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42156;16119488;4229019;15003024;14252738;1116463;82373;1109531;0,1792;0,1939;136;27
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;42156;15431746;8630755;14487480;12117674;944265;-267988;1511414;0,125;0,1034;36;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42156;15039243;418902;13583087;2226390;1456156;106595;1467802;0,1502;0,0322;2;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;42156;14390998;79148;12151815;5743331;2239183;160969;2179627;0,2117;0,0072;2;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;42156;14200569;11920776;12034007;11484353;2166562;98777;2166562;0,1572;0,0158;3;0
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42156;13843957;7748789;11661930;10820282;2182027;64934;2102480;0,209;0,1138;46;1
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;42156;13772145;11341094;12152192;5204507;1619953;101520;1454760;0,1284;0,0228;1;0
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;42156;13558320;9386965;12255302;10106654;1303018;39791;1416846;0,1451;0,1473;118;7
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;42156;12867895;8536150;12123471;9628784;744424;48243;1063913;0,1287;0,2497;195;3
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;42156;12349855;3762511;10555011;4294442;1794844;106698;2673551;0,1658;0,1009;124;3
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;42156;12258347;1849211;11031562;5913106;1226785;34312;1223668;0,2653;0,0438;2;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;42156;11070407;10721894;9643899;8924421;1426508;39557;1549828;0,1409;0,0015;2;0
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;42156;10056440;5281289;8848548;7287292;1207892;20173;1248418;0,1305;0,0239;12;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;42156;9992122;0;8772184;4521327;1219938;101676;1175454;0,1915;0,0145;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;42156;8776290;268557;8423607;0;352683;0;150127;0,132;0,0295;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;42156;7791071;6252926;6557992;6208317;1233079;73343;1230352;0,1873;0,0202;1;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;42156;7705731;3809694;7287077;7074920;418654;14545;275240;0,1752;0;2;0
BARCLAYS - PRUDENCIAL;1000080817;b1;;C;3;SAO PAULO;SP;42156;7268575;17075;6698872;2634621;569703;25473;559668;0,3303;0,0455;1;0
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;42156;6974788;2930104;6112906;4409249;861882;36225;860530;0,2632;0,003;2;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;42156;6779329;5483728;5088056;4495333;1691272;5359;1061856;0,17;0,0976;1;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;42156;6525596;1736403;5084247;2623554;1441349;1638;766085;0,1414;0,028;3;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;42156;6252901;3431995;5405004;4262081;847897;-194894;553635;0,1293;0,0232;8;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;;C;2;RIO DE JANEIRO;RJ;42156;6064271;0;1305604;6;4758667;312761;4758667;0,4805;0;1;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;42156;6045377;2747031;5290160;4331634;755217;40413;1355698;0,2435;0,0031;1;0
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;42156;5791219;3797791;4412944;4338983;1378275;63021;1162291;0,2698;0,3981;2;0
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;42156;5676142;3081489;3537751;3272498;2138391;55674;1987285;0,3558;0,1614;2;0
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;42156;5644710;1206094;625344;505143;5019366;61853;715271;0,1787;0,0612;54;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;42156;5460694;3947890;4885143;4387417;575551;31761;550144;0,1398;0,0317;1;0
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;42156;5410284;1070476;4755222;3972703;655062;2221;653904;0,167;0,0495;5;0
