Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42156;16723436;351129115;111603576;634434202;-26728946;607705256;450050;812864;303076;-28854;1537136;190296374;66243830;27925497;1373164221;303076;1372861145
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42156;17797725;188566149;212387719;398762013;-25340682;373421331;1407299;9813651;6008543;-211900;17017593;206318040;67712580;43685128;1126906266;6008543;1120897723
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42156;12848709;125729829;170092630;637354089;-29057375;608296714;0;0;0;0;0;62861944;126559044;12772035;1119160905;0;1119160905
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42156;525744;15573752;162740436;368050250;-2755959;365294291;0;0;0;0;0;47086199;304138335;16094075;911452831;0;911452831
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42156;11509470;176259959;149650644;322544541;-22186012;300358529;62034;6833187;3373709;-223229;10045701;101341030;53661800;45315690;848142823;3373709;844769114
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42156;5522060;56850234;142321890;217116973;-14445579;202671394;30477;5921722;2967936;-70274;8849862;139816283;36955460;16351127;609338310;2967936;606370373
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42156;1610537;40315149;80703140;17318768;-1020121;16298647;0;0;0;0;0;29816531;1472879;9131438;179348322;0;179348322
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42156;3236591;24940726;36122567;57308299;-4095077;53213222;12873;987059;158819;-78112;1080640;43897416;11022395;3437618;176951175;158819;176792355
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42156;789313;38960677;42497856;47109710;-2082233;45027477;103847;2149173;1044029;-22384;3274665;9367514;1079732;2650178;143647412;1044029;142603383
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42156;220552;18207821;25726434;49491947;-3023288;46468658;13443;365277;139791;-26424;492087;11411211;701081;419303;103647148;139791;103507357
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42156;607397;14188480;20873419;12245870;-843122;11402748;1781;189506;18517;-5112;204693;20100087;2673551;961139;71011514;18517;70992997
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42156;712461;1506216;19737358;29279471;-1853738;27425733;239;130160;63141;-7220;186320;6247685;7782693;289576;63888042;63141;63824901
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42156;201214;9606779;14949940;13080587;-1091896;11988690;0;0;0;0;0;3254114;343371;228907;40573015;0;40573015
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42156;1955831;14368771;10478132;6170817;-328800;5842017;0;0;0;0;0;6747867;30368;847186;40270171;0;40270171
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42156;2433;3273057;2624709;1689450;-142983;1546467;2739;789037;80143;-10344;861574;29625519;46327;116128;38096215;80143;38016072
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42156;209074;5416674;19094160;1025847;-3576;1022271;0;0;0;0;0;12026769;111947;122716;38003611;0;38003611
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42156;23861;4296187;4037497;6636220;-287576;6348644;0;77817;0;0;77817;17530181;464376;77188;32855751;0;32855751
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42156;126747;2349568;3853412;2596944;-9108;2587835;0;0;0;0;0;22933302;100013;31909;31982785;0;31982785
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42156;55132;10007815;4712265;12665056;-4997;12660059;0;0;0;0;0;766077;527538;97909;28826796;0;28826796
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42156;66863;1283094;1884356;17033409;-903962;16129447;990;83512;63948;-3933;144516;5315699;805941;606158;26236074;63948;26172126
