Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;42887;14329748;448395796;129812467;593386059;-36602307;556783752;298383;459594;243801;-30467;971312;184772508;74162803;34383832;1443612218;243801;1443368417
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;42887;22575276;283787482;218032871;419875806;-34090495;385785311;6579961;3827983;2471954;-344140;12535758;223442289;95688403;45256860;1287104250;2471954;1284632297
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;42887;9237141;154173080;184657821;703710351;-35144113;668566238;0;0;0;0;0;81975953;165542430;12847991;1277000654;0;1277000654
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;42887;13267198;177295743;222072889;331431424;-35386731;296044692;42007;4084545;1762056;-163405;5725202;148986507;73353643;64308386;1001054260;1762056;999292204
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;42887;26429;86642975;160339069;345859837;-16079041;329780796;0;0;0;0;0;38578670;254834151;13437934;883640023;0;883640023
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;42887;8254596;51426863;164467720;215067349;-16286398;198780951;15958;4920947;2231976;-65454;7103428;140219800;70682578;14218210;655154146;2231976;652922170
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;42887;695247;65855181;26711636;44547933;-2576293;41971639;25259;2122792;1061022;-52396;3156677;10205843;2839441;3980730;155416394;1061022;154355372
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;42887;988631;29720032;38010947;12136481;-1041217;11095264;0;1240;0;0;1240;27369117;2021039;9096937;118303207;0;118303207
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;42887;134903;17366302;28741945;44054272;-3074410;40979861;379;133593;6113;-4638;135447;12173674;736689;1764098;102032920;6113;102026806
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;42887;781214;15488730;22533569;13173746;-987309;12186437;534;79921;19929;-2630;97754;21860761;5981446;476646;79406556;19929;79386626
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;42887;775982;880980;22714515;28013314;-2591281;25422033;350;98625;52830;-6093;145712;7516043;11575238;1578660;70609165;52830;70556334
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;42887;154448;10355437;25074571;11248957;-1094528;10154430;0;0;0;0;0;4072967;597965;204886;50614703;0;50614703
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S2;C;3;SAO PAULO;SP;42887;3179583;19863065;11313711;4669871;-458278;4211593;0;0;0;0;0;7415244;5697;461622;46450516;0;46450516
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;42887;8735;13323692;11384398;9980721;-38226;9942495;0;0;0;0;0;4525692;1380422;108195;40673628;0;40673628
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;42887;157767;4565125;6573775;9039809;-403656;8636153;0;0;0;0;0;19474172;366109;112119;39885220;0;39885220
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;42887;68381;15021416;5464533;15693901;-8728;15685173;0;0;0;0;0;1187138;1066023;118332;38610997;0;38610997
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;42887;272898;16080023;10247146;857977;-2310;855667;0;0;0;0;0;6559588;17219;111414;34143955;0;34143955
PAN;1000080257;b1;S3;C;2;SAO PAULO;SP;42887;15492;217265;2284736;18359429;-1206283;17153147;42;4299;3706;-231;7816;6396821;626526;604916;27306719;3706;27303013
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;42887;20440;6041519;7811589;10837549;-386521;10451028;0;0;0;0;0;1876652;302776;45961;26549966;0;26549966
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;42887;424061;796837;8421022;6637495;-609708;6027787;974;81312;42571;-11664;113194;8214525;386799;185489;24569712;42571;24527141
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;42887;85576;4945376;2561375;11052054;-699236;10352818;2644;464567;52777;-15744;504244;4391309;430242;257545;23528484;52777;23475708
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;42887;94354;3185754;1720105;13465365;-484858;12980507;0;0;0;0;0;3442131;1463;18677;21442990;0;21442990
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;42887;403762;8453640;7613146;944743;-1151;943592;0;0;0;0;0;3216522;566100;43156;21239919;0;21239919
