Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;42887;113816116;49446;113865562;19788491;133654053;642616355;4359664;965072;19163882;2960974;27449593;54417146;724483094;1324764495;0,1571;0,1572;0,1845;0,086;0,2398
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;42887;64733761;22909285;87643046;39404571;127047617;633781384;12105186;3669;4527303;8613;16644771;54986312;705412467;1149921941;0,0918;0,1242;0,1801;0,0762;0,1656
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;42887;71948742;5373689;77322431;25727605;103050036;550858207;5388425;63858;14664842;413220;20530346;47222493;618611046;1076310183;0,1163;0,125;0,1666;0,0718;0,3957
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;42887;51765739;0;51765739;31428054;83193794;508485712;1608324;1836557;7433079;0;10877960;57488105;576851777;1371032489;0,0897;0,0897;0,1442;0,0378;0,1162
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;42887;84395903;0;84395903;42197951;126593854;504029279;12121252;0;4919484;0;17040736;35416564;556486579;860403881;0,1517;0,1517;0,2275;0,0981;0,0987
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;42887;53608791;4188367;57797157;4249894;62047052;316141341;4160048;0;23675924;387341;28223312;31914296;376278950;638812423;0,1425;0,1536;0,1649;0,0905;0,1635
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;42887;11353733;4356427;15710160;2855188;18565348;53157140;1518681;3703535;25135859;7045330;37403405;7080091;97640636;135909145;0,1163;0,1609;0,1901;0,1156;0,263
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;42887;9525977;995572;10521549;1942384;12463933;72782321;904017;0;912984;84346;1901347;6137422;80821090;175807831;0,1179;0,1302;0,1542;0,0598;0,3126
