Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2017;699936912;364359848;76291214;124010695;67057515;29475300;12739658;4085558;4088357;17828768;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2017;615254117;278519093;59981462;125754594;62018802;11354053;13988013;4978902;4905264;20115159;33638774
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2017;502780994;117238393;120003850;17332180;13658642;7809807;5960285;4878150;3505797;12181028;200212860
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2017;405040229;99254366;116708240;37085058;33105729;10028579;5630722;4206475;2952813;19027190;77041056
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2017;316591664;51157487;84140268;119377851;40430717;6053202;11154521;1799084;44085;2434449;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2017;262143388;86936842;94857470;17988413;13027042;11006196;4534102;2916429;1938509;7873859;21064526
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2017;53943496;29775806;10936014;1456470;808158;575984;49664;46080;17586;1160379;9117357
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2017;47046460;3209031;19899630;8818583;8761643;1651700;581301;367161;448832;1741901;1566679
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2017;29625570;2670450;17915350;3755324;1592711;737964;351859;365719;530929;1590879;114385
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;18527509;0;14392307;1158654;823602;705507;355357;201539;159212;731332;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2017;17249334;5700619;6685634;2465215;327373;889775;150776;122674;131284;775986;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2017;15692946;1910176;3890461;7518441;714867;959884;354662;86571;17810;240075;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/09/2017;13948573;6340748;5952816;480656;341790;172039;280493;103372;35630;241029;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;13311604;208;6116603;4737737;1237417;157588;148630;66079;94136;621824;131383
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2017;13134989;1155022;2798335;1091458;721539;1658344;85914;469362;984;566981;4587051
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;13091472;1982738;9027805;695772;693334;92070;59564;172629;57425;310135;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/09/2017;12857115;466962;7766537;1845561;1288561;530662;281385;102038;62848;512561;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;12620595;693945;4002804;3647330;1204775;239483;175573;70153;22936;114024;2449571
