Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2017;316590173;17700132;909636;2992147;294988258;0;0;
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;01/09/2017;302407474;5274132;32919791;63379901;170094642;1337;30737671;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2017;276913232;2666535;14349023;45095952;61747587;10184;153043951;
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;01/09/2017;235411433;35622593;27130543;53492777;42647688;10072;76507761;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;01/09/2017;178409231;12846828;22791235;30927685;111823993;19490;0;
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2017;119323545;5632385;15177208;38776800;45557070;4469;14175613;
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2017;42715131;407230;933172;9647598;22619318;53;9107760;
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2017;13106376;710425;890689;585092;9353490;0;1566679;
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;12452416;241456;1353515;4655087;3752786;1;2449571;
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2017;12143922;486356;161979;825914;6348454;17269;4303951;
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2017;11113097;2581523;71211;601246;7859093;24;0;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/09/2017;10257495;745353;588450;4306617;4617075;1;0;
