Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2017;316590173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2354221;14637455;32950196;71218374;57750902;112013100;25165089;316089337;0;25016;74899;158061;128533;114327;0;500835;0;0;0;0;0;0;0;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2017;302407474;3011878;6427314;11044682;18307785;5050644;2443839;1652108;47938250;358895;1857086;4028551;13610182;11662268;22481063;2182497;56180541;274440;1191888;1186957;98202;0;0;124333;2875821;256073;4454574;1301755;539858;74450;0;0;6626709;685331;7698442;12442103;11050383;10827014;4021786;0;46725058;2271717;2842712;2241362;4840322;3373248;2926072;1281897;19777329;934270;5063005;11468326;18030536;8555198;15014056;7873239;66938629;65841;4180656;7376416;5501460;964272;1504767;5491;19598902;315602;541788;1767033;2219821;89393;37659;37266;5008563;30737671
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2017;276913232;447201;7571003;10525720;13014400;2303318;632429;1054;34495124;26666;462731;894174;1132496;175762;58476;0;2750305;677019;6665714;204161;126727;0;0;0;7673622;108287;7428067;1759392;93906;37967;26319;0;9453937;44254;4392263;7078338;3978514;724904;2757230;0;18975502;779575;1941536;3234061;3535999;1464827;1109600;0;12065597;171765;2694658;6470603;10055270;4568984;3804497;273031;28038808;655;1542142;2558051;743371;171067;262022;0;5277307;154982;656202;2106440;1902306;310202;8715;232;5139079;153043951
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2017;235411433;1306024;7729118;13011414;14128085;3031049;498391;159;39704241;209609;1506362;2811975;2639093;398285;108925;45;7674293;521511;6694014;1029468;41;0;0;0;8245034;87868;7967450;2005898;371828;10912;4570;0;10448525;120796;10098109;10160432;6934076;1241715;1028302;0;29583430;1575856;3460547;3383783;4030674;1212558;970086;282587;14916090;29952;2554281;7918543;9736211;4888577;7951394;572502;33651460;5375;659081;2218212;1700069;531451;143547;0;5257734;130923;420230;1767828;5395058;1632325;76113;387;9422866;76507761
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2017;178409231;2434801;4325664;11165314;24140131;4297550;2482643;5631;48851735;83024;243712;425529;768145;157660;41234;3958;1723261;499935;547067;1657268;82316;0;0;0;2786587;46358;601001;29829;0;0;0;0;677188;165005;2004039;2778341;1946823;7534;0;3153863;10055605;2548915;950024;1250365;2005957;982942;740994;1776;8480973;499307;5260346;10524415;20189789;12578098;33044945;8955722;91052623;14723;783773;1911014;140402;7542;6912;0;2864367;483713;3340846;3911038;3685751;259992;235416;136;11916892;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2017;119323545;1234571;4518903;7634740;8702086;2241693;1069098;320863;25721954;65788;800099;1752830;1870276;277163;537634;260;5304050;255794;3535886;1206756;299306;127751;58905;3599;5487997;168777;12045377;5685671;439431;35094;5041;12063;18391454;140098;5303633;6222071;2464361;498575;514874;0;15143611;893168;1215623;1424743;2266590;798833;231619;69342;6899918;87157;1091375;4160310;4441848;1702207;3031902;1942540;16457339;563;1551513;4029043;1161145;219844;79613;1827;7043549;189897;1326912;2388998;740143;44098;6968;1043;4698059;14175613
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2017;42715131;58374;2777309;4175550;3444214;474986;58860;0;10989292;3693;691210;991901;685193;89038;33704;0;2494738;28429;834526;138891;23533;0;0;0;1025380;392;3704467;1108734;1560;28;0;0;4815181;7596;1212694;2541195;1825336;525277;141574;0;6253672;15206;194898;571939;63024;15293;0;0;860360;7343;438402;1825166;1808366;713013;294046;0;5086335;801;645428;800857;233488;43342;29805;0;1753721;138;33885;133584;145718;15368;0;0;328693;9107760
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2017;13106376;63976;225559;652282;868696;396333;90116;0;2296963;72364;175970;431944;497764;33810;9;0;1211862;0;0;0;0;0;0;0;0;7145;983622;189128;69456;75127;62154;0;1386633;21924;673630;886616;1578120;292901;109911;0;3563102;13746;16074;42420;23008;1632;2566;0;99446;1202;175404;643864;973072;493536;360574;0;2647652;0;41565;108612;131212;51500;1149;0;334038;0;0;0;0;0;0;0;0;1566679
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;12452416;105985;904668;1372200;1325904;177446;34019;0;3920223;7733;110744;313023;272280;35116;0;0;738896;1168;100115;61544;0;0;0;0;162827;0;180457;241738;12148;6533;0;0;440875;11578;399218;937338;642700;90692;0;0;2081525;9736;73569;104507;11621;36468;3231;0;239132;115;66265;234021;333792;117618;48981;0;800792;0;204342;726615;481684;98094;107838;0;1618574;0;0;0;0;0;0;0;0;2449571
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2017;12143922;432957;392326;672842;1023980;53933;522468;0;3098506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29728;143315;127912;247732;34485;1504;0;584676;56139;143227;607752;289822;69939;5913;0;1172792;84541;8971;23116;66235;5372;1728;0;189963;0;11922;38097;138465;155299;871906;1578345;2794035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4303951
