Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;01/09/2017;18976294;405692;11860304;3145198;469506;1810700;36667693;-15768985;-2352761;-607496;0;-4096776;-22826017;13841677;4720038;2841412;-4305431;-4912154;-1640798;-295036;9696286;-8860041;-2755725;11085951;62997;11148948;-3683060;-1652681;5813207;-2592154
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;01/09/2017;17849885;422291;9532349;2943504;0;1249731;31997759;-15321878;-649534;-376567;-26721;-4953792;-21328491;10669269;3009480;2440034;-6001566;-5406341;-1267730;1966223;4558487;-5603247;-6304660;4364608;-200059;4164549;-1260198;0;2904352;-1786383
BB;49906;b1;S1;C;1;BRASILIA;DF;01/09/2017;18134546;61990;12891389;-659509;149550;958804;31536770;-20419074;-1920917;-36698;0;-6314340;-28691029;2845740;3197008;2446036;-4921573;-4056508;-1114039;1064435;9169088;-4826643;957804;3803544;70122;3873666;-634048;-367527;2872091;-834174
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;01/09/2017;21610356;0;9438504;-2212412;0;2549743;31386190;-15105027;-4332785;0;-145707;-3203361;-22786879;8599311;4815805;1483628;-5593558;-2576097;-941076;367442;2770583;-5556776;-5230050;3369261;-211694;3157567;-676725;-312391;2168451;-341069
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;01/09/2017;11571764;481185;6822327;2164902;350534;1337389;22728100;-9688564;-469615;-396183;0;-3012350;-13566713;9161388;2572601;1078014;-1848522;-2829357;-1010708;155343;5630303;-8253242;-4505568;4655820;-19298;4636522;-2277334;-439950;1919239;-1044000
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;01/09/2017;9719345;0;5127639;-1469078;0;0;13377907;-494511;-9514377;0;-27295;-520396;-10556579;2821328;54554;0;-369842;-82347;-153833;1222437;1327545;-1553386;445129;3266457;-462;3265995;-1408401;-125;1857470;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;01/09/2017;1792697;218274;2198889;26104;0;62997;4298962;-2799872;-153133;-179496;-6404;-3032;-3141937;1157025;225614;88142;-466406;-400645;-89918;59558;288380;-192193;-487468;669557;12047;681603;-193008;0;488596;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;01/09/2017;2642526;49173;718733;-158694;0;5553;3257291;-1835935;-48550;-31916;-18094;-512552;-2447046;810245;113116;215333;-259922;-319382;-93835;79695;404362;-580721;-441354;368892;24494;393386;-199327;-40749;153311;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;01/09/2017;342147;0;1143362;1233784;35851;28826;2783969;-1396385;-641256;0;0;-31303;-2068945;715024;291981;3888;-142742;-1889965;-64839;322642;1105574;-270418;-643879;71146;-26877;44269;863696;-198768;709196;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;01/09/2017;1653705;7818;519008;-101516;0;243288;2322303;-1038796;-107600;-6444;-16326;-33495;-1202661;1119641;39037;234552;-458956;-347323;-86017;70235;204662;-495588;-839399;280242;6789;287031;-37872;-28702;220456;-83038
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;01/09/2017;543052;13092;959550;-408991;340225;84604;1531533;-540835;-162988;-9542;0;-157948;-871314;660219;339495;84748;-308057;-403476;-75177;19817;288304;-359633;-413978;246240;-864;245376;-191071;-49862;4443;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;01/09/2017;1595688;1018;57859;-214146;0;0;1440419;-722870;-2;-936;-3032;-272349;-999189;441230;32919;51629;-97644;-456764;-39945;1428;254649;-167656;-421386;19844;1892;21736;89533;0;111269;-48300
