Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2017;521527681;1828921;6112658;15391212;25434762;11746012;5095488;475;65609527;683127;865540;2019800;1740342;901;4;10250;5319965;335690;1191025;2714323;2816963;133275;74;905;7192255;1532714;12644659;33926548;77416376;61691224;165053161;61978833;414243515;1654115;5806958;1908854;136957;5974;4529;0;9517387;239255;590993;1875432;918166;334387;155009;0;4113242;2084789;4083894;3400035;2986285;1506718;1397037;73031;15531789;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2017;312846643;262999;4414934;12144102;24662137;15568738;8307461;410192;65770564;648950;2568667;7554615;8497718;3837353;1649028;1200714;25957045;56920;620418;1496199;1925325;295304;91;39519;4433777;53759;559554;1227080;3240093;3201174;15641772;19213231;43136663;984421;18553434;3190475;234107;51;0;690920;23653407;2380954;16051473;40322275;34365389;21883270;19963618;848907;135815887;696926;1215071;2905156;2907350;1895946;1156863;400885;11178196;2901103
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2017;225867762;424815;4029234;9934170;18425177;9452082;2309986;90;44575555;486791;1662789;2546752;4146394;1076237;34753;0;9953716;210382;1743423;4197950;6638290;1130927;1873;0;13922845;75531;632061;1453275;3757530;3535184;14242586;12126233;35822399;4328952;38971052;13605373;269919;11;0;0;57175306;1337;318951;381973;202752;62723;19188;0;986923;1773354;5201473;2983408;4564596;1544286;194994;0;16262110;47168909
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2017;169628796;231488;4598262;11352248;17873599;6937063;1558532;482;42551673;982004;5004470;5177541;2776060;221895;14815;92;14176876;311120;3112569;7218314;8297954;909401;2878;0;19852236;78021;630489;1393523;3556695;3322585;12997860;10003611;31982782;4466150;18250974;8953008;383966;16183;1128;0;32071408;351047;2721526;5399113;3389740;1495464;786885;0;14143775;1738648;5429666;2901938;3131403;859496;235288;20310;14316750;533296
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2017;142819843;341908;2288191;5805672;9008626;3723284;1620319;240;22788240;540963;1151152;2490103;3667910;1055054;64115;109;8969405;500504;4752898;11365739;14937299;2136555;11509;2463;33706966;43312;1131424;2673952;5625000;4082060;9772512;3922890;27251149;1367353;16235794;4593960;493249;117896;41812;24;22850089;32185;713978;1797563;1461881;498404;349568;0;4853579;1590008;4862706;3202411;3662937;1506774;681909;4758;15511502;6888913
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2017;33940084;78490;404722;922215;1186485;350135;56886;0;2998933;10218;125054;46950;9557;0;0;0;191779;602289;4280180;9815209;12510462;1538000;457;0;28746597;0;0;0;0;0;0;0;0;291707;1063682;380871;11742;0;0;0;1748002;774;7450;22333;49973;4725;2520;0;87775;322;30969;28896;91384;8489;6912;25;166997;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2017;19447519;114411;872735;2310668;4118925;2222281;1126842;35;10765897;41824;452889;279752;150159;76524;24838;0;1025987;392;6707;15409;19417;2115;27;0;44067;2704;50211;137247;356527;334224;1292379;955819;3129113;38885;762649;178760;14500;0;0;0;994794;44645;173139;576595;369991;272867;270054;6101;1713393;118018;1009933;223471;231306;113082;78409;50;1774268;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;15646426;91536;621333;1652964;2854857;1391067;489905;0;7101661;12770;50210;108485;108682;6224;0;0;286372;155890;766613;1755072;2299694;287282;53;0;5264605;953;5737;14080;30909;23361;51107;9553;135699;303987;1619439;203188;15114;2327;1038;0;2145093;0;0;0;0;0;0;0;0;29892;57325;137448;224126;104267;152915;7022;712996;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2017;11228365;12710;409835;1106543;2043808;1073793;265164;0;4911853;1367;138700;260067;189280;41218;4563;0;635196;35835;726237;1788049;2364218;288442;132;0;5202913;17;131;433;842;943;559;0;2924;849;146951;41285;39;0;0;0;189124;507;54827;24693;28184;13795;2894;0;124901;2312;128688;12210;5444;2357;846;0;151858;9597
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;9503556;61916;581739;1628686;2752012;1219749;211142;0;6455244;6119;29462;62254;17141;5;0;0;114982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183219;1908571;573513;71777;406;76;9;2737572;0;1935;7118;2095;1048;0;0;12196;37543;42025;57336;46649;10;0;0;183563;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2017;9418673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67442;594743;1653942;1390544;558072;341039;0;4605782;52509;513131;1393184;1856960;761097;236010;0;4812891;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/09/2017;7823070;21455;374896;923535;1871756;977631;260699;0;4429972;14407;339093;411249;697761;320988;129240;0;1912738;2439;16879;39470;44614;5864;1;0;109266;582;28518;82690;216706;205606;242552;0;776654;51;1218;94;0;0;0;0;1363;5852;21942;56341;64564;36621;29532;0;214851;7431;28765;142551;26507;12565;5309;155098;378226;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;7055962;27024;77386;176584;182323;44206;14376;62;521961;74962;114904;121703;55471;74;1;0;367115;6473;7865;11879;5013;85;1;0;31317;0;0;0;0;0;0;0;0;328352;5593166;77294;64429;9928;0;0;6073170;0;0;0;0;0;0;0;0;1206;10630;5125;17127;13001;15309;0;62400;0
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/09/2017;6609815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81129;1115638;2504600;2625333;282697;418;0;6609815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/09/2017;6592448;0;13143;33482;47124;15048;1983;0;110781;0;27;81;36;0;0;0;144;0;5356;14955;26068;18963;9839;0;75181;0;1940;3215;8152;7925;34337;26494;82062;0;0;0;0;0;0;0;0;0;387479;799962;2010699;1701324;1409151;0;6308615;485;3081;5829;4101;539;1629;0;15665;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2017;6136237;3325;22794;53836;104784;30768;69;0;215576;25035;161875;246324;417098;91389;5;0;941727;0;0;0;0;0;0;0;0;923;25556;61696;147811;126621;433950;257327;1053882;341610;2490044;668253;200728;346;0;0;3700981;0;0;50936;0;0;0;0;50936;38487;104068;12909;11248;6413;9;0;173134;0
