Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2017;699936912;134333844;480559117;29852411;0;21;40190326;0;0;532972;4364862;0;0;10023592;79767;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2017;615254117;360723421;61308729;18744496;116655;21579;99560132;0;34551940;1981982;252251;0;0;4254116;100041;33638774
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2017;502780994;211316003;45610795;10366820;798118;6265326;26422646;88819;767585;436077;91963;0;0;5603;398380;200212860
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2017;405040229;193436885;55119853;24073308;14590;12439241;38471135;186539;292242;3461448;0;0;25072;0;478860;77041056
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2017;316591664;56430752;29968;218720885;6248444;10692838;2618564;11993012;0;17203;9839992;0;0;5;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2017;262143388;167808433;40313136;8643576;2646;177124;21976493;1291158;0;218795;514369;0;3482;9891;119760;21064526
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2017;53943496;25928255;334744;3114051;0;1187076;13815027;370966;0;67161;355;0;7846;0;659;9117357
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2017;47046460;38385384;27788;1066071;57417;1523360;4175241;140881;0;0;92124;0;0;0;11516;1566679
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2017;29625570;19581219;5350390;285390;0;946369;3284820;0;0;43769;0;0;0;0;19227;114385
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;18527509;15994836;467081;0;0;0;1469093;0;0;355719;101053;0;0;133978;5750;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2017;17249334;12061587;1155526;446317;0;0;3527364;52268;0;0;0;0;0;0;6272;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2017;15692946;13264615;149398;239855;0;0;2036429;0;0;0;0;0;0;2649;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/09/2017;13948573;9318015;50854;2821962;0;0;0;0;0;522608;0;0;342;1234787;5;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;13311604;10058175;2947;165995;0;201403;1536965;411544;135552;188;12794;0;4130;648517;2011;131383
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2017;13134989;786731;80473;2494799;35595;0;4575366;0;0;93736;237849;0;0;226119;17269;4587051
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;13091472;9958533;0;56714;0;2094344;959203;0;0;0;0;0;0;2709;19969;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/09/2017;12857115;9762108;0;1452774;0;0;1626069;0;0;0;0;0;0;16100;64;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;12620595;2549830;0;661766;0;4042;6427583;73641;0;0;22079;0;0;432080;1;2449571
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/09/2017;10729596;6095132;26129;1087168;0;1023708;956533;0;20;1516673;0;0;23756;0;478;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/09/2017;8768317;7533827;1018381;62499;0;142637;0;0;0;10782;0;0;0;0;191;0
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/09/2017;8660933;8660932;0;0;0;0;0;0;0;0;0;0;0;0;2;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;8256177;7472526;0;3796;0;28488;709687;0;0;0;0;0;0;37630;4049;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/09/2017;8083620;7151235;0;260125;0;347061;324972;0;0;0;0;0;0;0;227;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/09/2017;7868198;5656610;0;1752074;0;0;0;459514;0;0;0;0;0;0;0;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;7152585;5067780;0;669524;0;3969;1235626;174864;0;0;0;0;0;0;821;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;7115645;3376468;16857;0;0;0;1375724;0;840654;14064;0;0;0;0;452;1491425
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/09/2017;6999094;6434967;0;193417;337853;0;0;32858;0;0;0;0;0;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/09/2017;6912531;6541120;0;367195;0;0;0;4217;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/09/2017;5904288;4666726;133044;0;0;274111;820159;0;0;1458;0;0;0;0;8791;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/09/2017;5872781;2003691;9516;1548757;0;16;31296;489712;14221;189715;476594;0;13778;1095485;0;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/09/2017;5613833;5588651;0;0;0;0;0;0;0;0;0;0;0;0;25181;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/09/2017;5424174;5041190;0;215767;0;0;159773;0;0;0;0;0;0;0;7444;0
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/09/2017;5322622;5314339;0;0;0;0;0;0;0;0;0;0;0;0;8283;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/09/2017;4719378;4612395;0;44615;0;0;49598;12769;0;0;0;0;0;0;0;0
CREDIT SUISSE;30771;b1;C;3;S2;199;SAO PAULO;SP;01/09/2017;4693381;418189;0;0;0;0;1639998;0;0;0;1276773;0;0;0;0;1358420
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/09/2017;4325618;4300088;0;0;0;0;25529;0;0;0;0;0;0;0;1;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;4105137;1234100;13304;36235;0;26421;1743420;0;0;0;290398;0;0;461339;0;299920
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S4;8;BELEM;PA;01/09/2017;3916107;3911631;0;0;0;192;0;0;0;4085;0;0;0;0;199;0
