Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2020;450401342;190932;9514104;26942854;34282637;8444569;881510;91523;80348129;18471;1307417;3499303;5456416;1402978;30992;0;11715577;695163;4683522;64472;21032;0;0;0;5464189;72545;12638682;4674127;692897;229995;2704;0;18310951;31169;4354550;10412939;4467995;8532546;406517;0;28205716;645004;4315886;6853812;6111293;1491854;411030;6;19828884;92641;1314900;3108019;5375330;1182861;1930973;268337;13273062;0;865784;4428343;407247;196467;196413;0;6094254;319740;471028;753627;698472;88714;22573;0;2354154;264806426
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2020;293048790;693320;9493523;29695954;34470803;10158966;2429941;600531;87543039;65055;2384249;5578047;7840074;1830181;212757;12;17910375;276375;3785791;927913;0;0;0;0;4990079;135576;13917549;3211817;31683;2423;0;0;17299048;31344;7654412;18817628;8395937;5293408;5266386;0;45459115;587272;3421756;2625148;879134;574886;25504;8;8113708;87808;1547231;4530552;8244097;3237074;5252775;173479;23073016;5361;654628;2749486;281012;129283;84902;0;3904672;64420;288363;587209;2003509;501718;32894;2378;3480491;81275247
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2020;277412272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;835709;6022217;22896823;52653237;41079452;122274098;30818961;276580499;0;20941;105072;209537;113851;382373;0;831774;0;0;0;0;0;0;0;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2020;273878316;680200;6704099;22087574;29005961;4899092;1191803;282065;64850794;348313;2321289;6564478;14128191;11710947;30883895;274411;66231523;121880;1058393;769139;989451;0;0;9307;2948171;135875;4098670;1700550;253713;0;0;3;6188810;443479;7315364;13658322;8196995;6478981;36519;0;36129660;1197396;3535600;3007786;3101566;2110341;4170298;678823;17801810;85100;1943581;5435884;9189499;4890754;14641588;3932272;40118679;39230;621170;3208123;1666612;913272;1276327;391;7725125;774942;132759;466809;493614;12606;0;0;1880729;30003015
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2020;182231533;400108;5729691;13873685;19045980;5290801;1080928;278403;45699596;76352;1121873;2787699;4158124;1066971;2447958;683337;12342314;245819;2019129;994539;254035;78023;90134;8055;3689734;65218;16483207;10237290;655738;37267;26490;7051;27512261;64207;4607486;7603175;2194293;2973780;28483;0;17471424;558952;1713171;2621184;3743504;3668138;415809;457090;13177849;11575;654727;1605522;2949804;692347;293890;134;6207999;1621;1358174;3919122;425250;97767;76756;458;5879148;62527;111366;435244;395575;1322;27555;0;1033589;49217619
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2020;161276676;1213625;2787282;11690592;27442913;5773566;1158417;2459;50068855;17381;38621;131752;281062;105788;26931;30;601565;214419;137109;614472;314;0;0;0;966314;10702;76846;7045;0;0;0;0;94593;275250;994102;1087760;289469;40470;0;0;2687051;695150;628539;1276274;912241;352230;170776;158;4035368;134689;5612802;9716626;19015816;14513156;36848569;6579770;92421428;18215;260936;2523193;39303;3064;673;0;2845384;86404;1081193;2821241;3339835;132569;94851;24;7556117;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2020;60359121;54757;4023135;9012561;12380226;3333776;573577;0;29378033;9293;623295;1195921;1187795;247260;17882;0;3281446;52049;413709;51819;1892;0;0;0;519469;4843;2893908;1345160;146756;3787;0;0;4394454;7126;2058345;2692381;1312062;1285959;653717;0;8009589;14564;468628;955779;317369;39486;0;0;1795827;239;144591;494734;858560;345084;308091;0;2151300;62;185130;452464;301164;158764;150129;0;1247713;0;13576;69094;114000;812;0;0;197482;9383809
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2020;44684638;108263;448476;5319029;5906515;797880;851751;0;13431914;0;0;10821;0;0;0;0;10821;0;1407;0;0;0;0;0;1407;450;3351374;2305311;242801;13580;404;0;5913919;72015;121085;1942284;1545133;304553;0;0;3985069;232911;16662;192493;306214;19459;8284;0;776023;0;21796;110007;644782;455715;1211843;1324595;3768738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16796745
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2020;20412820;107430;1235460;2396853;1622530;746457;6508;0;6115237;0;6071;16250;26492;2996;0;0;51809;0;113985;84108;0;0;0;0;198093;205;3568405;1721096;6776;231;107;0;5296820;0;1396578;3158844;1513745;1420092;0;0;7489259;146261;194631;13351;0;0;0;7;354249;0;328;291;0;0;0;0;619;0;325450;552457;28826;0;0;0;906733;0;0;0;0;0;0;0;0;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;19527641;19045;860355;2719757;4567092;869835;4737;56;9040878;2679;198773;499607;632582;168843;1359;2232;1506076;9883;562692;850122;4079;0;0;0;1426776;16700;4138545;759113;41897;9330;0;0;4965585;5089;689812;676770;157095;1165;0;0;1529931;25399;32944;7034;7775;1534;0;0;74685;642;24697;59728;65396;10008;1489;0;161961;5638;19552;192079;31914;0;0;0;249183;0;0;0;0;0;0;0;0;572565
