Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2020;769164459;296201511;56538830;3020440;2094254;300382;17698770;48740876;4580112;55873;86173;119565;0;0;524199;0;0;0;0;117589;339085884
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2020;745628888;130465185;535382496;23306632;0;0;22;30836237;0;0;302189;14801763;0;0;10510342;0;0;0;0;24023;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2020;656155226;400823580;59278371;9115760;7243720;29114;3131;83392382;6843447;50016369;1786260;140876;0;0;2939439;0;0;0;0;22677;34520100
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2020;532796700;277313575;63334527;4132279;7001484;17182;12662565;67594770;4197327;0;628876;97665;0;453895;0;13036857;0;0;0;72331;82253369
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2020;398007801;257830556;49041482;1626139;1472900;18857;44372;31421522;913076;0;647350;49659;0;626;3072173;0;0;0;0;56039;51813049
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2020;277412272;43739881;76244;163495594;47259229;1608734;5725655;2435446;6551217;0;16824;6503449;0;0;0;0;0;0;0;0;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2020;84700100;50096172;199027;474107;934191;0;1324;23163062;428743;0;7981;0;0;135;0;0;0;0;0;2762;9392594
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2020;56178109;47714491;873590;177843;129064;36398;813034;4913243;5251;0;0;57579;0;0;136734;0;0;0;0;1433;1319448
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2020;46220072;8896096;66707;2597346;0;220295;0;16182535;919834;0;19369;78371;0;0;211216;0;0;0;0;0;17028304
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2020;36054730;26713013;5354204;127149;20754;0;7509;3042244;603565;0;27360;0;0;0;43501;0;0;0;0;2647;112782
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2020;28195740;24493787;63356;116806;57506;0;0;3463520;0;0;0;0;0;0;765;0;0;0;0;0;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;28033910;23563445;128;0;93616;0;33269;2420373;322684;248064;3194;0;0;0;770251;0;0;0;0;6322;572565
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;25300163;24762045;106556;0;0;0;0;127520;0;0;220064;36579;0;0;41450;0;0;0;0;5948;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2020;20466053;13979109;0;583;0;0;0;6486324;37;0;0;0;0;0;0;0;0;0;0;0;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;20346566;9732339;0;0;0;0;9240835;1357722;0;0;0;0;0;0;0;0;0;0;0;15669;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;19231244;5313163;0;71005;224339;0;0;9883004;267148;0;70023;450387;0;3773;673676;0;0;0;0;3;2274722
