Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2020;450401342;5851438;24425924;67161494;86682827;1471827;1405;264806426
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2020;293048790;9825527;57207182;63740181;78508815;2491220;620;81275247
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2020;277412272;0;1453528;2199214;267412618;6346912;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2020;273878316;4514779;29172812;50079707;158003850;2103744;409;30003015
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2020;182231533;6888804;28265389;42906185;52611440;2340038;2057;49217619
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2020;161276676;13456313;23409245;29900055;94510931;0;133;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2020;60359121;670643;2535860;17649514;29842957;275936;403;9383809
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2020;44684638;7704147;264373;1512230;18346573;60569;0;16796745
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2020;20412820;3700;83355;1725537;17762718;837510;0;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;19527641;276453;720334;9789997;7569827;598453;13;572565
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;18619020;313276;1834107;6307315;8030041;39830;3;2094448
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;12616125;0;19835;722296;11860885;13109;0;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/09/2020;12141996;492554;1666219;5292414;4654150;1715;34945;0
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2020;12050845;1259617;73567;986141;8356858;55213;0;1319448
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2020;11001848;175614;593;1195241;9630400;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/09/2020;10566241;149882;877345;4499327;4393788;645899;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/09/2020;9989176;663920;2691611;5384364;1249278;0;2;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;9329134;70910;288457;2369163;3196818;0;0;3403786
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2020;8938294;327537;1763172;2583766;3972531;178474;32;112782
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;7764033;91142;328520;796299;6035563;0;0;512509
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/09/2020;6457508;1016;8785;1280141;2327488;0;0;2840077
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;5931483;242705;479841;1803024;3173315;232598;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/09/2020;5714101;327053;503800;1873507;2609906;399829;6;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/09/2020;5484545;226712;612357;1933303;2415287;296884;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/09/2020;5338612;976347;1995090;2138924;60886;167364;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;5247913;33000;253399;598906;764292;1707490;465;1890361
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/09/2020;5154617;553766;1176208;2811058;500353;113233;0;0
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;4849420;0;0;265238;4384108;200074;0;0
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;4757546;8049;36796;705270;4007430;0;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/09/2020;4408379;151891;153;429349;3760730;1962;1;64293
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;4378859;0;0;586506;3380235;412118;0;0
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/09/2020;4125499;223315;943998;2507755;447173;3258;0;0
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/09/2020;3785876;24780;127781;951477;2380951;198038;0;102849
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/09/2020;3364807;968519;1520998;588476;261349;25386;80;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/09/2020;3279930;1126140;10431;1463069;680289;0;1;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;3234480;360362;98431;949296;1629729;133183;0;63479
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;3028496;29933;20917;320780;2580615;76250;0;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/09/2020;2838735;37898;70042;794540;1268213;555498;0;112543
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/09/2020;2777610;158287;492937;150268;1976117;0;2;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/09/2020;2772788;303638;946327;1323318;199503;0;1;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;01/09/2020;2666529;0;0;101325;2565205;0;0;0
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;01/09/2020;2630612;13601;137357;1259526;1220127;0;0;0
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/09/2020;2547200;0;141609;777943;1627647;0;0;0
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/09/2020;2349160;96415;12455;183741;21420;2035130;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;01/09/2020;2238302;58525;132842;1230546;552031;264357;0;0
MIZUHO;51554;b1;I;3;S4;199;SAO PAULO;SP;01/09/2020;2134757;0;0;427797;1144799;0;0;562160
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/09/2020;2131607;41019;0;957210;1093629;0;0;39749
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/09/2020;2109194;65775;334821;1073807;610239;24552;0;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/09/2020;2062001;157955;767;122930;1780349;0;0;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/09/2020;1885858;132402;499967;875396;355483;22610;1;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/09/2020;1863285;60715;292889;1079661;360519;69501;0;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;1784255;358563;309419;716197;213224;186852;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/09/2020;1767294;205457;424780;900367;236689;0;0;0
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/09/2020;1739620;755651;148939;532610;302407;0;13;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/09/2020;1586430;498258;843944;232500;1278;10446;5;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/09/2020;1533534;9663;249140;1116153;132290;26262;28;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;1527518;219145;521232;558991;146842;81308;0;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/09/2020;1522843;164463;438942;506226;367663;45548;1;0
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;S4;8;SAO PAULO;SP;01/09/2020;1483551;0;24489;306577;1152485;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/09/2020;1436098;258892;606133;422340;148732;0;2;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/09/2020;1373060;220164;379927;512455;260507;4;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/09/2020;1358954;198822;480482;600013;79636;0;2;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/09/2020;1358211;330839;641710;366572;9201;9888;1;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/09/2020;1323253;68006;226217;756366;227414;45251;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/09/2020;1314520;139438;107857;770802;296347;74;1;0
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/09/2020;1310604;291583;191496;785161;42364;0;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/09/2020;1230311;2385;53616;443057;731253;0;0;0
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;S4;8;SAO PAULO;SP;01/09/2020;1216986;0;0;77263;1139723;0;0;0
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/09/2020;1207733;191251;457045;467304;63265;28866;3;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/09/2020;1163925;69258;115498;715668;262705;795;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/09/2020;1138554;95555;528636;423041;28807;62513;1;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/09/2020;1124176;312865;232911;531294;13365;33742;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/09/2020;1113087;160434;494246;313881;144517;0;9;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/09/2020;1054253;76181;175208;765192;37671;0;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;I;2;S4;9;ERECHIM;RS;01/09/2020;1000801;134642;457479;369257;39422;0;1;0
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17453575;b1;I;3;S4;8;SAO PAULO;SP;01/09/2020;988472;5378;26922;114767;841405;0;0;0
