Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;01/09/2020;20775587;217457;6998598;-2186131;357670;442300;26605482;-10479888;-3539835;-71995;0;-6675950;-20767669;5837813;5891654;3045635;-4706249;-5517935;-1200510;2879842;5945192;-7270564;-932936;4904878;63749;4968626;1270332;-1729484;4509475;0
BB;49906;b1;S1;C;1;BRASILIA;DF;01/09/2020;20083001;22460;5399284;529743;0;304027;26338516;-8425810;-5097318;-15703;-355520;-6623202;-20517554;5820961;3334287;2550678;-5481599;-2970415;-973402;1778055;2235465;-3054643;-2581574;3239387;-834;3238553;266018;-397899;3106672;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;01/09/2020;18025973;387715;6333218;-642852;720828;381735;25206617;-5775090;-3333750;-375627;0;-5381099;-14865566;10341051;3169007;2744430;-4350103;-5262035;-1258430;2754039;1943107;-6013562;-6273547;4067504;-42371;4025133;193642;0;4218776;0
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;01/09/2020;15858202;0;1916328;675010;76015;973877;19499432;-4710678;-4916376;0;0;-3670397;-13297451;6201982;4533761;1557004;-5525249;-2546336;-845731;990808;1625765;-5522490;-5732466;469515;69332;538847;1613016;-396622;1755241;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;01/09/2020;13664773;369700;3173730;-417038;517516;276355;17585036;-4698180;-3626587;-314000;0;-2990687;-11629454;5955583;2641895;1344303;-1710217;-2808431;-815254;519191;6385529;-7223156;-1666141;4289442;35225;4324667;-103445;-426371;3794850;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;01/09/2020;8296992;0;1735645;1083259;0;0;11115896;-392497;-7183231;0;-32219;81841;-7526106;3589790;133762;0;-299027;-49204;-166627;6568357;239952;-249947;6177266;9767057;2797;9769854;-1043373;-17;8726464;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;01/09/2020;787367;0;2725714;-253027;0;14067;3274121;-1586505;-1106857;0;-248938;-12961;-2955261;318860;972924;26144;-216741;-393121;-95207;568950;754305;-469122;1148132;1466992;-56453;1410540;53612;-434661;1029491;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;01/09/2020;2212933;20129;300323;497245;136295;5519;3172444;-1721617;-338782;-18226;0;-792516;-2871141;301303;144061;209890;-346891;-386980;-104862;85514;766330;-685085;-318023;-16720;3990;-12730;353998;-66576;274691;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;01/09/2020;2228706;125735;812801;-242241;151458;41952;3118410;-1661879;-305935;-104372;0;-299302;-2371488;746922;368452;144047;-696284;-583358;-127762;252507;911285;-472562;-203676;543246;10403;553649;-100384;0;453265;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;01/09/2020;21431;0;377910;2036209;70396;0;2505944;-88305;-1992635;0;0;-22003;-2102943;403001;325416;335;-216132;-59153;-39486;0;24986;-2982;32985;435986;-179;435807;-182991;-5631;247184;0
