Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2020;769164459;198793694;147399570;24245789;26215687;7580970;4156708;4013131;5206744;12466282;339085884
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/09/2020;745628888;396737425;110704125;94488151;82506915;27069559;5672881;9349840;6403447;12696547;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2020;656155226;272351278;57831242;147991623;86704183;13974335;11094939;3183043;2637643;25866839;34520100
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2020;532796700;141265762;97532598;106623622;53507940;17929989;6837783;3712026;4011437;19122176;82253369
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2020;398007801;135147410;120904331;34085247;23880941;11227289;4598359;3960310;3312123;9078741;51813049
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/09/2020;277412272;41094252;97655986;79403591;25619407;15310349;7018808;3577130;0;7732749;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2020;84700100;42443793;5047834;22613428;2032767;411785;295687;1073855;194216;1194142;9392594
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/09/2020;56178109;2507375;24535734;9997380;9885903;1444623;2048612;349948;1934055;2155032;1319448
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2020;46220072;8986230;9315311;7114312;605789;1147508;475955;266694;925175;354795;17028304
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2020;36054730;4406753;17402594;8513306;1557061;973869;478129;337886;310567;1961783;112782
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2020;28195740;4779997;4277178;14135475;1627724;1810359;581010;515617;224327;244055;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;28033910;3021956;8072744;12827895;2117018;671267;172095;117139;38094;423136;572565
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;25300163;0;21710564;637725;568262;360601;223248;176016;207807;1415939;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2020;20466053;6834976;9145308;3413261;375507;323204;14;89738;0;284046;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;20346566;9188127;8684001;1600205;179157;72800;43338;63862;70481;444594;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;19231244;2213612;6019115;5922562;1905464;417096;126174;54331;97598;200570;2274722
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/09/2020;17671000;2771008;10037217;2297838;1427882;374793;128691;73795;40184;519592;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/09/2020;13855864;8083461;3048666;1223986;883214;193759;89560;57367;44066;231784;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/09/2020;13698986;12029562;1652754;14287;240;69;68;56;65;1885;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/09/2020;13444815;6229174;5343670;970391;318989;233536;28089;22573;71220;227171;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/09/2020;12630619;659908;7246049;3507640;408127;295679;195348;11666;255066;51137;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2020;12507970;0;10434486;177085;283680;62657;78119;76213;52943;480029;862760
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;01/09/2020;12123281;0;11228171;99569;94171;64668;51004;54185;83479;448032;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;11545503;1463882;2784554;2135494;1258838;1831;11612;62315;179353;243838;3403786
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/09/2020;11257859;3163753;5602606;1054488;630518;251163;42604;82294;23417;407016;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/09/2020;11217164;3993056;6516486;30007;10149;0;0;0;56486;98470;512509
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/09/2020;11045598;965617;6747431;1865238;1017942;303278;98629;11131;11983;24350;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/09/2020;10538955;1208480;3633771;2798361;1670879;907543;114694;65126;35878;104224;0
