Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CCB;32119;b1;C;3;;199;SAO PAULO;SP;set/16;6.704.787;212.422;2.359.412;635.975;821.795;254.308;277.696;151.451;69.597;262.534;1.659.598
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;set/16;6.524.982;802.835;2.199.552;1.180.834;1.002.405;1.029.532;59.416;62.652;18.356;169.399;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;set/16;6.316.126;197.004;2.973.158;1.783.755;817.416;174.912;139.867;32.705;43.182;154.128;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;set/16;5.810.207;1.706.876;1.037.731;1.200.975;1.232.908;345.364;151.482;16.486;19.845;98.540;0
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;set/16;5.046.681;0;3.626.194;132.681;117.609;168.369;143.185;121.164;117.962;619.517;0
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;set/16;4.572.107;31.065;3.984.425;92.901;70.603;56.564;61.748;54.339;30.368;190.093;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;set/16;4.483.258;0;3.197.214;674.009;400.040;28.639;22.587;33.594;16.741;110.436;0
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;set/16;4.478.045;759.621;2.003.608;930.595;453.563;117.533;170.123;4.277;4.312;34.412;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;set/16;3.975.974;260.433;327.290;1.805.589;270.107;151.651;139.127;15.670;32.372;61.453;912.284
PARANÁ BANCO;30881;b1;C;2;;199;CURITIBA;PR;set/16;3.869.962;0;3.105.670;360.421;134.662;57.801;100.461;18.290;16.155;76.501;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;set/16;3.856.432;414.892;2.560.538;418.482;334.381;61.188;24.722;7.986;6.188;28.055;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;set/16;3.789.368;1.827.003;765.390;425.012;253.492;203.521;48.423;40.851;21.283;204.395;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;set/16;3.730.690;603.987;1.027.210;1.176.864;551.491;143.588;50.828;32.200;38.314;106.209;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;set/16;3.716.447;364.913;412.532;814.503;1.227.351;258.579;99.950;113.014;63.739;16.052;345.814
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;set/16;3.647.646;972.769;1.488.355;846.200;67.129;26.284;101.650;46.508;22.446;76.306;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;set/16;3.646.321;0;3.391.102;22.604;67.656;12.409;11.898;19.582;10.235;110.834;0
ING;51073;b1;C;3;;199;SAO PAULO;SP;set/16;3.591.290;3.240.711;38.981;0;0;0;311.598;0;0;0;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;set/16;3.473.211;1.190.886;619.257;1.157.111;402.731;35.156;13.422;7.461;6.440;40.748;0
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;set/16;3.349.359;665;1.474.077;436.312;837.217;337.088;65.306;50.226;30.905;117.564;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;set/16;3.317.228;2.294.725;223.481;106.543;23.945;0;14.692;0;0;39.994;613.847
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;set/16;3.282.320;716.168;1.089.541;798.206;269.402;134.719;112.725;40.902;12.200;108.457;0
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;set/16;2.960.642;1.421.022;1.016.584;61.917;25.472;108.135;202.323;102.762;0;22.428;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;set/16;2.761.703;501.480;1.129.246;604.670;199.980;81.636;46.983;19.155;21.778;156.775;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;set/16;2.663.408;0;1.622.760;140.708;136.988;96.108;82.429;76.784;74.901;432.729;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;set/16;2.538.707;860.615;464.792;526.292;100.253;369.202;71.704;16.081;100.698;29.071;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;set/16;2.466.586;86.041;1.675.280;377.067;130.739;50.932;7.900;12.034;7.097;119.497;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;set/16;2.325.477;1.274.678;70;43.285;0;0;0;0;0;0;1.007.444
INTERMEDIUM;51884;b1;C;2;;199;BELO HORIZONTE;MG;set/16;2.279.266;229.602;1.698.751;109.484;73.445;40.001;27.512;24.959;21.055;54.457;0
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;set/16;2.162.516;0;294.025;492.017;209.347;97.534;51.698;37.195;33.769;946.932;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;set/16;2.115.931;517.224;824.078;473.841;130.594;36.203;34.050;42.536;16.434;40.973;0
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;set/16;2.110.722;0;374.819;816.119;824.356;41.274;23.453;2.161;5;28.535;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;;14;SAO PAULO;SP;set/16;2.106.514;NI;1.322.037;102.414;92.796;81.390;66.691;57.910;78.844;304.432;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;set/16;2.102.273;0;1.028.033;103.333;120.366;99.315;115.102;95.308;83.900;456.916;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;set/16;2.074.608;0;1.414.747;309.166;115.703;86.381;31.429;38.985;15.244;62.954;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;set/16;1.940.630;941.108;561.777;329.356;27.330;7.835;34.309;3.688;8.499;26.728;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;set/16;1.843.455;775.697;785.858;191.931;45.454;22.909;12.015;2.273;1.115;6.202;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;I;2;;9;SERTAOZINHO;SP;set/16;1.752.873;0;1.061.442;341.414;156.574;56.192;17.194;35.975;23.669;60.413;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;;25;BRASILIA;DF;set/16;1.628.442;573.781;693.283;103.898;38.481;22.926;163.659;12.096;4.950;15.368;0
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;set/16;1.579.281;49.084;412.434;951.372;100.657;23.867;6.916;5.128;6.160;23.664;0
BANCO RODOBENS S.A.;33603457;b1;I;2;;8;SAO PAULO;SP;set/16;1.511.248;573.692;587.600;156.345;55.475;46.888;52.173;10.028;5.013;24.034;0
BMW;51420;n1;C;3;;197;SAO PAULO;SP;set/16;1.507.527;274.549;450.475;286.016;218.575;185.914;78.451;1.991;1.368;10.188;0
