Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2016;690511571;142267520;453501256;28517451;0;12;51199947;0;0;620175;4074893;0;16;10258787;71515;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2016;656652912;372491341;60614008;18704742;287670;71876;113529401;0;42281331;2152084;233600;0;0;3189166;108236;42989455
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2016;552920628;226217872;46195168;9651828;973366;7498365;25685026;44505;725557;483487;145666;0;0;6202;464874;234828712
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2016;446495583;202985507;54267462;28878701;28327;16252525;41937132;117065;444641;3530971;85960;0;10499;246858;533501;97176435
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2016;362389719;94604343;1585;230274236;7586834;14270952;0;11256577;0;14965;4380228;0;0;0;0;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2016;244716840;148020843;45836634;5649549;12509;216880;18743248;880756;0;142630;675375;0;3416;11448;117701;24405852
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2016;46657661;37381742;11474;1077557;64713;1734416;4563851;90002;0;0;89622;0;0;0;14062;1630222
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2016;46598416;20204204;529420;1920635;0;1540451;13449238;275096;0;114037;2025;0;9817;0;713;8552781
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2016;44414080;474505;74090;2271339;0;0;3977760;0;0;107561;302760;0;0;187341;0;37018724
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2016;28914399;17312905;5561493;284366;0;1082767;4307280;0;0;44701;0;0;0;131700;12619;176568
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2016;20545842;13363653;1143978;446171;0;799;5537759;47327;0;0;0;0;0;0;6155;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2016;18443812;15263968;597863;0;0;0;1897146;0;0;458389;54566;0;0;166269;5611;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2016;15292670;12529078;0;932571;0;0;1830929;0;0;0;0;0;0;0;92;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/09/2016;14975066;13026687;86541;181037;0;0;1660520;0;0;0;7355;0;0;12926;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2016;14777412;13562040;0;88776;0;983814;142527;0;0;0;0;0;0;0;255;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/09/2016;13010381;9229215;1920;2656588;0;0;0;0;0;512447;159;0;1135;608916;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2016;12992825;6970450;27047;1187535;0;1329051;1103164;0;20;2318413;0;0;56525;0;620;0
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;01/09/2016;12958285;9916172;3126;104318;0;20199;1720970;394350;107255;255;0;0;6332;560909;1437;122962
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/09/2016;11645796;8831760;0;57947;0;2061020;667917;0;0;0;0;0;0;4334;22819;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/09/2016;11217962;3098043;0;447100;0;11166;5031529;33904;0;3065;25559;0;0;392991;2;2174603
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/09/2016;10974673;10477883;70143;251265;0;0;168553;0;0;0;0;0;0;0;6828;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/09/2016;9503794;8045266;1080640;78210;0;288178;0;0;0;10819;0;0;0;0;678;4
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/09/2016;8898505;8898502;0;0;0;0;0;0;0;0;0;0;0;0;3;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/09/2016;8589333;7234210;0;0;0;37150;1153932;0;0;0;0;0;0;157644;6397;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/09/2016;8541097;7157115;0;1095799;0;0;0;288182;0;0;0;0;0;0;0;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/09/2016;7172161;559129;0;0;0;0;1576684;0;0;0;1300670;0;0;0;0;3735678
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/09/2016;7071757;4988139;0;733459;0;6631;1201106;140775;0;0;0;0;0;0;1648;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2016;7014400;5337863;108302;0;0;278157;1277363;0;0;0;0;0;0;0;12714;0
CCB;32119;b1;C;3;;199;SAO PAULO;SP;01/09/2016;6704787;2516855;19461;0;0;0;1908353;0;582503;17239;0;0;0;0;778;1659598
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/09/2016;6524982;6402298;0;122025;0;0;0;659;0;0;0;0;0;0;0;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/09/2016;6316126;5762427;0;80006;464638;0;0;9055;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/09/2016;5810207;2268321;12022;1355395;0;17;58369;263884;18783;206961;604205;0;14227;1008021;0;0
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/09/2016;5046681;5023903;0;0;0;0;0;0;0;0;0;0;0;0;22778;0
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/09/2016;4572107;4562924;0;0;0;0;0;0;0;0;0;0;0;0;9183;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/09/2016;4483258;4425949;0;24481;0;0;26878;5950;0;0;0;0;0;0;0;0
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/09/2016;4478045;2237595;0;0;0;0;1360950;0;0;3855;0;0;0;875093;551;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/09/2016;3975974;1352186;950;3;0;535050;1124797;0;0;0;0;0;0;0;50705;912284
PARANÁ BANCO;30881;b1;C;2;;199;CURITIBA;PR;01/09/2016;3869962;3531790;1490;73;0;4681;235600;26197;0;53134;0;0;0;12099;4898;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/09/2016;3856432;3825234;0;0;0;0;31197;0;0;0;0;0;0;0;1;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/09/2016;3789368;2389464;397483;15492;0;3568;742537;0;0;12030;0;0;0;226968;1826;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/09/2016;3730690;3014861;0;620056;0;0;0;95774;0;0;0;0;0;0;0;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/09/2016;3716447;1279550;0;44876;0;8147;1480020;99678;0;0;243048;0;0;215312;2;345814
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/09/2016;3647646;1503537;358590;362151;0;680100;641827;18631;582;34063;0;0;0;48108;57;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;01/09/2016;3646321;3642390;0;0;0;398;0;0;0;3290;0;0;0;0;243;0
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/09/2016;3591290;116957;0;0;0;0;372062;0;3102272;0;0;0;0;0;0;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/09/2016;3473211;3461282;0;0;0;11479;449;0;0;0;0;0;0;0;1;0
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/09/2016;3349359;3349236;0;0;0;0;0;0;0;0;0;0;0;0;123;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/09/2016;3317228;2149025;0;0;0;0;258650;0;295706;0;0;0;0;0;0;613847
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/09/2016;3282320;2248900;32135;588895;0;0;0;365932;0;6144;1374;0;0;38941;0;0
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/09/2016;2960642;819506;0;0;0;0;0;0;0;0;0;0;0;2141137;0;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/09/2016;2761703;2301753;0;136078;0;0;120636;0;0;0;0;0;0;203236;0;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;01/09/2016;2663408;2526327;0;0;0;0;0;0;0;0;0;0;0;0;137081;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/09/2016;2538707;460608;0;0;0;0;1932265;0;0;0;0;0;0;145834;0;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/09/2016;2466586;1723771;1189;13;0;0;741588;0;0;0;0;0;0;0;25;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/09/2016;2325477;385084;0;14832;82778;364;834975;0;0;0;0;0;0;0;0;1007444
INTERMEDIUM;51884;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2016;2279266;1098708;164414;3099;NI;1010662;NI;NI;NI;NI;NI;NI;NI;NI;2383;0
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;01/09/2016;2162516;2150375;0;0;0;0;0;0;0;0;0;0;0;0;12141;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/09/2016;2115931;1503872;411318;4649;0;0;167410;0;0;4793;0;0;0;17921;5969;0
