Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2016;362386779;21988661;1390434;41703103;297304582;0;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2016;354104288;10282817;46521640;86027099;170365151;1683;40905899
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2016;326108882;3074600;14027959;49987468;69790205;10085;189218565
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2016;277826620;36811288;27498248;66516049;50556965;11351;96432720
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2016;192217099;31230550;35520275;57838973;67623717;3586;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2016;120343309;5482799;14022521;41060890;42448018;3833;17325249
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2016;39072908;1852540;637418;9134735;18921833;91;8526291
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2016;28662449;468430;247908;359667;5877201;0;21709243
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2016;14346457;2434415;1194038;1004417;9713562;25;0
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2016;13955117;51693;1351057;963402;9958743;0;1630222
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/09/2016;12303197;384995;1544072;5530649;4666502;411;176568
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/09/2016;11023703;176166;820091;4495994;3363452;2;2167998
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/09/2016;9426511;937300;586926;3946398;3955886;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/09/2016;9415650;738154;2739095;2268773;3669624;3;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/09/2016;9039791;168295;245901;541450;8084118;26;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/09/2016;8499069;733989;580991;3605314;3578768;8;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/09/2016;8211230;515379;1114589;5438758;1142505;0;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/09/2016;7467715;299115;471578;5957472;738892;658;0
