Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/09/2016;362386779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936394;16110294;37233118;80629108;66732687;132709310;27030226;361381137;1096;49334;134895;284236;249135;286946;0;1005642;0;0;0;0;0;0;0;0;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/09/2016;354104288;1714613;10681620;16503596;20436280;10635526;3746280;878162;64596077;56553;329677;1139134;4924050;4386718;20209564;4196360;35242056;299032;1918209;1758853;347305;0;0;83614;4407013;393647;5808600;1715775;565099;171269;54455;192;8709037;397501;8973593;12697559;10289034;7811043;5129648;0;45298377;1871367;4330002;6287555;14795093;17890624;7611982;346975;53133598;861216;5279324;12261862;21496304;9671159;17190857;8519358;75280081;50341;5674218;6620618;4930723;1038207;2036694;16158;20366959;64765;400483;1965418;3450272;234812;43480;5961;6165191;40905899
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/09/2016;326108882;759190;7362725;10850860;12678699;2638185;592006;3503;34885167;78647;1774366;3015587;2857627;468727;11526;0;8206480;1053564;7241509;71242;0;0;0;0;8366316;123328;8846337;1823372;116679;49762;38254;0;10997730;42480;3267209;5172805;3992232;1713171;498980;0;14686877;2376164;1886528;2980341;3387450;1083614;980512;0;12694608;289108;3021407;7578080;12204188;5551882;5082056;361142;34087862;17783;1549811;3708390;846026;187612;245235;0;6554858;136362;624547;2841395;2593272;192374;22028;439;6410419;189218565
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/09/2016;277826620;1526924;10241617;16067629;16651499;3649948;351668;8;48489292;192035;1596709;3041989;2792960;315164;15514;64;7954436;865237;9230070;1408020;481;0;0;0;11503808;340901;9137386;1314235;29730;1689;123;2413;10826476;214820;7349913;11885167;8837736;2010356;631296;36462;30965751;1652992;4203096;3517764;3992259;1265288;598983;17573;15247955;170276;2576140;7376527;14689209;5449131;8011391;807902;39080577;34659;927930;1759755;1924400;1345131;121730;0;6113605;107564;702129;2015901;5955775;2337942;92262;427;11212001;96432720
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/09/2016;192217099;2996384;10207341;11865383;20287911;7720667;0;0;53077686;146933;239718;623069;1152191;161931;519;0;2324361;778539;1091380;2797936;9722;2433;0;0;4680011;115756;856198;42714;0;0;0;0;1014668;88269;1947859;5954971;4602319;3337702;0;0;15931120;3638038;1686062;3505219;3445535;510730;127287;0;12912870;2126094;4493485;10261557;20439491;12967862;30435136;9138076;89861702;0;71021;155315;2651;2538;4608;0;236134;249693;4298400;3643057;3306894;349306;331111;87;12178548;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/09/2016;120343309;492547;6179372;8830105;8477493;2446837;989845;249818;27666016;59767;810015;1713968;1666015;250661;596985;4304;5101715;330519;4138867;1103148;329975;156035;56554;62177;6177275;162675;10223328;4453321;91700;512813;31297;12996;15488131;129424;4255916;5793368;3040408;643667;94378;2503;13959664;800425;1760919;2857293;2619517;947476;211986;213402;9411017;100758;888114;2042366;4767451;1372905;2043358;1853910;13068863;34564;779690;1790641;561739;196221;66315;5779;3434949;213221;1309482;3341327;2287383;212926;1344534;1557;8710430;17325249
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/09/2016;39072908;174020;2882946;3506312;3116042;428409;20255;0;10127985;10731;508022;834783;605437;138096;30062;0;2127132;50731;883044;25511;0;25800;0;0;985086;5746;2393188;603363;12621;385;43677;0;3058980;3992;1363927;2612959;1219990;1005207;238075;0;6444150;28627;155894;681789;36254;26843;0;0;929407;33600;526988;1261424;2784096;698190;440724;0;5745022;0;206458;372395;26168;1042;299;0;606363;0;73236;314982;134273;0;0;0;522491;8526291
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2016;28662449;384505;379062;644992;605633;95872;529208;0;2639272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8420;59942;226355;255201;115880;8788;0;674586;82318;201045;409589;209068;120645;0;0;1022666;164;4806;8147;18287;10011;2023;0;43438;0;2383;19009;93882;135161;760411;1562398;2573244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21709243
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/09/2016;14346457;58115;1843780;971331;492253;212444;0;0;3577923;15121;40482;76941;110157;7782;0;0;250483;393;1189880;163260;0;0;0;0;1353533;16663;1248130;704305;3153;0;0;0;1972250;83629;991514;2282054;857602;233577;0;0;4448376;2624;464553;147648;3796;0;0;0;618621;58;19309;48684;576850;20430;37308;0;702640;0;436049;954226;32172;183;0;0;1422631;0;0;0;0;0;0;0;0;0
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/09/2016;13955117;338036;266387;696169;983769;345269;140633;0;2770264;22614;173811;425715;416876;35845;4310;0;1079170;0;4478;0;0;0;0;0;4478;0;659259;180269;51924;76305;104919;0;1072675;90775;575977;893552;1268716;937601;53863;0;3820483;174085;196;479;1169;1532;3971;0;181432;7798;150497;359964;1178581;596621;737586;0;3031048;0;70068;131956;118166;40638;4518;0;365345;0;0;0;0;0;0;0;0;1630222
