Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
BB;49906;b1;;C;1;BRASILIA;DF;01/09/2016;25761037;83601;17119524;-134397;415970;1534718;44780453;-28834591;-2882229;-46681;0;-6568819;-38332320;6448133;3053191;2172217;-5481133;-3957205;-1113173;1390478;4046006;-3399825;-3289444;3158689;2785;3161475;-574822;-292145;2294507;-658657
ITAU;10069;b1;;C;2;SAO PAULO;SP;01/09/2016;21967339;825407;14646868;876920;1529969;1953971;41800474;-22045045;-2369165;-1037787;0;-5859853;-31311851;10488623;4375737;2679478;-5009971;-4839084;-1339610;2237393;11738580;-14276293;-4433771;6054852;215568;6270420;-389253;-921400;4959768;-2367690
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;01/09/2016;24502799;0;11760267;-463509;116787;3550359;39466703;-22859646;-4944310;0;0;-5105305;-32909260;6557443;4350001;1292234;-5540622;-2608996;-888225;167878;1305828;-4031575;-5953478;603965;-49197;554768;436027;-153250;837546;-586475
BRADESCO;10045;b1;;C;2;OSASCO;SP;01/09/2016;20625274;655079;13829075;838937;577097;1682449;38207910;-22071268;-1415170;-540409;0;-7468698;-31495546;6712365;2706119;2482203;-4680004;-5657403;-1023114;3141249;1612624;-2910568;-4328893;2383471;-375292;2008180;1229825;0;3238004;-2277877
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;01/09/2016;11373390;563611;7908331;859362;0;1895934;22600628;-14104130;-750040;-466503;-259771;-3503859;-19084303;3516325;2167475;869725;-1734142;-2520426;-749958;134620;4988974;-4816962;-1660694;1855631;2825;1858456;-41417;-326946;1490093;-30155
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;01/09/2016;14545351;0;6670657;-27901;0;1;21188108;-1055860;-14352105;0;-29333;-2686258;-18123556;3064552;75194;0;-285002;-89468;-262665;2312339;229320;-413237;1566481;4631033;-1104;4629929;1783596;-4;6413521;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;01/09/2016;1709239;447916;2666808;105345;59502;57368;5046179;-3433617;-157261;-390266;0;-300817;-4281960;764218;201887;73372;-299494;-353573;-77787;192136;236054;-278640;-306045;458173;-5743;452429;-43243;0;409187;-336154
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;01/09/2016;2792106;40694;1404759;-18128;12452;17271;4249154;-2815738;-87282;-40135;0;-729129;-3672285;576869;115017;165546;-349793;-311071;-80113;69214;441566;-408150;-357783;219087;3080;222167;-80634;-29474;112059;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;01/09/2016;1776722;9671;717732;58715;46330;311402;2920571;-1415668;-82030;-7361;0;-280389;-1785448;1135123;38672;216313;-455389;-307227;-80456;76105;81757;-532744;-962968;172155;-3231;168923;-37154;-26749;105020;-78062
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;01/09/2016;386926;0;1735361;371982;244347;45249;2783865;-1804652;-109281;0;0;-38200;-1952133;831732;611276;48510;-343664;-428523;-152930;-362959;975542;-135731;211522;1043254;72582;1115836;-327484;-71273;717080;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;01/09/2016;792836;34657;1138980;313272;0;105159;2384904;-826949;-170265;-25290;-94950;-353664;-1471119;913785;233478;86430;-351239;-356680;-85681;19516;218271;-290114;-526019;387766;-7811;379956;-142669;-37345;199942;0
