Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43983;1865493912;658333548;1727684516;1293965133;137809395;5022277;140649732;0,1352;0,2579;3016;898
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43983;1694379512;657191345;1589222084;1315749078;105157429;6516382;142667975;0,1869;0,1424;4378;799
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43983;1430252855;720080138;1374372095;1178614209;55880760;5347397;100251922;0,1863;0,1234;3374;741
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43983;1290983146;478694779;1155788292;941162466;135194854;6895750;131603285;0,1504;0,3263;4367;1438
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43983;986056926;383000594;909587594;629479949;76469332;5917332;80163771;0,1447;0,1539;2773;1903
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43983;747872346;294572863;649377015;274376520;98495331;4961724;180260289;0,3699;0,0454;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43983;228402326;39737931;202825056;129544297;25577270;1745277;26570918;0,1963;0,3279;19;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43983;205060529;75082043;192420214;163900507;12640315;921256;17593531;0,1455;0,3627;120;5
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43983;121549339;56177898;111401928;87337385;10147411;442333;9977796;0,1439;0,197;95;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43983;112795880;18646266;102736586;53337150;10059293;462255;9831611;0,1732;0,0135;127;8
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43983;86638205;35965931;78419345;66388708;8218860;377299;6737249;0,1599;0,0842;523;138
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43983;76720044;4450324;71165319;45979971;5554725;76984;5505518;0,1523;0,0155;11;0
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43983;76285630;58171;63491507;8589331;12794123;142613;NA;NA%;NA%;1;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43983;71249535;12507772;69826825;65603188;1422710;32902;1666807;0,1684;0,0818;7;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43983;68304851;19528551;63658666;24935988;4646185;234784;5397908;0,1495;0,0137;7;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43983;67259806;9995098;65252051;57276484;2007754;91219;2003111;0,1742;0,1001;8;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43983;59019670;10988649;53131074;19111899;5888597;332537;8502388;0,138;0,0276;296;2
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43983;57863036;4588164;56872762;17095175;990275;1396;987078;0,1458;0,005;4;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43983;57513850;4905813;55183882;9684593;2329968;11949;2072930;0,1934;0,0167;5;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43983;56479368;8496898;51657429;22005220;4821939;-79814;5705152;0,215;0,0233;10;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43983;52143225;28490661;48028640;33015414;4114585;188128;6498401;0,1579;0,003;19;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43983;49106696;18218731;45013398;29991308;4093299;142613;5370657;0,1572;0,005;13;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;43983;41278584;379410;38457369;11575463;2821215;250103;2355027;0,2247;0,0549;6;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43983;41005765;23353460;36885024;31053167;4120741;655063;4561350;0,1674;0,2268;51;0
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43983;33469364;24410571;28356621;24264712;5112742;314450;3265995;0,1588;0,1322;5;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;43983;32461185;12492620;31483906;18267607;977279;-95021;*;*%;*%;3;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43983;30862833;660903;27882491;12587138;2980341;110929;2977230;0,1914;0,0181;3;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43983;29107144;2968813;27834390;8533624;1272754;11128;1251383;0,2031;0,0112;2;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43983;27107482;4709374;25523541;24527944;1583940;124712;1430036;0,1408;0,1262;118;37
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43983;25637635;1806423;21699136;10028507;3938499;290311;3721754;0,2369;0,0051;4;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43983;24703212;17649552;21973116;17181773;2730096;106664;3411110;0,1887;0,0016;3;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43983;24016715;3527674;22512421;6334821;1504293;55696;1463021;0,2648;0,0033;4;0
