Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43983;119258529;163761402;4833618;449288197;23553;587107;737752406;317176664;2965293;20440921;49053920;64116343;8563472;145139948;93896114;1293965133;89161456;341513440;1724640029;3044487;137809395;1865493912
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43983;81219021;199135180;30511292;265797802;347990;8766344;585777630;528339738;13296139;74525745;802896;34259101;4247;122888128;78743582;1315749078;4486118;268905387;1589140583;81500;105157429;1694379512
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43983;51974245;363841581;150881;185712500;0;11146053;612825259;183432502;46031748;271609;1590338;2872875;854589;51621159;330735289;1178614209;1451204;193331682;1373397095;975000;55880760;1430252855
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43983;41927727;123270443;950355;329000522;258289;430848;495838184;222647927;26403035;17638044;106597370;12132822;7873832;170645103;52031253;941162466;21456169;192939729;1155558364;229928;135194854;1290983146
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43983;39100161;55755637;5451666;256871448;210340;422392;357811644;125063854;27008415;15422767;22542731;10883175;5974759;81831847;64772605;629479949;41644825;237985337;909110110;477483;76469332;986056926
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43983;0;0;0;0;0;7021735;7021735;21711291;0;0;637050;12434295;1798150;14869494;230774000;274376520;542991;374457503;649377015;0;98495331;747872346
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43983;1459074;0;396226;37529359;0;0;39384659;49968491;2835757;1738597;17838139;13033607;240770;35686871;4504276;129544297;10161270;62846164;202551732;273324;25577270;228402326
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43983;1323641;3464153;986172;53081066;247512;18;59102562;47198332;559948;9259457;25143459;2404367;5194922;42562154;15037459;163900507;7302401;21137583;192340492;79722;12640315;205060529
