Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43983;43258879;357597747;422186920;581318296;-46115572;535202725;8801748;492999;342035;-374836;9261946;307902037;130345780;60079913;1865835946;342035;1865493912
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43983;22855877;524679284;267224195;604795422;-39570590;565224832;25106;232578;77801;-3242;332243;202262953;78390023;33487907;1694457313;77801;1694379512
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43983;16241848;243578260;258325983;712138928;-33397716;678741211;0;0;0;0;0;87292916;131146578;14926059;1430252855;0;1430252855
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43983;21541620;155491524;342146853;421558639;-40596242;380962397;50401;4317615;1385097;-107870;5645243;224768677;93026879;68785050;1292368243;1385097;1290983146
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43983;22652249;49260847;246075841;320287756;-23949220;296338536;11247;4777809;2190374;-41271;6938160;264758910;83111169;19111589;988247301;2190374;986056926
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43983;7710;117898845;137026863;294361645;-16871787;277489858;0;0;0;0;0;38265413;168201483;8982173;747872346;0;747872346
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43983;3667214;61794762;45218758;37675045;-1682910;35992135;0;0;0;0;0;68312031;2685360;10732066;228402326;0;228402326
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43983;1646726;59808836;44080672;69822176;-3023871;66798306;2495;1337119;414261;-7332;1746544;12134889;12701802;6557016;205474790;414261;205060529
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43983;480626;9484704;46543693;51569136;-3819830;47749306;3;84098;2492;-1807;84786;13225468;1596298;2386949;121551831;2492;121549339
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43983;901766;24200986;41157401;12977670;-264396;12713273;-234;71120;19256;-478;89664;30636315;2824692;291037;112815136;19256;112795880
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43983;1132126;8682083;27330606;33203826;-2751017;30452809;169;60784;34826;-5943;89835;7266974;10257372;1461225;86673031;34826;86638205
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43983;45735;41737893;19840500;2235473;-13080;2222394;0;0;0;0;0;12774641;7604;91278;76720044;0;76720044
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43983;415293;305719;6563336;58171;-17473;40698;0;0;0;0;0;4066884;53686551;11207148;76285630;0;76285630
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43983;264914;13930585;20034491;12264244;-8834;12255411;0;0;0;0;0;2947874;21679061;137201;71249535;0;71249535
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43983;182710;3354879;17469739;9761548;-578192;9183355;0;0;0;0;0;37774102;172838;167228;68304851;0;68304851
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43983;29740;25437132;16827684;5994116;-115714;5878402;0;0;0;0;0;4440958;14440314;205575;67259806;0;67259806
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43983;179774;3275270;39905451;10080654;-546804;9533850;0;0;0;0;0;5034657;855483;235186;59019670;0;59019670
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43983;5343;10985295;2837693;963590;-6557;957034;0;0;0;0;0;43068099;1474;8099;57863036;0;57863036
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43983;3082;4227647;3999273;2605062;0;2605062;0;0;0;0;0;46638794;4233;35759;57513850;0;57513850
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43983;534548;18969276;11417387;7606107;-150391;7455715;0;0;0;0;0;17964936;4315;133190;56479368;0;56479368
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43983;219458;4825442;7787586;24129946;-927016;23202931;0;0;0;0;0;16033167;48815;25826;52143225;0;52143225
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43983;635624;6918924;13146576;15378989;-288339;15090649;0;0;0;0;0;12770373;461468;83082;49106696;0;49106696
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;43983;317173;6041121;30933939;379398;-1965;377432;0;0;0;0;0;2918069;154904;535945;41278584;0;41278584
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43983;222727;7819148;4441458;17554706;-1253710;16300996;20368;1350416;208773;-15707;1563850;9593348;238443;1034568;41214537;208773;41005765
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43983;4770;881998;2218450;23584624;-1691994;21892630;0;0;0;0;0;7482661;392278;596576;33469364;0;33469364
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;43983;135766;7414639;12430155;332949;-34299;298650;0;0;0;0;0;12060046;68486;53442;32461185;0;32461185
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43983;115508;13770451;14048472;660403;-1215;659189;0;0;0;0;0;1952924;262301;53988;30862833;0;30862833
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43983;113844;6318351;3341861;2050017;-2007;2048010;0;0;0;0;0;17238358;11394;35326;29107144;0;29107144
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43983;287943;8887411;11586985;4363406;-287833;4075573;0;9380;6258;-16;15622;915027;1027420;317760;27113740;6258;27107482
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43983;4327;8139794;13602915;1806423;0;1806423;0;0;0;0;0;2065152;114;18910;25637635;0;25637635
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43983;3255;4652124;207590;17564773;-973152;16591621;913;114363;21282;-1054;135505;3075720;34821;23859;24724495;21282;24703212
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43983;13704;4407551;1110264;1058216;-2111;1056105;1442;391979;28346;-17640;404127;17045320;3123;4867;24045061;28346;24016715
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;43983;139184;2426471;5075846;10989802;-419729;10570073;833;103942;19260;-6471;117564;4292509;213402;31378;22866429;19260;22847169
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43983;175879;144679;4267018;12108179;-657141;11451038;0;0;0;0;0;4669124;250767;1632292;22590799;0;22590799
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43983;67495;1407652;13044797;3859860;-378749;3481112;0;0;0;0;0;1813444;447288;250546;20512334;0;20512334
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;43983;222821;6553706;11932222;18964;0;18964;0;0;0;0;0;1673213;1200;16482;20418609;0;20418609
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;43983;236041;246371;3608887;12685937;-381874;12304063;0;0;0;0;0;2115907;883998;347108;19742376;0;19742376
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;S5;C;2;SAO PAULO;SP;43983;229462;618413;1911808;491474;-81778;409696;0;338;0;0;338;690685;13029717;615496;17505615;0;17505615
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43983;532;472890;2451065;13434239;-369920;13064319;0;0;0;0;0;489915;63941;52809;16595471;0;16595471
PAGSEGURO;1000084813;b1;S4;C;2;SAO PAULO;SP;43983;95768;1471486;1572091;14462;-1694;12768;0;0;0;0;0;1243737;10343796;1805412;16545058;0;16545058
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;43983;2984;1816879;4330644;7712899;-95877;7617022;1397;431582;113162;-5609;540532;1697440;218810;368610;16592921;113162;16479759
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;43983;111397;575921;4274084;4992632;-296474;4696158;0;0;0;0;0;2989228;1462469;1007117;15116375;0;15116375
