Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43983;108118862;18095195;126214057;14435675;140649732;922908591;7571473;373490;11651423;5640617;25237003;92475874;1040621468;1853479037;0,1039;0,1213;0,1352;0,0681;0,2579
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43983;100319901;9363162;109683063;21920222;131603285;786297279;9031778;568316;14911302;478617;24990013;63720003;875007294;1389637478;0,1147;0,1254;0,1504;0,0789;0,3263
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43983;80607752;31746498;112354250;30313725;142667975;663332637;10478835;309973;5374708;0;16163516;83913901;763410054;1270611288;0,1056;0,1472;0,1869;0,0884;0,1424
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43983;66341529;6916682;73258211;6905559;80163771;483806822;3605228;20706;13490858;3091126;20207918;50120651;554135391;903342228;0,1197;0,1322;0,1447;0,0811;0,1539
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43983;69092816;1713241;70806057;29445865;100251922;445435152;159275;0;12356188;101281;12616744;79940519;537992416;1481116440;0,1284;0,1316;0,1863;0,0478;0,1234
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43983;132849204;0;132849204;47411085;180260289;429649355;17822581;0;1634747;0;19457328;38269089;487375773;811098925;0,2726;0,2726;0,3699;0,1638;0,0454
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43983;21262102;380246;21642348;4928570;26570918;97693465;3543373;4083588;12341638;9712563;29681161;7959324;135333950;274480706;0,1571;0,1599;0,1963;0,0788;0,3279
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43983;12426689;1743621;14170309;3423222;17593531;108903053;1723994;0;2721388;524038;4969419;7056367;120928840;227461277;0,1028;0,1172;0,1455;0,0623;0,3627
