cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_NÃ£o_Consignado_Vencido_15d;PF_NÃ£o_Consignado_Vencer_90d;PF_NÃ£o_Consignado_Vencer_91-360d;PF_NÃ£o_Consignado_Vencer_361-1080d;PF_NÃ£o_Consignado_Vencer_1081-1800d;PF_NÃ£o_Consignado_Vencer_1801-5400d;PF_NÃ£o_Consignado_Vencer_acima_5400d;PF_NÃ£o_Consignado_TOTAL;PF_VeÃ­culos_Vencido_15d;PF_VeÃ­culos_Vencer_90d;PF_VeÃ­culos_Vencer_91-360d;PF_VeÃ­culos_Vencer_361-1080d;PF_VeÃ­culos_Vencer_1081-1800d;PF_VeÃ­culos_Vencer_1801-5400d;PF_VeÃ­culos_Vencer_acima_5400d;PF_VeÃ­culos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_CartÃ£o_Vencido_15d;PF_CartÃ£o_Vencer_90d;PF_CartÃ£o_Vencer_91-360d;PF_CartÃ£o_Vencer_361-1080d;PF_CartÃ£o_Vencer_1081-1800d;PF_CartÃ£o_Vencer_1801-5400d;PF_CartÃ£o_Vencer_acima_5400d;PF_CartÃ£o_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;MÃ©dia;Grande;Total nÃ£o Individualizado Pessoa JurÃ­dica;Total Exterior Pessoa JurÃ­dica;Qt_OperaÃ§Ãµes
1;1 - PÃºblico;jun/12;407717356;2533821;11017702;12269097;26903910;18569224;8694363;21;79988139;1368154;5259806;8934483;10999947;4130296;1444384;8;32137078;378684;783150;2110750;3317812;1957819;2328;0;8550543;1514095;6969437;17399288;44891227;40317118;62054427;6139892;179285483;1563949;14853430;2460755;94711;17;0;0;18972861;727417;10740776;18950498;16743274;11044992;10829543;3021139;72057640;1570902;5488159;5468178;3067490;881171;183898;65813;16725611;0;1961050;37930358;24928655;28527649;7297508;1641060;44129;102330408;389410;3389066;3248657;9150023;10503337;6501124;334982;33516599;432388;1551876;3339122;64428;52153;732;0;5440698;635881;13984149;3664505;1379185;83034;44;2;19746800;247556;5920133;8629005;391124;2701563;3380869;0;21270252;498199;6062792;12366883;10619882;1387530;475978;9050;31420315;709020;18840696;37397312;77664314;51958620;105533180;26220559;318323702;75372;2786182;5249112;3070663;1637231;1990001;63479;14872039;22955;412213;794953;4722814;291315;87196;10723;6342169;60914694;50356678;92037268;349719848;234493;32305303;82265201
2;2 - Privado Nacional;jun/12;415633731;747855;7709778;20145816;33628466;11297291;626389;226;74155819;2321538;9580460;14482710;13235968;2306003;565161;1924;42493764;4270855;17173468;42286931;67142457;13244200;15638;6357;144139907;116719;622290;1518920;3672180;3131801;10255079;6771317;26088305;8204813;43454115;13488777;209154;3461;48;52;65360420;184529;4552347;9909545;4666803;2221653;2014092;8724;23557692;2892545;13634674;7214988;6190193;1189496;260786;466063;31848746;7989078;3031546;38650611;51266481;44973084;8796244;2435782;316;149154064;506892;6686367;13258807;16058128;3764236;1412592;833;41687855;2259195;27876624;5190864;132344;19160;28;361198;35839413;710232;22491278;3671101;397790;99175;70650;1578;27441804;210254;11290971;15793836;4967796;1990888;1387191;0;35640937;1665753;7509741;8136162;7426299;2019901;296400;14909;27069165;202639;9885291;21541820;31719965;11426052;6630251;696259;82102279;28891;3144018;5135123;2013336;355850;2671351;0;13348568;65883;687223;3519549;8447554;3603095;1896056;36516;18255877;62808366;73343772;171287040;122654752;446032;127366702;359364802
3;3 - Privado com Controle Estrangeiro;jun/12;185451586;585471;2062432;5267675;8250508;2748203;394034;53;19308377;2706174;3799383;6850809;7604711;1178232;77953;8154;22225416;1043183;7560714;18624233;26398379;5003205;7903;7;58637624;26092;559006;1325164;2819872;1921584;5433567;2007959;14093244;3572936;21805193;2906102;254498;61415;26400;5;28626550;230537;2056390;4139860;3985527;1864290;658319;405;12935328;2783970;6049172;4030899;3174832;1336022;327966;34213;17737075;11887972;1537200;14085049;18914966;15461449;3082578;623162;3292;53707697;254072;7524646;8899004;7088559;1218428;478921;641704;26105334;1043574;9174809;3055628;203768;97217;41374;60078;13676448;194079;7882850;2903673;574588;9497;4359;3;11569049;244215;7463410;10261489;1683473;758631;1269245;35736;21716198;1439112;5961791;5627804;4772208;1300346;293419;3888;19398568;242742;5493664;11193624;14751854;4660221;748375;40463;37130942;11438;1229175;1916448;481175;149661;37883;0;3825779;9815;948132;3018554;2881101;335980;1029755;0;8223337;19161049;40854623;80139017;55164149;34515;22985868;76466424
b1;b1 - Banco Comercial, Banco MÃºltiplo com Carteira Comercial ou Caixa EconÃ´mica;jun/12;939399410;3846548;20397229;36633297;67253173;32101801;9643212;108;169875368;5664255;16029673;26884387;29217253;6980825;1856955;7667;86641015;5463328;22407126;55370817;86461969;18232093;21135;6362;187962830;1604675;8091884;20097951;51053364;45205550;77384321;14851547;218289291;12389230;76033137;18007934;518063;62106;26439;5;107036915;878219;14287887;26651718;20926048;13124137;11818576;3021460;90708045;6879907;22381232;14509637;11278932;3167309;683145;108832;59008995;19876952;6374389;88474289;91806243;86605906;18576608;4600498;47421;296485353;986232;12415055;19210210;27072182;14145619;8069175;864380;82762853;3710429;38015309;10814748;385646;166620;42106;44426;53179284;1456752;40438381;8150218;2186675;191632;75054;1583;52500294;702025;24656358;34623275;6993554;5449603;6037113;23684;78485611;3521421;18131493;25127136;22345961;4574925;987280;13688;74701906;651171;21887877;42388526;60816231;25038271;26815059;6116582;183713717;104569;6955306;11843623;4702969;1517092;3873451;63479;29060490;98621;2046657;7158325;16047761;4230342;3013008;47239;32641952;109612841;144769194;317601062;310852061;696302;182603949;484880283
b2;b2 - Banco MÃºltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de CÃ¢mbio;jun/12;27086640;232;8228;18150;17388;1288;0;0;45287;591;10215;17660;12714;1141;29;0;42350;180215;2618041;6448181;8747531;1700595;2227;0;19696789;1261;647;983;1422;1079;1163;182;6736;472039;1297708;544025;31450;0;0;0;2345222;137824;414042;984299;1825241;1001590;258268;0;4621263;36330;44143;77799;127168;41986;1492;75;328993;0;47182;839058;931659;627079;289646;15950;0;2750574;114050;4495340;4896374;3016301;521174;10000;0;13053240;0;0;0;0;0;0;0;0;26158;2154157;1909891;159475;0;0;0;4249682;0;18126;61055;48185;0;0;12051;139418;21321;990861;456621;121738;47929;1332;0;1639803;150430;2400116;6214985;10307694;3122407;265000;28557;22489188;7023;25112;72535;128324;57091;12894;0;302980;0;0;0;0;0;0;0;0;7166873;11072765;14428020;11953818;3409;53923;5936984
b3S;b3S - Cooperativa de CrÃ©dito Singulares;jun/12;29630600;12042;342297;932609;1384847;468043;67782;192;3207813;179927;1378953;2582298;2493665;625441;230353;2418;7493055;8435;265658;701633;1097779;208252;1436;2;2283196;0;0;0;0;0;0;0;0;31032;87830;2226;447;2743;9;52;124339;97470;2545442;5011105;1814839;349483;315714;8773;10142826;147194;2587178;1988905;979137;177770;66810;432376;6379371;0;76692;955319;1630027;1448759;284672;82934;316;4478719;7293;168317;447778;712336;210063;80478;666;1626931;24712;584533;737350;14890;1909;28;376791;1740213;47306;1707718;154222;466;6;0;0;1909718;0;0;0;0;0;0;0;0;53662;352715;478358;285492;56654;24526;13482;1264889;3805;44099;52477;50542;16209;2377;0;169508;987;45927;150489;39461;1815;985;0;239663;0;0;0;0;0;0;0;0;1383420;6738186;2466919;831296;9819;0;5850043
b3C;b3C - Central e ConfederaÃ§Ã£o de Cooperativas de CrÃ©dito;jun/12;3421;0;18;35;0;0;0;0;53;433;782;766;988;60;0;0;3029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;194;58;0;0;339;0;14;105903;356635;54355;17820;576;0;535302;0;281;470;168;0;0;0;919;0;3403;30517;0;0;0;58;33979;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;356;38335;36941;4567;856;1;164;81221;0;20026;24692;210;7236;50;0;52214;0;0;9;18;9;9;0;44;0;0;0;0;0;0;0;0;267302;308260;75809;52304;3;0;1305
b4;b4 - Banco de Desenvolvimento;jun/12;2503487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16749;82392;270489;643129;513332;923657;35;2449782;336;2638;8402;18865;12769;10695;0;53706;0;8788;26993;93175;74507;2252;0;0;205714;28204;27989;84938;195668;145402;109358;0;591558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;655;1479;193;0;2357;3884;5208;11074;45685;24964;51676;0;142491;334575;9779602;21209718;52452558;39539040;85455123;20803598;229574215;2069;131056;224095;675970;553788;711368;0;2298346;0;0;0;0;0;0;0;0;23832537;1198861;5126051;202657206;26;0;83273
n1;n1 - NÃ£o BancÃ¡rio de CrÃ©dito;jun/12;10155078;8324;42139;98498;127475;43585;3792;0;323813;550660;1220027;782892;116007;7064;160;0;2676810;40746;226508;501282;551370;64284;1070;0;1385260;50969;58202;144438;328493;163875;357589;67438;1171004;449396;2694063;301449;8403;45;0;0;3453355;12221;19749;82292;186346;142394;185741;0;628744;183650;156814;129236;28218;6798;10508;770;515993;99;22733;264456;292362;151578;5331;46;0;736507;14595;493097;766699;1300056;463743;123625;112474;3274288;17;63;2999;4;0;0;0;3084;9975;58021;24947;4946;69;0;0;97958;0;0;0;0;0;0;0;0;2420;11711;20719;14945;2448;982;0;53225;14419;87932;242358;508899;321731;374198;8544;1558081;1052;1973;9931;18431;12947;100529;0;144863;32;912;174731;3709;47;0;0;179430;621023;467522;3764917;1188499;5476;0;21343620
n2;n2 - NÃ£o BancÃ¡rio de Mercado de Capitais;jun/12;24036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24036;24036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4002;0;0;0;0;512;4514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;285;547;3565;4;0;919
n4;C - Conglomerado;jun/12;715010899;1489574;13159898;34782641;60805939;24010046;3613794;107;137861999;4874596;14434621;26344515;27573218;6603379;1812944;7666;81650940;5173490;23274735;57411022;88319545;17206886;21351;6362;191413390;95580;1296328;3131566;7288846;5963384;19563827;11051399;48390931;11957052;74032928;17188545;501917;62104;26439;5;103768990;636786;13630041;25190645;19522507;12388288;10434725;3021437;84824429;5825398;18507316;11026859;8731176;2438355;585336;108831;47223269;19876952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;I - InstituiÃ§Ã£o independente;jun/12;293791774;2377573;7630014;2899948;7976945;8604672;6100992;192;35590336;1521271;4205028;3923487;4267409;1011151;274553;2419;15205318;519233;2242597;5610893;8539103;2998338;4518;2;19914684;1561325;6854405;17111805;44094432;39407119;58179246;3867769;171076101;1384645;6079810;1667089;56446;2790;9;52;9190841;505697;3719472;7809258;5873097;2742648;3067229;8831;23726232;1422020;6664690;5687206;3701339;968335;187315;457259;19088163;99;5134547;59263732;87871296;79538053;15657782;4402345;1906;251869662;688608;11612292;19598639;27461044;13936796;7711329;861409;81870116;3282041;36011859;7205518;319199;114468;41374;44426;47018884;1392166;39701667;7971837;2178737;191452;75054;1583;51512495;676851;23172566;31584293;6755819;2602810;2554536;35736;67382611;3379354;16306354;22489662;21476582;4252687;856738;6480;68767856;482667;18782089;41087391;57770284;21563703;14660544;2200337;156547016;67649;6711897;11472219;4633984;1493411;3727944;62820;28169924;75726;1650062;6435475;11608667;3968757;2932139;36516;26707342;98367619;125135684;305900854;249940529;501219;182568171;453646795
I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1395250;31402286;7238805;9424130;3518548;297659;45830;53322508;461766;5987788;5807829;4835667;1549205;681308;116110;19439672;453116;2591450;4380097;81341;54062;759;376850;7937676;148025;4656611;2267442;172826;254;0;0;7245158;25174;1501949;3100037;286575;2848272;3482769;0;11244775;223710;3227971;3641188;1341806;455090;209060;21367;9120192;671733;15437563;29045366;66365849;46481191;98251262;24756944;281009907;48052;447477;828463;931189;649331;971291;660;3876462;22927;397506;897581;4442803;261631;80869;10723;6114041;44516490;39419389;37562472;277598219;213820;89701;64449632
1;1 - PÃºblico;set/12;434604228;3611336;10868293;12916450;28815818;20060642;9260855;19;85533413;1543691;5638267;8648990;11739603;4351405;1526938;5;33448899;99453;1221073;3236399;5145714;1200513;1763;0;10904916;1475105;7371045;18468457;47646720;43007455;67990197;7033060;192992040;1525555;15065316;2529460;101192;90;0;0;19221611;906971;9506861;22836586;17436653;11636808;11378866;1019974;74722719;1729427;5672948;5574651;3418226;1054945;241470;88963;17780629;0;2521812;43827100;24869088;30438178;7946137;1620756;74055;111297126;439974;3655901;2896456;8493789;11751012;6969963;293498;34500592;628182;3710805;4425375;58263;41569;3225;0;8867419;671637;14018874;4153193;1409342;9870;44;2;20262963;284399;6831770;9562257;418376;2731319;3433053;0;23261175;459576;3073567;1227722;1382636;1049439;461777;9907;7664624;854339;17491762;39600508;80823152;54119826;111072322;26565132;330527042;121952;5212882;14155715;13023241;2100997;2043654;42054;36700496;26147;523884;1010432;5872573;379475;103864;11539;7927915;65580681;63980575;88063473;363316863;67760;36292068;83713306
2;2 - Privado Nacional;set/12;420865257;775219;7993302;20542344;34451488;11414740;663922;242;75841256;2410713;10397675;14459538;13647101;2430584;632526;2397;43980535;4209109;17308659;41805462;65741748;11353349;11776;6367;140436468;92527;700013;1624114;3799484;3256659;10857106;7319277;27649180;7818446;44058726;13734888;214433;3614;42;70;65830218;199289;4421070;11261432;4919174;2366462;2093553;9168;25270148;2811889;13308630;7265176;6415174;1427822;230888;470057;31929636;9927816;3231118;37681579;50626710;44718189;8389062;2358476;2756;147007890;525551;6428400;13280935;15754731;3920493;1310836;926;41221872;2157293;26577333;5828234;110987;15630;297;381800;35071574;697461;23165962;3981482;407398;77170;50612;407;28380492;325981;11688971;16212740;5076494;2340839;1480831;8292;37134148;1686753;6448383;10114658;6970865;1969697;254500;24361;27469217;164642;6934113;21484042;34173364;11103084;6681513;715151;81255910;19170;2769573;7108669;1803834;357569;2724181;0;14782997;10786;663345;3611694;8995720;3622748;2405777;29168;19339238;66202215;62193961;174252956;128841392;172814;132288046;309658708
3;3 - Privado com Controle Estrangeiro;set/12;187598369;400314;2095363;5335885;8415330;2768467;404326;5431;19425117;2491763;3615839;6338710;7119323;1176234;114523;10855;20867247;1066078;7716785;18865418;26663448;4648185;7241;5444;58972599;30331;594269;1378036;2947319;2020831;5749194;2142460;14862439;3654263;20585490;4643121;724007;98757;40784;11571;29757993;178431;2164178;4031526;4092818;1939078;659518;147;13065696;2447887;6094248;4440504;3721342;1551123;422920;38172;18716195;11931082;1485118;14319968;17448182;15015132;2924842;660281;6888;51860412;262931;8061368;8136512;7891824;1536058;506461;602720;26997875;882090;8771937;2892968;331454;157833;62207;56688;13155177;219373;8789846;3125343;444341;19367;15266;629;12614165;188352;7305577;13096098;3185413;1516583;1139717;12602;26444343;931143;5762743;5542614;5354819;1382292;396931;9228;19379770;196010;5325442;11099570;14449605;4586310;858225;31941;36547104;8718;1193984;2702243;429460;146099;34107;0;4514611;4288;821415;3377602;3054669;320004;1061858;0;8639836;23719922;41971609;77529187;56898313;34260;22169991;75695881
b1;b1 - Banco Comercial, Banco MÃºltiplo com Carteira Comercial ou Caixa EconÃ´mica;set/12;970414318;4765546;20509247;37711565;70049180;33693071;10250170;5483;176984261;5664828;16620403;25516760;29332257;7228428;2008480;10344;86381501;5123087;23025378;56108680;86965499;15319028;16676;11811;186570158;1580750;8573279;21331327;54078070;48127533;84235625;16426103;234352688;12051309;75576720;19807510;987640;99572;40819;11571;108575141;1058686;13347876;30112552;21877065;13817090;12344280;1020072;93577621;6604981;22546752;15391835;12816678;3812250;809628;132052;62114175;21858773;7064031;93243972;89804724;87481707;18561443;4518802;80944;300755621;1044031;12299692;18485643;26067973;15577606;8399317;832198;82706459;3636894;38405783;12309529;496042;213082;65431;42621;55169383;1483191;42277220;9276480;2153667;106377;65922;1023;55363880;798732;25764942;38857012;8606094;6587202;6053601;8413;86675996;2999281;13994204;15905379;13327281;4286729;1039988;28427;51581288;708023;18068923;43099343;65975697;24918459;27246471;6306228;186323143;137824;8960790;23459135;14376192;1968103;3911799;41989;52855833;41188;2008614;7825857;17922783;4322197;3571498;40707;35732844;118981048;151944681;313246559;322729721;262440;190674799;435224348
b2;b2 - Banco MÃºltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de CÃ¢mbio;set/12;27423689;231;8254;18644;18455;1550;0;0;47134;876;8721;18969;16976;1659;34;0;47236;190879;2689723;6494949;8759506;1591519;1586;0;19728162;686;194;1014;1696;617;1134;173;5514;453085;1379376;576825;41353;0;0;0;2450639;98312;428955;1011730;1922898;1029426;269336;0;4760658;38182;72340;81447;141446;48808;2117;6;384346;0;33939;928081;801375;676009;305563;13309;0;2758277;131840;5033898;4390379;3606959;731558;62462;0;13957096;0;0;0;0;0;0;0;0;48961;1788838;1791407;94581;0;0;0;3723787;0;61377;14083;73307;0;0;12481;161248;17099;1003153;536796;115109;41460;1246;0;1714863;150158;2360069;6142488;10119059;3151580;270839;27525;22221717;3484;31019;64749;122507;55639;13214;0;290612;0;0;0;0;0;0;0;0;7277897;10407020;14652170;12488613;1900;75306;5908268
b3S;b3S - Cooperativa de CrÃ©dito Singulares;set/12;32046342;12153;396571;965093;1484550;506265;75336;209;3440178;175663;1813520;3103744;3037867;721947;265165;2913;9120817;9793;303140;801526;1252462;227955;1538;0;2596415;0;0;0;0;0;0;0;0;29757;88592;2191;453;2841;6;70;123910;100142;2171483;6689408;1786558;391735;315872;9217;11464415;152071;2283748;1663400;545829;150600;56377;448583;5300608;0;93223;1087090;1811655;1685021;347543;106752;2756;5134040;7193;180323;470808;753353;224809;85668;622;1722774;30657;637678;815050;4660;1949;297;395867;1886156;47713;1840155;163881;495;4;1;15;2052264;0;0;0;0;0;0;0;0;57588;244050;376898;195990;45328;20259;14897;955010;3184;43262;42421;41810;11805;484;0;142967;819;102965;126293;30730;2328;1403;0;264537;0;0;0;0;0;0;0;0;3716501;2781272;3306349;2345673;7953;0;5912747
b3C;b3C - Central e ConfederaÃ§Ã£o de Cooperativas de CrÃ©dito;set/12;7185;0;7;9;0;0;0;0;15;2;975;4960;833;61;0;0;6830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;194;58;0;0;339;0;23;294379;159445;60833;21678;518;0;536876;0;256;727;136;0;0;0;1119;0;13524;21990;0;0;0;0;35513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;494;24773;31613;4000;0;0;164;61046;0;9834;11469;234;9177;29;0;30743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243920;12404;96320;312654;0;0;1116
b4;b4 - Banco de Desenvolvimento;set/12;2647344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16447;102750;248623;668958;556350;999001;0;2592129;362;3394;8890;19401;12846;10322;0;55215;0;1931;35245;105373;115588;16935;0;0;275071;25739;30553;85922;205103;138672;96181;0;582169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;883;1539;0;0;2421;991;5452;9190;47367;25597;49837;0;138434;336303;9169841;22643738;52753989;41375901;90702171;20968230;237950173;6403;76072;308243;705809;559531;767372;65;2423496;0;0;0;0;0;0;0;0;24676259;1357519;5192378;210145573;36;0;85445
n1;n1 - NÃ£o BancÃ¡rio de CrÃ©dito;set/12;10513139;8939;42880;99368;130451;42963;3596;0;328198;604798;1208164;802806;118093;6128;308;0;2740297;50880;228276;502124;573443;63545;980;0;1419248;16527;91854;138266;313757;156795;359738;68521;1145457;464112;2664844;520943;10186;48;0;0;3660133;11104;41045;67231;193166;147747;203447;0;663741;193607;169592;134672;31193;9328;16834;714;555941;125;44901;239880;261410;152341;6879;132;0;705542;19655;600948;880424;1506820;534919;143632;64323;3750721;14;3091;8;3;0;0;0;3117;8606;68469;28250;12338;26;0;0;117689;0;0;0;0;0;0;0;0;2019;12140;25118;18574;2314;1878;0;62043;17323;99388;244662;555333;342300;392065;10242;1661312;1311;5593;8206;21298;19065;108154;0;163626;34;29;173872;179;31;0;0;174145;607186;1643250;3351841;1033412;2505;0;21935306
n2;n2 - NÃ£o BancÃ¡rio de Mercado de Capitais;set/12;15836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15836;15836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;921;0;0;0;0;7;928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;921;0;0;665
C;C - Conglomerado;set/12;728134371;1330750;13629920;35714217;63047535;24743967;3988339;5483;142460211;4702493;14755819;24988069;27161510;6746873;1958533;10344;80323639;5123260;23707083;57637977;88212412;15392393;16827;11811;190101763;106073;1397290;3328858;7654823;6289823;20887138;12029757;51693763;11637910;73180393;19164580;969015;99492;40819;11571;105103780;812314;12498995;28886055;20546022;13017851;10870231;1019557;87651025;5403222;18332634;11715866;9833092;2907761;623089;125753;48941416;21858773;1857177;35666186;6972686;9718512;4336250;329819;78197;58958828;522709;6447030;5438870;5748483;1885202;736628;67671;20846593;586319;2701267;4591088;56818;43552;3521;395867;8378432;150312;4480220;2071450;112940;398;1;15;6815336;46587;1832733;2729434;577981;2998807;3591115;0;11776658;273274;2503300;5298618;1275336;637318;195423;21682;10204950;691761;14708633;30859574;66907547;48483725;103811619;24964983;290427841;51226;301881;994693;972555;668591;1038570;719;4028236;25926;479833;1005939;4738023;280569;93180;10767;6634239;107518921;130734565;298336498;257933411;231473;190631741;402162125
I;I - InstituiÃ§Ã£o independente;set/12;314933482;3456119;7327038;3080462;8635100;9499883;6340763;210;38339574;1743675;4895962;4459170;5344518;1211350;315454;2913;17973042;251379;2539434;6269302;9338498;1809654;3952;0;20212220;1491890;7268037;18141749;46738700;41995122;63709359;4465040;183809896;1360353;6529140;1742888;70617;2969;6;70;9706042;472377;3593115;9243489;5902623;2924497;3261705;9732;25407538;1585981;6743193;5564464;3721651;1126129;272189;471439;19485045;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47983897;37411580;41509118;291123156;43362;118365;66905770
1;1 - PÃºblico;dez/12;472897785;3798407;8735892;17970282;36117365;18487858;5712205;652;90822661;1665785;4575095;9412385;12435737;4238475;1362047;3;33689526;123448;1470936;3880936;6334979;1507874;642;0;13318814;1390662;7861617;19783601;51007060;46284426;74819695;8217914;209364975;1480826;17632852;3010054;119179;179;1;0;22243092;1102427;6702825;30420002;18601784;12576476;13076301;986646;83466462;1669176;6290066;6037957;4002116;1395731;484089;113121;19992256;0;2582305;18498137;40003632;48913484;11980582;3916029;73679;125967847;499309;1943454;3917551;10154894;12931868;11042332;1056014;41545421;709273;3738878;4567613;752757;62261;1215;0;9831997;645188;16576855;3867112;1504636;11577;0;2;22605370;310065;5421047;8185040;439381;3464317;3375110;0;21194960;604036;3737055;1420792;1648909;1154887;513584;9269;9088533;543930;13267570;41254821;87072663;59962333;122465641;34593876;359160834;116811;4999708;13736710;14920809;2154942;2268916;39438;38237334;23123;663611;1222030;6060860;417936;121027;11929;8520516;70394874;68732143;98572745;398384471;68579;38508655;86854599
