Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2020;800399546;320464541;57677592;2446798;1770296;258079;16137153;55444885;4859643;48171;84009;146464;0;0;3960634;0;0;0;0;117391;336983888
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2020;777087336;134723706;543501120;23521121;0;0;22;33243702;13287468;0;302016;18215870;0;117;10269577;0;0;0;0;22617;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2020;671280462;419731410;59004614;9056663;7529072;10651;989;87808342;7092186;45314386;1936445;113009;0;0;3456169;0;0;0;0;22003;30204522
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2020;551867154;295350819;67160615;3760224;6573961;15420;10482762;66760319;6002696;0;446329;96391;0;453956;0;13006571;0;0;0;68866;81688225
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2020;411601619;272506613;51506685;1372635;1274758;0;34115;32111383;2374967;0;632952;43096;0;2873;1822640;0;0;0;0;55919;47862984
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/12/2020;274598667;40599174;79260;159156572;51312366;1615476;4628179;5032422;6011021;0;19256;6144941;0;0;0;0;0;0;0;0;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2020;91491192;54358544;154722;366751;872442;0;283;26463719;357503;0;6085;0;0;52;0;0;0;0;0;2541;8908550
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2020;58808123;50143044;806885;71518;253443;31498;953321;5441797;10375;0;0;58482;0;0;14605;0;0;0;0;1405;1021752
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/12/2020;50099740;12965760;0;2643422;0;213565;0;16349123;963393;0;16656;80611;0;0;404338;0;0;0;0;0;16462872
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2020;37453275;27559455;5144684;117241;16719;0;6325;3800256;637364;0;28039;0;0;0;42213;0;0;0;0;2409;98569
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;33163390;27650039;128;0;95510;0;32072;3932344;250227;198191;3214;0;0;0;783054;0;0;0;0;5697;212913
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;28907116;28377021;106624;0;0;0;0;117724;0;0;221726;33440;0;0;41450;0;0;0;0;9132;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2020;25913501;22373069;63432;103691;58834;0;0;3313838;0;0;0;0;0;0;637;0;0;0;0;0;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/12/2020;23013802;17069121;0;254;0;0;0;5944407;21;0;0;0;0;0;0;0;0;0;0;0;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;20775440;5790538;0;66362;178254;0;0;11747501;190443;0;71269;401348;0;2801;631944;0;0;0;0;1;1694980
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;19734149;10852035;0;0;0;0;7046184;1819247;0;0;0;0;0;0;0;0;0;0;0;16684;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/12/2020;18802235;15990810;0;340016;842114;0;0;1448761;61696;0;0;0;0;0;118808;0;0;0;0;30;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/12/2020;15385662;12398180;72;12041;363;0;2853020;0;0;0;22772;99130;0;0;0;0;0;0;0;85;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/12/2020;14715420;11884152;105859;135343;1377549;0;510766;659986;0;0;0;0;0;0;0;0;41709;0;0;56;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/12/2020;13888249;13477218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;411031;0
