Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2020;602887844;2209872;5093407;13548952;24850900;13601002;10860945;56;70165134;679817;1266877;2895013;3653289;214081;18948;10788;8738811;17132;45902;85274;79820;11918;40;14;240100;752497;13711903;38168748;88622890;72515928;204556093;82292600;500620659;981626;6474801;2213973;188379;26582;25329;0;9910691;109388;358035;2416731;781314;301263;225478;0;4192209;1266778;2615589;2006093;1642521;761765;700852;26643;9020240;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2020;396467666;224067;4968343;14261905;31254327;22258619;17489489;3036448;93493199;398778;2947912;7127975;11485006;5543496;3062487;422614;30988267;27319;454832;1207602;1929908;467164;38;108753;4195615;44025;433390;1286402;3449296;3425135;17545632;20530677;46714556;1468883;25694586;5831254;301880;196;0;207575;33504373;1422636;10141335;62995574;47140748;27133854;24382406;243502;173460054;508779;1127851;2682757;2059410;1427032;1817222;139792;9762843;4348758
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2020;339398851;477918;4604303;13027278;22150984;10394964;4609519;4;55264969;230192;1927812;3921116;4230820;782479;88541;0;11180959;204690;2862715;7276561;10996032;1993699;4619;0;23338316;37379;1765946;4766382;11050809;8730351;22233647;6796693;55381207;4881097;54416145;25029556;1902451;39218;13;0;86268480;1416;73734;1052603;127941;58626;24296;0;1338616;2282493;7472800;9196676;8513217;2202913;471238;499;30139836;76486468
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2020;259683790;292790;5931867;15006946;27198155;13863062;7334934;658;69628413;706836;5460118;8558892;8426415;1548166;460376;707;25161509;186649;3797301;9475756;13739183;2196090;10344;33;29405356;47847;1797095;4954099;11254889;8759500;22355181;7231054;56399664;3121415;26208530;9604889;1259257;136008;19638;0;40349736;198473;923482;5957774;5572135;1328792;492657;0;14473313;882031;4628924;3638686;5134491;1962338;940436;12977;17199882;7065917
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2020;228282361;749404;3589067;9600186;17288171;9206920;6523706;914;46958368;499268;1510355;3091320;4025040;1609719;470057;16439;11222199;556540;6667798;16970092;25963275;5196532;29042;4367;55387646;37021;1390040;3779039;8813865;6915556;17390243;5667369;43993132;1415961;23915938;10735399;958417;267282;138370;40;37431407;41120;408325;3720581;2259343;1131318;722213;0;8282900;1285401;4518800;4992898;5498776;3269582;2478420;115630;22159508;2847202
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2020;45652913;61948;123557;241668;197060;10300;20;0;634553;41959;216217;298942;346385;129561;11109;0;1044173;597558;5273048;13186065;19164761;2744174;4397;0;40970003;0;0;0;0;0;0;0;0;403272;1695587;760181;50688;0;0;0;2909729;0;287;1771;3439;1409;0;0;6907;946;4090;47666;17231;9186;8305;124;87548;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2020;28397522;54127;1068974;3037260;6326154;3981241;2590374;44;17058172;21480;503468;988495;341809;51694;17472;69;1924487;66;1421;4079;6271;1542;5;0;13384;2158;66657;157735;408827;380251;1502501;1134423;3652553;34034;1124759;352979;3624;0;0;0;1515396;17309;182358;1285034;612703;288634;185348;106851;2678238;81855;919543;213907;175137;82666;82129;55;1555292;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;27112088;118441;754689;2418068;4517070;2473254;1341258;0;11622780;3828;31392;37884;1634;11;0;0;74750;294411;1505872;3627103;5139595;659954;1057;0;11227991;691;3756;9491;20439;14815;29992;4334;83518;522467;2903390;370253;7437;273;2;0;3803823;0;0;0;0;0;0;0;0;4778;21082;49441;97189;55225;69730;1781;299226;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2020;26686998;32746;602866;1681385;3260965;1852829;830844;0;8261635;8747;306421;1371825;1163151;246899;21480;0;3118524;167821;1771043;4529506;6620883;827613;1687;0;13918553;0;360;128;788;300;856;923;3355;14296;681527;287648;16178;3157;0;0;1002806;782;14403;94842;69099;44613;14643;0;238381;7502;97548;36386;548;0;0;0;141983;1761
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2020;15922135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89634;380266;2083998;1075169;601785;351243;3142;4585237;288053;581329;5649255;3338516;1188334;288847;2563;11336898;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/12/2020;13888249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10637465;2458655;553;0;0;0;13096672;0;0;0;0;0;0;0;0;500821;177526;108886;4345;0;0;0;791577;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/12/2020;13626112;23041;402303;1065425;2363806;1780440;2578638;0;8213653;34222;303916;515456;866032;495738;370413;0;2585777;404;5947;14402;21742;4807;0;0;47301;454;33657;77290;202919;196371;846396;722388;2079474;0;0;0;0;0;0;0;0;2962;32524;162089;40181;28400;43351;323;309830;8281;23690;100704;45945;37013;99234;75209;390076;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/12/2020;11890698;9;48358;126966;211128;89512;39706;0;515680;0;48;156;377;184;100;0;865;0;2098;6033;12447;1837;916;0;23332;0;8422;20280;53017;52118;234313;224678;592829;0;0;0;0;0;0;0;0;0;286783;1753338;3498866;2588309;2555214;214;10682724;136;4975;21066;38812;10274;5;0;75269;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/12/2020;11062791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1227842;6383254;2914952;536703;41;0;0;11062791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;9852603;14111;116671;368455;712348;426358;277717;25;1915685;234697;314628;267114;12802;358;176;0;829776;37;13;32;34;1;0;0;118;0;0;0;0;0;0;0;0;336732;2688230;1066368;1468520;453693;61506;0;6075050;0;0;0;0;0;0;0;0;518;527;26615;23337;3187;3663;0;57846;974128
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/12/2020;9589876;3797;13407;29661;36528;6890;28;0;90311;1895;9276;4123;1256;196;3;0;16750;18747;192364;490422;747695;134971;282;0;1584480;0;0;0;0;0;0;0;0;431517;4858592;2390229;140068;28425;0;0;7848831;0;0;0;0;0;0;0;0;761;7852;18266;20541;2083;1;0;49505;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/12/2020;9083753;3697;96590;247810;535666;311508;134144;0;1329414;1092;20430;62699;118039;54432;29439;0;286133;0;0;2;4;0;0;0;6;25;2831;6373;16964;16527;78658;87877;209255;26145;716957;3705676;25031;252;0;0;4474061;0;110948;369928;837196;664097;759948;0;2742117;56;1142;3522;9654;9193;19202;0;42768;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;8827615;93927;463247;1285540;2497142;1485691;809826;0;6635373;2187;12806;20178;41520;10428;301;0;87420;33499;162214;376245;485535;42897;729;0;1101118;53;47;86;241;260;1851;863;3401;33808;497439;14069;3595;1402;217;0;550531;0;0;493;273;0;0;0;766;605;59152;133065;173962;36872;41347;4003;449006;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/12/2020;7969585;978;6667;14269;15942;1723;2;0;39582;616;9839;30571;84319;30617;24;0;155986;71124;1003594;2566624;3545189;586207;1278;0;7774016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;7894283;57661;370904;1057156;1767431;1041769;583498;790;4879208;25248;37515;57382;8754;773;406;0;130078;420;545;1369;2371;191;0;0;4896;0;0;0;0;0;0;0;0;69012;1725017;692796;160411;11945;0;0;2659181;0;0;7169;0;0;0;0;7169;11290;32480;60542;73398;26575;9467;0;213751;0
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/12/2020;7251263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51691;920573;2298098;3327223;651947;1731;0;7251263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/12/2020;6935082;276;14142;35995;55179;19465;180;0;125238;1513;6096;11730;9292;40;1;0;28672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2591;30033;10711;440;0;0;0;43776;20370;6629;570432;629680;2174;3512;0;1232798;57632;2709871;2525415;208549;1958;1106;69;5504599;0
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;01/12/2020;6511721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26354;65160;1715058;2522481;1563215;485012;0;6377280;2547;5686;86365;32675;6216;953;0;134441;0
