Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2020;28691645;85398099
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2020;25124235;70260529
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2020;18742582;43337897
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2020;14775082;31245961
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2020;14048374;34911325
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/12/2020;10387536;45631963
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/12/2020;5229766;8412223
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/12/2020;4486110;22095391
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;4237413;10129380
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/12/2020;4071184;10505638
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;3962391;7738783
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2020;2965715;4031492
PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/12/2020;2157132;5519258
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2020;2087480;9358759
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;2037726;6979675
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/12/2020;1904553;2509995
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/12/2020;1890187;2479390
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2020;1741936;2649753
BANCO DIGIO S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/12/2020;1334395;1854967
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/12/2020;1301871;1611361
C6 BANK;52072;b1;C;2;S4;199;SAO PAULO;SP;01/12/2020;1165056;1556843
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/12/2020;1094549;1743292
NUBANK;52058;n1;C;2;S4;197;SAO PAULO;SP;01/12/2020;1052495;1423152
