Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2020;461000695;6131324;25498849;71671763;95363101;1837098;1140;260497420
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2020;292183364;8827155;55667694;55794510;95031965;2239098;634;74622309
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2020;274812796;5009176;32041074;55105842;153750125;3050434;382;25855764
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/12/2020;274594859;0;949931;6669692;261052552;5922683;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2020;183319257;7294813;30730907;44775495;52726931;2773239;2091;45015782
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2020;174199491;15828332;29137825;33203644;96029587;0;103;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2020;64804194;853353;2924852;19998318;31810289;310380;213;8906789
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/12/2020;48321916;10566106;384222;2424793;18730841;0;0;16215953
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;24335775;285166;931130;11469204;10532905;904428;30;212913
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/12/2020;22944081;3642;12378;1826291;19888967;1212804;0;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;20374761;406567;1930963;7776241;8566007;1;1;1694980
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2020;13155210;1327808;432096;1142155;9169573;61826;1;1021752
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/12/2020;12302548;488246;1779127;5301311;4717839;16026;0;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;11839867;0;478911;827071;10507767;26118;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/12/2020;10832651;681674;2748432;5720607;1681936;0;2;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/12/2020;10710979;159153;876849;4460001;4536502;678474;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2020;9991366;311249;0;959590;8720528;0;0;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2020;9055753;337332;1756550;2857294;3832053;173918;37;98569
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;8352265;16815;233668;2300831;3538727;0;0;2262224
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/12/2020;7292092;1029;33569;2001932;3519991;0;0;1735571
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;6904418;612716;437358;659222;4825287;0;0;369835
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;6417899;262736;490988;1531042;3556305;576828;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/12/2020;6245899;450876;556576;2084114;2755295;399037;1;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/12/2020;5778923;296066;861913;2059734;2454934;106275;1;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/12/2020;5720115;1055647;2080600;2342842;53377;187649;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;5562107;1990513;200490;712963;910417;1018;472;1746233
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/12/2020;5286289;680345;1216596;2771951;496455;120942;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/12/2020;5284904;168551;14314;861699;4152801;3969;1;83571
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/12/2020;4572904;44623;202244;1483134;2465156;334396;0;43351
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/12/2020;4464542;258145;1083940;2647177;473711;1569;0;0
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;4255795;0;0;548377;3439462;267957;0;0
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;4030398;0;0;250993;3528772;250634;0;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;3798210;389480;139221;1110334;1843164;266712;3;49297
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/12/2020;3745446;1744582;48629;1309500;642735;0;1;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/12/2020;3643464;1054147;1754637;532518;263972;38108;82;0
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;3525414;2121;10361;890281;2622652;0;0;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/12/2020;3388992;38287;64349;933099;1464033;799355;1;89868
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/12/2020;3089688;0;133031;965208;1991449;0;0;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/12/2020;2874459;36001;574380;242904;2021171;0;2;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/12/2020;2824722;285539;987256;1353599;198326;0;2;0
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/12/2020;2516280;111682;50154;191035;18827;2144582;0;0
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;2512244;40136;21341;317189;2056654;76924;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/12/2020;2415392;51055;0;708965;1462392;0;0;192981
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/12/2020;2299208;145424;562;59655;2093568;0;0;0
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/12/2020;2259920;1035512;129452;636356;458572;0;27;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/12/2020;2176601;60257;358342;1149199;587023;21781;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;01/12/2020;2173291;21811;112797;1215154;587526;236002;0;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;01/12/2020;2146834;0;0;127975;2018859;0;0;0
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;01/12/2020;2075069;17486;217627;1083532;756424;0;0;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;2006783;476143;333478;776652;226455;194054;1;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/12/2020;1975854;230175;515137;985227;245316;0;0;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/12/2020;1932662;144389;517799;958890;286554;25030;1;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/12/2020;1810506;112678;366747;567232;426699;337149;1;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/12/2020;1804950;86884;239642;1082848;358751;36824;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/12/2020;1795481;550376;962444;270582;4249;7825;5;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;1795028;260314;609279;666324;168630;90481;0;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/12/2020;1759550;216957;445631;630459;466500;2;2;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/12/2020;1702041;254693;792500;632678;10012;12158;1;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/12/2020;1685278;13101;285356;1224828;138615;23357;21;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/12/2020;1562733;278501;685977;470533;127721;0;1;0
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/12/2020;1526668;264066;515067;673920;73613;0;2;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/12/2020;1470989;57248;224805;860629;280648;47659;0;0
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;S4;8;SAO PAULO;SP;01/12/2020;1429156;0;25329;276567;1127260;0;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/12/2020;1364426;152082;132492;783074;296729;48;2;0
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/12/2020;1324352;124295;348569;711913;61275;78298;2;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/12/2020;1259738;2776;53687;444368;758908;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/12/2020;1243689;173821;539515;385215;145132;0;6;0
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;S4;8;SAO PAULO;SP;01/12/2020;1226235;0;0;85041;1141195;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/12/2020;1225183;56312;488218;576915;24113;79625;1;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/12/2020;1205185;69438;118311;741639;275301;497;0;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/12/2020;1179813;310364;228740;591332;10082;39295;0;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/12/2020;1155915;134767;374725;384263;208365;53793;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;I;2;S4;9;ERECHIM;RS;01/12/2020;1110173;135823;501124;428378;44846;0;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;01/12/2020;1087700;128026;353580;468480;57273;80341;0;0
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;S4;9;LONDRINA;PR;01/12/2020;1084830;42421;173418;743284;125706;0;1;0
BOFA MERRILL LYNCH;51255;b1;C;3;S3;199;SAO PAULO;SP;01/12/2020;1068984;0;3874;150321;914788;0;0;0
COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO;3459850;b3S;I;2;S5;9;MARINGA;PR;01/12/2020;1067857;135151;277490;111272;41946;501993;5;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/12/2020;1066085;76364;149962;655336;184423;0;1;0
XP;52120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;01/12/2020;1059164;266710;252330;394697;82491;62936;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;01/12/2020;1046772;145444;456342;346327;98658;0;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/12/2020;989577;152380;435276;276449;125468;0;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;01/12/2020;984752;98922;327983;465580;92265;0;2;0
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/12/2020;975562;114060;269968;506627;84906;0;0;0
COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;01/12/2020;919581;99826;266340;265132;118604;169675;3;0
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/12/2020;909624;323046;200450;368193;17935;0;0;0
BANCO HSBC S.A.;53518684;b1;I;3;S4;8;SAO PAULO;SP;01/12/2020;890469;31998;182094;420771;211504;44102;0;0
RENDIMENTO;51468;b1;C;2;S4;199;SAO PAULO;SP;01/12/2020;875282;23857;80870;357839;385034;27681;1;0
BANCO RANDON S.A.;11476673;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/12/2020;823986;11200;68271;570212;174304;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/12/2020;816409;91127;363180;276807;85293;0;1;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;S4;30;FLORIANOPOLIS;SC;01/12/2020;812161;24314;136151;572068;79628;0;0;0
BANCO TOPÁZIO S.A.;7679404;b1;I;3;S4;8;PORTO ALEGRE;RS;01/12/2020;805228;21400;30525;145349;607951;0;2;0
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17453575;b1;I;3;S4;8;SAO PAULO;SP;01/12/2020;785432;0;0;29204;756228;0;0;0
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;01/12/2020;777469;36403;225642;376731;138693;0;0;0
COOPERATIVA DE CRÉDITO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/12/2020;766150;124697;295016;321063;10007;15366;2;0
BANCO FORD S.A.;90731688;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/12/2020;753612;0;0;753612;0;0;0;0
BANCO MONEO S.A.;7441209;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/12/2020;732174;112200;232711;382303;4961;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC;2843443;b3S;I;2;S4;9;JOINVILLE;SC;01/12/2020;682778;92989;310476;251362;27951;0;1;0
HAITONG;51482;b2;C;3;S3;198;SAO PAULO;SP;01/12/2020;668861;0;45208;175485;344065;0;0;104103
