Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2020;800399546;213224560;161670247;29520340;25484608;7987555;4507565;4222983;4661410;12136390;336983888
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2020;777087336;403189539;125396903;101347714;85617052;27794549;5773386;8796996;5886853;13284342;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2020;671280462;277409492;60183412;151737021;94097293;14764937;8702543;3137907;1553889;29489445;30204522
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2020;551867154;141182720;105386505;111871049;60757481;16627354;6993454;4379535;3759580;19221251;81688225
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2020;411601619;141020350;128114574;37314475;25987172;11022449;4267617;3541738;3133907;9336353;47862984
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/12/2020;274598667;40963429;96338803;85712248;15501117;14725910;6947983;3654150;0;10755028;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2020;91491192;47840420;4834969;24043762;2904946;478912;237959;1032325;81049;1128301;8908550
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2020;58808123;2896330;25895274;10726219;10565952;1248401;2244102;359590;2033575;1816928;1021752
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/12/2020;50099740;10368292;10772330;8504964;850982;1016956;544697;216497;972582;389568;16462872
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2020;37453275;4895617;18944357;7903637;1795265;870801;334985;237287;480021;1892736;98569
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;33163390;3854879;9431466;16197718;2055092;541971;247297;118298;50475;453279;212913
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2020;28907116;0;25384085;668521;544566;285851;239121;185905;147013;1452055;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2020;25913501;4467700;3911066;12700143;1456757;1659928;513034;656966;166364;381542;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/12/2020;23013802;8765127;10016779;3168532;548975;356791;271;25;227;157075;0
