Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;01/12/2020;39879140;442918;15244421;-3256204;0;819564;53129839;-18020801;-1767121;-123325;-2847964;-12794590;-35553801;17576037;12212995;6048883;-9498191;-11565747;-2928352;5554572;17432662;-19648126;-2391305;15184733;253042;15437775;-1393993;-2992425;11051357;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;01/12/2020;35740110;721959;11258057;-281772;0;745197;48183550;-11191491;-1725814;-653238;-254264;-9691952;-23516759;24666791;6510771;5648969;-9052757;-10715388;-2869299;2377127;6334884;-10150319;-11916011;12750780;-231716;12519064;-2835641;0;9683424;0
BB;49906;b1;S1;C;1;BRASILIA;DF;01/12/2020;34335810;43340;9858392;-556606;764074;596083;45041092;-16381049;-2704229;-30330;0;-13326437;-32442046;12599047;6821157;5099186;-10846624;-6159223;-2145327;2019117;8324663;-8847287;-5734337;6864710;-37529;6827180;207561;-738013;6296728;0
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;01/12/2020;33084734;0;5973058;-1056528;0;1868377;39869641;-8919691;-9802264;0;-35429;-6304917;-25062302;14807339;9150304;3121012;-12031492;-5466100;-1767011;5831858;3279526;-11022419;-8904322;5903017;308557;6211574;2017185;-942071;7286688;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;01/12/2020;25969561;720404;10252157;-984021;1582703;541360;38082165;-7637771;-1594699;-622203;0;-5757520;-15612193;22469971;5456600;2771275;-3370163;-5518053;-2231657;903886;9434087;-15200118;-7754142;14715829;36950;14752779;-6109212;-815407;7828160;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;01/12/2020;18344359;0;3925572;-2023808;0;0;20246123;-918857;-10604039;0;-66142;-3457138;-15046177;5199946;226061;0;-629484;-97262;-294419;11754481;1785158;-1278552;11465981;16665927;-69938;16595988;-738699;-137518;15719772;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;01/12/2020;4478444;258752;2199927;-933898;889;87774;6091889;-2659979;-307059;-217405;0;-845164;-4029607;2062282;726788;308037;-1719734;-1301963;-274087;204053;2072094;-1406261;-1391072;671210;35015;706225;405975;0;1112200;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;01/12/2020;1851069;0;4148526;-724267;515504;32682;5823514;-3010046;-423336;0;0;-84144;-3517527;2305987;2250496;60746;-496028;-960664;-234367;1023436;1560011;-1040603;2163028;4469015;-29207;4439808;-824699;-699056;2916053;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;01/12/2020;4410499;37581;659026;-686850;46102;10019;4476378;-1503536;-67236;-34084;0;-1273986;-2878841;1597537;291036;457323;-669530;-815186;-220510;175557;1390968;-1559575;-949917;647619;-38284;609335;121501;-109220;621616;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;01/12/2020;4097879;0;103208;-93588;881;0;4108380;-778977;-10;0;0;-694829;-1473816;2634564;98488;184236;-298551;-1657976;-168866;10493;261300;-584788;-2155663;478901;30635;509536;-168417;0;341119;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;01/12/2020;2961913;8293;323885;-155268;0;106488;3245310;-743683;-65004;-7891;-14046;-270401;-1101025;2144285;71229;543198;-1153130;-707212;-180575;197486;507405;-973792;-1695390;448895;-6352;442542;-35786;-56578;350177;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;01/12/2020;2328494;0;220070;22847;0;0;2571411;-563518;-7350;0;-16323;-426665;-1013856;1557555;29948;6566;-131948;-903046;-70353;13782;345900;-613238;-1322387;235168;386;235554;-30415;-32289;172850;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;01/12/2020;1988259;299348;112571;-325314;296384;0;2371247;-340418;-11505;-219680;0;-369930;-941534;1429713;58591;64158;-232256;-319890;-101130;9475;284207;-271934;-508780;920933;13172;934105;-327191;-79362;527553;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;01/12/2020;280762;20543;1662705;-73024;383442;14179;2288608;-682771;-100696;-17896;0;-81779;-883142;1405466;619323;24589;-531789;-330320;-99372;0;212023;-176688;-282235;1123232;3476;1126708;-274837;-75614;776256;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;01/12/2020;1203571;0;479130;-10479;217592;8181;1897996;-185869;-307888;0;0;-229469;-723226;1174770;1435818;52315;-1125728;-696343;-188537;0;1243681;-822621;-101415;1073355;4783;1078137;-349799;-41655;686683;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;01/12/2020;411096;0;720960;747457;0;0;1879513;-273355;-723310;0;-98459;40703;-1054421;825092;865694;0;-669259;-127342;-91698;40055;241312;-165517;93246;918338;-3;918335;34918;0;953253;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;01/12/2020;1484612;39532;29200;-12725;0;0;1540619;-268272;-68717;-31417;0;-171023;-539429;1001190;0;64025;-1998;-194538;-50794;42393;103116;-553397;-591193;409997;-12068;397929;-147860;0;250069;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;01/12/2020;1354295;0;82975;-9112;1451;8869;1438479;-199659;-3081;0;0;-128636;-331376;1107104;32112;92708;-417849;-286323;-65665;42316;39975;-146563;-709290;397814;3747;401561;-113573;-38436;249552;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;01/12/2020;949023;0;428121;-51146;16199;26981;1369179;-575103;-242402;0;0;-963;-818469;550710;45262;2311;-48242;-478274;-31120;3859;187988;-134146;-452362;98348;-8;98340;-41802;-5082;51455;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;01/12/2020;718042;0;568715;-21872;51446;0;1316332;-278401;-502165;0;0;-100753;-881319;435012;161924;13395;-124364;-86381;-29174;5956;895661;-931842;-94825;340187;-9934;330253;-87423;-63368;179463;0
BANCO CSF S.A.;8357240;b2;S3;I;3;SAO PAULO;SP;01/12/2020;1190346;0;7244;0;0;0;1197590;-18470;0;0;0;-659786;-678256;519334;377968;271167;-102751;-486194;-91115;-492;85115;-279206;-225510;293824;464;294288;-115520;0;178768;0
