Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;dez/20;20.374.761;31.332;1.002.320;3.504.092;4.308.342;1.044.108;73.032;0;9.963.227;6.591;346.369;639.327;556.014;69.877;1.312;0;1.619.489;982;43.010;41.433;0;0;0;0;85.426;0;808.615;435.522;1.119;0;0;0;1.245.257;38.598;676.296;1.334.847;897.487;160.405;18.478;0;3.126.112;48.730;533.344;217.520;285.285;134.776;36.311;0;1.255.966;9.753;45.934;118.151;223.532;64.154;21.556;0;483.080;0;160.997;260.897;296.390;93.026;89.916;0;901.226;0;0;0;0;0;0;0;0;1.694.980
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;dez/20;13.155.210;27.805;359.396;1.279.564;2.392.796;356.743;5.841;0;4.422.146;16.764;183.074;449.846;603.247;104.122;2.964;0;1.360.016;0;0;679;0;0;0;0;679;811;791.688;547.431;109.633;20.980;0;0;1.470.543;19.130;521.774;832.630;906.221;149.279;15.450;0;2.444.484;293;12.803;291.094;94.295;54.680;436.290;620.316;1.509.771;0;61.251;154.168;306.323;94.145;1.668;0;617.556;0;59.563;98.244;75.988;38.565;35.905;0;308.264;0;0;0;0;0;0;0;0;1.021.752
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;dez/20;12.302.548;2.638;39.709;114.224;168.720;47.308;0;0;372.598;9.774;562.334;1.663.018;3.815.640;1.550.842;32.119;0;7.633.727;0;0;0;0;0;0;0;0;0;919.807;799.324;0;0;0;0;1.719.131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.506;310.543;853.676;1.089.878;286.821;26.667;0;2.577.092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;dez/20;11.839.867;0;274.140;1.855.847;44.391;44.333;300.000;0;2.518.712;0;0;0;0;0;0;0;0;0;52.837;75.084;0;0;0;0;127.921;0;1.740.041;220.105;4.770;38;0;0;1.964.954;115.605;4.624.652;1.939.084;366.951;50.408;0;0;7.096.699;0;9.310;45.523;0;0;0;0;54.833;0;0;0;0;0;0;0;0;0;14.871;47.976;13.900;0;0;0;76.747;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;dez/20;10.832.651;1.726;42.637;123.272;244.525;7.494;0;0;419.656;15.556;660.155;1.842.376;3.257.541;1.192.008;2.818;0;6.970.455;0;0;0;0;0;0;0;0;10.927;451.953;1.546.085;12.786;630;0;0;2.022.381;0;0;0;0;0;0;0;0;0;37.094;0;0;0;0;0;37.094;12.875;215.095;514.734;592.892;46.335;1.134;0;1.383.065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;dez/20;10.710.979;10;5.679;22.819;88.816;47.254;1.639;0;166.218;1.142;18.551;60.760;240.674;184.935;205.059;2.380;713.502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.049;3.424;6.974;2.676;3.472;0;17.596;17.659;280.859;796.490;1.727.312;992.104;1.646.628;92.090;5.553.142;1.797;227.097;607.304;1.455.940;930.077;1.038.144;162;4.260.522;0;0;0;0;0;0;0;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;dez/20;9.991.366;9.349;21.641;344.900;644.260;44.588;18.980;0;1.083.717;0;0;0;0;0;0;0;0;0;0;14.089;0;0;0;0;14.089;0;61.927;262.768;0;0;0;0;324.695;125.534;1.770.054;3.275.170;1.809.713;515.314;101.442;0;7.597.227;120.644;1.727;150.828;209.585;33.999;9.948;0;526.731;0;1.627;4.098;17.192;13.092;502;0;36.510;35.786;45.009;139.573;93.796;51.801;42.431;0;408.397;0;0;0;0;0;0;0;0;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;dez/20;9.055.753;83.181;488.704;1.269.673;2.085.310;647.606;244.943;18.508;4.837.925;457;17.898;49.328;99.355;53.848;27.678;0;248.565;25.901;172.884;94.173;0;0;0;0;292.958;10.427;59.372;7.669;0;0;0;0;77.467;17.744;282.152;328.432;4.433;0;0;0;632.761;46.698;191.739;234.946;333.572;221.154;179.117;101.083;1.308.310;2.354;69.026;137.033;229.336;70.023;57.769;315;565.856;81;222.572;349.937;27.963;20.502;13.501;303;634.858;5.077;16.594;57.022;212.385;66.414;993;0;358.484;98.569
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;dez/20;8.352.265;963;239.819;760.015;851.212;93.886;129;0;1.946.024;77;14.441;38.523;67.373;5.169;0;0;125.582;0;39;0;0;0;0;0;39;260;1.019;1.875;3.195;918;0;0;7.266;14.481;839.500;1.430.041;981.944;106.706;0;0;3.372.671;15;182.497;248.662;70.367;2.283;35.193;0;539.016;0;0;0;0;0;0;0;0;0;23.919;72.002;3.521;0;0;0;99.442;0;0;0;0;0;0;0;0;2.262.224
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;dez/20;7.292.092;6.422;125.273;681.788;2.366.352;806.792;8.193;0;3.994.820;0;2.536;2.223;3.830;342;0;0;8.930;0;0;0;0;0;0;0;0;0;2.197;6.380;15.556;1.804;0;0;25.937;0;82.496;330.812;409.330;61.520;34;0;884.192;0;53.032;256.931;282.317;49.361;1.000;0;642.642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.735.571
