cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;set/18;902.152.729;2.643.005;11.760.237;31.105.644;58.390.964;32.194.053;16.864.571;429.684;153.388.157;1.197.733;4.505.562;10.373.232;11.415.756;4.472.429;2.084.171;1.044.257;35.093.140;244.103;1.211.515;2.637.137;2.589.996;332.812;303;105.671;7.121.536;1.440.593;13.558.764;35.876.684;82.661.963;67.126.960;190.909.688;88.468.809;480.043.460;2.379.305;27.147.451;5.997.658;424.771;14.042;12.753;435.514;36.411.494;2.758.481;17.251.125;47.330.082;40.365.099;28.122.308;21.463.349;160.644;157.451.090;2.486.204;8.081.750;7.463.058;6.039.397;3.318.525;2.611.841;451.645;30.452.419;2.191.433
1%;1 - Público;set/18;49,69%;62,24%;41,66%;42,58%;44,71%;48,56%;59,66%;99,58%;46,32%;19,69%;21,74%;30,78%;35,03%;42,29%;63,99%;97,62%;32,49%;9,76%;5,33%;4,88%;3,49%;3,27%;1,09%;96,96%;4,35%;86,55%;82,63%;84,62%;84,36%;83,95%;81,67%;74,89%;81,32%;13,79%;19,01%;12,92%;15,22%;8,41%;20,70%;99,99%;17,34%;80,05%;61,93%;61,13%;66,99%;74,44%;80,42%;99,83%;67,40%;26,93%;26,69%;30,57%;25,42%;32,51%;45,92%;80,47%;29,24%;2,94%
2;2 - Privado Nacional;set/18;663.832.174;1.019.676;12.736.310;32.172.067;56.080.600;26.850.324;8.355.399;1.079;137.215.455;3.938.540;14.609.868;19.994.453;16.885.462;4.379.976;895.701;7.679;60.711.680;1.478.637;12.890.882;30.499.352;42.799.191;5.886.373;12.925;0;93.567.361;184.165;1.567.178;3.486.009;8.920.977;8.164.636;31.525.962;24.934.119;78.783.046;11.459.054;89.478.137;31.846.739;1.286.982;23.368;272;0;134.094.551;467.852;8.316.948;22.616.154;11.707.755;5.115.987;3.349.537;278;51.574.511;4.728.616;15.165.562;10.101.651;10.951.498;3.634.740;1.604.038;78.609;46.264.714;61.620.857
2%;2 - Privado Nacional;set/18;36,56%;24,01%;45,11%;44,04%;42,94%;40,50%;29,56%;0,25%;41,44%;64,74%;70,50%;59,33%;51,81%;41,41%;27,50%;0,72%;56,21%;59,09%;56,70%;56,39%;57,63%;57,84%;46,61%;0,00%;57,09%;11,06%;9,55%;8,22%;9,10%;10,21%;13,49%;21,11%;13,35%;66,41%;62,65%;68,59%;46,10%;14,00%;0,44%;0,00%;63,87%;13,58%;29,86%;29,21%;19,43%;13,54%;12,55%;0,17%;22,08%;51,23%;50,09%;41,38%;46,10%;35,61%;28,20%;14,01%;44,43%;82,67%
3;3 - Privado com Controle Estrangeiro;set/18;249.603.341;583.746;3.735.883;9.770.185;16.122.920;7.258.867;3.046.083;728;40.518.413;947.797;1.606.501;3.335.337;4.288.818;1.724.356;276.942;17.761;12.197.511;779.507;8.634.100;20.952.750;28.870.034;3.957.361;14.500;3.313;63.211.565;39.774;1.284.005;3.035.306;6.406.112;4.671.352;11.326.073;4.736.499;31.499.121;3.415.600;26.190.494;8.589.398;1.080.014;129.537;48.590;27;39.453.660;219.766;2.287.990;7.478.356;8.180.424;4.537.765;1.877.462;0;24.581.763;2.016.234;7.029.025;6.845.807;6.766.373;3.253.004;1.472.193;31.020;27.413.657;10.727.652
3%;3 - Privado com Controle Estrangeiro;set/18;13,75%;13,75%;13,23%;13,38%;12,35%;10,95%;10,78%;0,17%;12,24%;15,58%;7,75%;9,90%;13,16%;16,30%;8,50%;1,66%;11,29%;31,15%;37,97%;38,74%;38,88%;38,89%;52,29%;3,04%;38,57%;2,39%;7,82%;7,16%;6,54%;5,84%;4,85%;4,01%;5,34%;19,80%;18,34%;18,50%;38,69%;77,59%;78,86%;0,01%;18,79%;6,38%;8,21%;9,66%;13,58%;12,01%;7,03%;0,00%;10,52%;21,84%;23,22%;28,04%;28,48%;31,87%;25,88%;5,53%;26,33%;14,39%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/18;1.674.242.204;4.198.269;27.373.161;70.820.466;126.979.638;64.641.904;27.206.020;431.076;321.650.534;4.912.993;15.763.658;25.681.133;25.506.111;8.585.459;2.538.251;1.062.200;84.049.804;2.227.493;18.893.423;44.857.474;62.039.018;8.748.641;23.365;108.983;136.898.397;1.645.984;16.300.671;42.187.540;97.506.139;79.690.090;233.150.848;117.889.054;588.370.326;14.610.683;126.272.546;40.375.909;2.231.851;160.076;61.525;435.541;184.148.132;3.122.395;22.444.893;59.048.097;50.488.037;33.045.910;24.419.307;160.480;192.729.120;7.804.258;26.221.843;20.987.553;21.788.105;9.429.688;5.103.284;521.220;91.855.951;74.539.941
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;set/18;92,21%;98,87%;96,96%;96,95%;97,23%;97,49%;96,25%;99,90%;97,14%;80,75%;76,07%;76,20%;78,26%;81,17%;77,94%;99,30%;77,82%;89,02%;83,10%;82,93%;83,54%;85,97%;84,26%;100,00%;83,53%;98,89%;99,33%;99,50%;99,51%;99,66%;99,74%;99,79%;99,67%;84,68%;88,42%;86,95%;79,94%;95,88%;99,85%;100,00%;87,71%;90,61%;80,57%;76,27%;83,79%;87,48%;91,49%;99,73%;82,50%;84,54%;86,61%;85,98%;91,71%;92,39%;89,72%;92,86%;88,21%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/18;38.882.371;2.578;57.322;142.004;227.420;100.531;33.625;0;563.479;50.088;78.546;108.605;68.411;7.910;7.227;0;320.787;218.510;3.135.064;7.440.201;9.601.423;1.008.594;1.589;0;21.405.381;1.517;10.549;25.655;48.526;31.244;37.393;462;155.346;1.027.719;4.266.167;1.850.302;326.116;0;0;0;7.470.304;62.593;382.454;2.061.171;3.292.933;1.971.370;657.103;0;8.427.623;6.811;314.475;48.099;85.177;44.428;40.432;29;539.451;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;set/18;2,14%;0,06%;0,20%;0,19%;0,17%;0,15%;0,12%;0,00%;0,17%;0,82%;0,38%;0,32%;0,21%;0,07%;0,22%;0,00%;0,30%;8,73%;13,79%;13,76%;12,93%;9,91%;5,73%;0,00%;13,06%;0,09%;0,06%;0,06%;0,05%;0,04%;0,02%;0,00%;0,03%;5,96%;2,99%;3,98%;11,68%;0,00%;0,00%;0,00%;3,56%;1,82%;1,37%;2,66%;5,47%;5,22%;2,46%;0,00%;3,61%;0,07%;1,04%;0,20%;0,36%;0,44%;0,71%;0,01%;0,52%;0,00%
